filename,category,dataset,normalized_version_used,num_vertices,num_faces,volume,file_size_bytes,bbox_width,bbox_height,bbox_depth,bbox_volume,filepath
m1337.obj,AircraftBuoyant,Data,False,201,340,0.000000,21306,0.864234,0.950000,0.864234,0.709555,Data/AircraftBuoyant/m1337.obj
m1338.obj,AircraftBuoyant,Data,False,8761,16960,0.000000,1111569,0.908058,0.950000,0.912901,0.787519,Data/AircraftBuoyant/m1338.obj
m1339.obj,AircraftBuoyant,Data,False,1878,6173,0.000000,309612,0.582072,0.950000,0.601812,0.332783,Data/AircraftBuoyant/m1339.obj
m1340.obj,AircraftBuoyant,Data,False,778,1457,0.000000,88568,0.342686,0.950000,0.342689,0.111563,Data/AircraftBuoyant/m1340.obj
m1341.obj,AircraftBuoyant,Data,False,425,824,0.000000,48511,0.354575,0.950000,0.354575,0.119437,Data/AircraftBuoyant/m1341.obj
m1342.obj,AircraftBuoyant,Data,False,1252,2305,0.000000,144178,0.586587,0.950000,0.584360,0.325639,Data/AircraftBuoyant/m1342.obj
m1343.obj,AircraftBuoyant,Data,False,178,344,0.000000,19598,0.685921,0.950000,0.685921,0.446963,Data/AircraftBuoyant/m1343.obj
m1344.obj,AircraftBuoyant,Data,False,1093,1930,0.000000,121764,0.649099,0.950000,0.649100,0.400264,Data/AircraftBuoyant/m1344.obj
m1345.obj,AircraftBuoyant,Data,False,3174,6000,0.000000,389313,0.576277,0.950000,0.576277,0.315490,Data/AircraftBuoyant/m1345.obj
m1346.obj,AircraftBuoyant,Data,False,742,1375,0.000000,84170,0.297079,0.329725,0.950000,0.093057,Data/AircraftBuoyant/m1346.obj
m1347.obj,AircraftBuoyant,Data,False,3055,6274,0.000000,391746,0.287086,0.394881,0.950000,0.107697,Data/AircraftBuoyant/m1347.obj
m1348.obj,AircraftBuoyant,Data,False,795,1382,0.000000,87328,0.296693,0.329958,0.950000,0.093001,Data/AircraftBuoyant/m1348.obj
m1349.obj,AircraftBuoyant,Data,False,432,640,0.000000,43578,0.950000,0.360203,0.248648,0.085086,Data/AircraftBuoyant/m1349.obj
m1350.obj,AircraftBuoyant,Data,False,1097,1976,0.000000,123593,0.950000,0.266317,0.280022,0.070846,Data/AircraftBuoyant/m1350.obj
m1351.obj,AircraftBuoyant,Data,False,12987,24466,0.000000,1660898,0.183300,0.194243,0.950000,0.033825,Data/AircraftBuoyant/m1351.obj
m1352.obj,AircraftBuoyant,Data,False,3298,6348,0.000000,407758,0.950000,0.351642,0.307621,0.102764,Data/AircraftBuoyant/m1352.obj
D00045.obj,Apartment,Data,False,14865,21021,0.000000,836293,1.442213,1.471330,0.886270,1.880639,Data/Apartment/D00045.obj
D00086.obj,Apartment,Data,False,20493,42064,0.000000,1419534,1.784045,1.668307,0.709348,2.111257,Data/Apartment/D00086.obj
D00138.obj,Apartment,Data,False,10827,21140,0.000000,696119,1.559021,1.147692,0.516668,0.924462,Data/Apartment/D00138.obj
D00156.obj,Apartment,Data,False,12732,19380,0.000000,733017,1.700648,1.584903,1.233871,3.325729,Data/Apartment/D00156.obj
D00310.obj,Apartment,Data,False,14464,9480,0.000000,619968,1.777636,0.883673,0.708209,1.112489,Data/Apartment/D00310.obj
D00348.obj,Apartment,Data,False,2006,3008,0.000000,109279,1.667168,0.975901,1.018217,1.656630,Data/Apartment/D00348.obj
D00366.obj,Apartment,Data,False,1294,2540,0.000000,76679,1.641111,1.447755,1.193319,2.835238,Data/Apartment/D00366.obj
D00478.obj,Apartment,Data,False,19857,25206,0.000000,1079989,1.691115,1.165133,0.929405,1.831275,Data/Apartment/D00478.obj
D00496.obj,Apartment,Data,False,7737,2579,0.000000,284089,1.796949,1.582875,0.600796,1.708871,Data/Apartment/D00496.obj
D00626.obj,Apartment,Data,False,73184,64688,0.000000,3534439,1.792921,0.928909,0.894439,1.489653,Data/Apartment/D00626.obj
D00639.obj,Apartment,Data,False,4849,7980,0.000000,282741,1.683898,1.044318,1.136995,1.999434,Data/Apartment/D00639.obj
D00651.obj,Apartment,Data,False,12732,19380,0.000000,735338,1.865417,1.855182,1.218452,4.216682,Data/Apartment/D00651.obj
D00681.obj,Apartment,Data,False,13823,15557,0.000000,704222,1.776201,1.377960,1.127836,2.760417,Data/Apartment/D00681.obj
D00780.obj,Apartment,Data,False,8240,13684,0.000000,484357,1.766930,1.067875,0.523033,0.986890,Data/Apartment/D00780.obj
D00792.obj,Apartment,Data,False,1327,1158,0.000000,56777,1.898703,1.928785,1.528542,5.597811,Data/Apartment/D00792.obj
D00859.obj,Apartment,Data,False,1378,2163,0.000000,74648,1.897966,1.303498,0.543126,1.343691,Data/Apartment/D00859.obj
D00860.obj,Apartment,Data,False,19857,25206,0.000000,1079305,1.691960,1.159947,0.925928,1.817211,Data/Apartment/D00860.obj
D00869.obj,Apartment,Data,False,4930,9069,0.000000,299811,1.672896,1.166727,0.932431,1.819931,Data/Apartment/D00869.obj
D00921.obj,Apartment,Data,False,12842,7983,0.000000,541027,1.673306,1.033171,1.113445,1.924936,Data/Apartment/D00921.obj
D00953.obj,Apartment,Data,False,4158,7140,0.000000,246671,1.614522,1.722878,0.963597,2.680365,Data/Apartment/D00953.obj
m463.obj,Apartment,Data,False,2022,3672,0.000000,239531,0.760029,0.950000,0.549765,0.396945,Data/Apartment/m463.obj
m464.obj,Apartment,Data,False,8301,12810,0.000000,938506,0.322449,0.950000,0.271305,0.083108,Data/Apartment/m464.obj
m465.obj,Apartment,Data,False,2335,4363,0.000000,281697,0.192020,0.950000,0.226523,0.041322,Data/Apartment/m465.obj
m53.obj,AquaticAnimal,Data,False,18409,34877,0.000000,2416513,0.138371,0.323761,0.950000,0.042559,Data/AquaticAnimal/m53.obj
m54.obj,AquaticAnimal,Data,False,18143,33836,0.000000,2358428,0.229899,0.346143,0.950000,0.075599,Data/AquaticAnimal/m54.obj
m55.obj,AquaticAnimal,Data,False,19505,37072,0.000000,2570865,0.156510,0.355146,0.950000,0.052805,Data/AquaticAnimal/m55.obj
m56.obj,AquaticAnimal,Data,False,5814,10893,0.000000,720564,0.143956,0.342452,0.950000,0.046833,Data/AquaticAnimal/m56.obj
m57.obj,AquaticAnimal,Data,False,18878,36278,0.000000,2500669,0.118963,0.364443,0.950000,0.041187,Data/AquaticAnimal/m57.obj
m58.obj,AquaticAnimal,Data,False,477,950,0.000000,55322,0.512049,0.475211,0.950000,0.231165,Data/AquaticAnimal/m58.obj
m59.obj,AquaticAnimal,Data,False,44,1680,0.000000,39644,0.200000,0.200000,0.950000,0.038000,Data/AquaticAnimal/m59.obj
m60.obj,AquaticAnimal,Data,False,1606,3208,0.000000,196152,0.323674,0.382675,0.950000,0.117669,Data/AquaticAnimal/m60.obj
m61.obj,AquaticAnimal,Data,False,216,337,0.000000,21750,0.162430,0.418396,0.950000,0.064562,Data/AquaticAnimal/m61.obj
m62.obj,AquaticAnimal,Data,False,241,478,0.000000,27325,0.106276,0.724178,0.950000,0.073115,Data/AquaticAnimal/m62.obj
m63.obj,AquaticAnimal,Data,False,1112,1792,0.000000,119213,0.950000,0.699541,0.752238,0.499910,Data/AquaticAnimal/m63.obj
m64.obj,AquaticAnimal,Data,False,247,444,0.000000,26699,0.950000,0.520087,0.153900,0.076039,Data/AquaticAnimal/m64.obj
m65.obj,AquaticAnimal,Data,False,1004,1930,0.000000,115473,0.374816,0.579595,0.950000,0.206379,Data/AquaticAnimal/m65.obj
m66.obj,AquaticAnimal,Data,False,4117,8196,0.000000,522114,0.420705,0.522553,0.950000,0.208849,Data/AquaticAnimal/m66.obj
m67.obj,AquaticAnimal,Data,False,14000,27996,0.000000,1860631,0.950000,0.224700,0.363988,0.077699,Data/AquaticAnimal/m67.obj
m68.obj,AquaticAnimal,Data,False,553,1098,0.000000,64138,0.950000,0.253519,0.162430,0.039120,Data/AquaticAnimal/m68.obj
m69.obj,AquaticAnimal,Data,False,317,560,0.000000,34353,0.332325,0.239776,0.950000,0.075699,Data/AquaticAnimal/m69.obj
m70.obj,AquaticAnimal,Data,False,320,560,0.000000,34569,0.429415,0.241076,0.950000,0.098346,Data/AquaticAnimal/m70.obj
m71.obj,AquaticAnimal,Data,False,420,836,0.000000,48433,0.300990,0.346535,0.950000,0.099088,Data/AquaticAnimal/m71.obj
m72.obj,AquaticAnimal,Data,False,331,590,0.000000,36054,0.431203,0.237828,0.950000,0.097425,Data/AquaticAnimal/m72.obj
m73.obj,AquaticAnimal,Data,False,285,564,0.000000,32488,0.950000,0.585865,0.351181,0.195457,Data/AquaticAnimal/m73.obj
m74.obj,AquaticAnimal,Data,False,162,336,0.000000,18324,0.329455,0.296596,0.950000,0.092829,Data/AquaticAnimal/m74.obj
m75.obj,AquaticAnimal,Data,False,298,512,0.000000,31872,0.513384,0.274311,0.950000,0.133786,Data/AquaticAnimal/m75.obj
m76.obj,AquaticAnimal,Data,False,1583,3164,0.000000,193165,0.370930,0.328140,0.950000,0.115631,Data/AquaticAnimal/m76.obj
m77.obj,AquaticAnimal,Data,False,11578,23022,0.000000,1511593,0.950000,0.382994,0.586203,0.213287,Data/AquaticAnimal/m77.obj
m78.obj,AquaticAnimal,Data,False,468,734,0.000000,49552,0.950000,0.491650,0.403181,0.188313,Data/AquaticAnimal/m78.obj
m79.obj,AquaticAnimal,Data,False,166,226,0.000000,15953,0.950000,0.231171,0.275958,0.060604,Data/AquaticAnimal/m79.obj
m80.obj,AquaticAnimal,Data,False,1104,2104,0.000000,127821,0.950000,0.283883,0.391001,0.105449,Data/AquaticAnimal/m80.obj
m81.obj,AquaticAnimal,Data,False,857,1673,0.000000,99085,0.389500,0.266000,0.950000,0.098427,Data/AquaticAnimal/m81.obj
D00031.obj,Bed,Data,False,1867,3590,0.000000,112926,1.600092,1.434997,0.579696,1.331056,Data/Bed/D00031.obj
