filename,category,dataset,normalized_version_used,num_vertices,num_faces,volume,file_size_bytes,bbox_width,bbox_height,bbox_depth,bbox_volume,filepath
m1337_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,741,1360,0.000000,43481,1.000000,0.919988,0.919971,0.846362,UnifiedPreprocessed/Data/AircraftBuoyant/m1337_unified.obj
m1338_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2574,5000,0.000000,165198,0.943879,0.947574,1.000000,0.894395,UnifiedPreprocessed/Data/AircraftBuoyant/m1338_unified.obj
m1339_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,1382,1913,0.000000,73638,1.000000,0.641403,0.620526,0.398007,UnifiedPreprocessed/Data/AircraftBuoyant/m1339_unified.obj
m1340_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,3010,5822,0.000000,194434,1.000000,0.360716,0.360716,0.130116,UnifiedPreprocessed/Data/AircraftBuoyant/m1340_unified.obj
m1341_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,1666,3296,0.000000,105580,1.000000,0.373237,0.373237,0.139306,UnifiedPreprocessed/Data/AircraftBuoyant/m1341_unified.obj
m1342_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,4794,9214,0.000000,312309,1.000000,0.617518,0.626232,0.386710,UnifiedPreprocessed/Data/AircraftBuoyant/m1342_unified.obj
m1343_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,694,1376,0.000000,42033,1.000000,0.719620,0.719686,0.517900,UnifiedPreprocessed/Data/AircraftBuoyant/m1343_unified.obj
m1344_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,4102,7688,0.000000,262496,1.000000,0.683876,0.683879,0.467688,UnifiedPreprocessed/Data/AircraftBuoyant/m1344_unified.obj
m1345_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,3174,6000,0.000000,202045,1.000000,0.606138,0.606138,0.367403,UnifiedPreprocessed/Data/AircraftBuoyant/m1345_unified.obj
m1346_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2850,5496,0.000000,183266,1.000000,0.344690,0.312371,0.107671,UnifiedPreprocessed/Data/AircraftBuoyant/m1346_unified.obj
m1347_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2419,4779,0.000000,156022,1.000000,0.415412,0.302071,0.125484,UnifiedPreprocessed/Data/AircraftBuoyant/m1347_unified.obj
m1348_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2868,5528,0.000000,183873,1.000000,0.344882,0.311967,0.107592,UnifiedPreprocessed/Data/AircraftBuoyant/m1348_unified.obj
m1349_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,1473,2560,0.000000,87107,1.000000,0.358334,0.260683,0.093412,UnifiedPreprocessed/Data/AircraftBuoyant/m1349_unified.obj
m1350_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,4167,7904,0.000000,270534,1.000000,0.278528,0.333210,0.092808,UnifiedPreprocessed/Data/AircraftBuoyant/m1350_unified.obj
m1351_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2693,5000,0.000000,169680,1.000000,0.192604,0.204270,0.039343,UnifiedPreprocessed/Data/AircraftBuoyant/m1351_unified.obj
m1352_unified.obj,AircraftBuoyant,UnifiedPreprocessed/Data,True,2556,4999,0.000000,163955,1.000000,0.371170,0.323942,0.120238,UnifiedPreprocessed/Data/AircraftBuoyant/m1352_unified.obj
D00045_unified.obj,Apartment,UnifiedPreprocessed/Data,True,4110,5000,0.000000,214998,0.979710,1.000000,0.527138,0.516442,UnifiedPreprocessed/Data/Apartment/D00045_unified.obj
D00086_unified.obj,Apartment,UnifiedPreprocessed/Data,True,2920,5616,0.000000,187091,1.000000,0.750137,0.367106,0.275380,UnifiedPreprocessed/Data/Apartment/D00086_unified.obj
D00138_unified.obj,Apartment,UnifiedPreprocessed/Data,True,2597,5000,0.000000,165717,1.000000,0.773320,0.457983,0.354167,UnifiedPreprocessed/Data/Apartment/D00138_unified.obj
D00156_unified.obj,Apartment,UnifiedPreprocessed/Data,True,4532,4848,0.000000,224774,1.000000,0.782291,0.703846,0.550612,UnifiedPreprocessed/Data/Apartment/D00156_unified.obj
