class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337_unified.obj,741,1360,3,"{""min"": [-0.548278, -0.459071, -0.459853], ""max"": [0.451722, 0.460917, 0.460118], ""size"": [1.0, 0.919988, 0.9199710000000001]}"
AircraftBuoyant,m1338_unified.obj,2574,5000,3,"{""min"": [-0.472057, -0.474412, -0.355069], ""max"": [0.471822, 0.473162, 0.644931], ""size"": [0.943879, 0.947574, 1.0]}"
AircraftBuoyant,m1339_unified.obj,1382,1913,3,"{""min"": [-0.375424, -0.320732, -0.311224], ""max"": [0.624576, 0.320671, 0.309302], ""size"": [1.0, 0.641403, 0.620526]}"
AircraftBuoyant,m1340_unified.obj,3010,5822,3,"{""min"": [-0.307418, -0.180116, -0.179876], ""max"": [0.692582, 0.1806, 0.18084], ""size"": [1.0, 0.36071600000000004, 0.36071600000000004]}"
AircraftBuoyant,m1341_unified.obj,1666,3296,3,"{""min"": [-0.386854, -0.186732, -0.186618], ""max"": [0.613146, 0.186505, 0.186619], ""size"": [1.0, 0.37323700000000004, 0.37323700000000004]}"
AircraftBuoyant,m1342_unified.obj,4794,9214,3,"{""min"": [-0.225499, -0.305918, -0.312117], ""max"": [0.774501, 0.3116, 0.314115], ""size"": [1.0, 0.617518, 0.6262319999999999]}"
AircraftBuoyant,m1343_unified.obj,694,1376,3,"{""min"": [-0.48898, -0.362443, -0.359968], ""max"": [0.51102, 0.357177, 0.359718], ""size"": [1.0, 0.71962, 0.719686]}"
AircraftBuoyant,m1344_unified.obj,4102,7688,3,"{""min"": [-0.29092, -0.341851, -0.341934], ""max"": [0.70908, 0.342025, 0.341945], ""size"": [1.0, 0.683876, 0.683879]}"
AircraftBuoyant,m1345_unified.obj,3174,6000,3,"{""min"": [-0.405266, -0.302945, -0.302935], ""max"": [0.594734, 0.303193, 0.303203], ""size"": [1.0, 0.6061380000000001, 0.6061380000000001]}"
AircraftBuoyant,m1346_unified.obj,2850,5496,3,"{""min"": [-0.468658, -0.178625, -0.152077], ""max"": [0.531342, 0.166065, 0.160294], ""size"": [1.0, 0.34469, 0.31237099999999995]}"
AircraftBuoyant,m1347_unified.obj,2419,4779,3,"{""min"": [-0.454597, -0.13997, -0.150437], ""max"": [0.545403, 0.275442, 0.151634], ""size"": [1.0, 0.415412, 0.302071]}"
AircraftBuoyant,m1348_unified.obj,2868,5528,3,"{""min"": [-0.468757, -0.17944, -0.151872], ""max"": [0.531243, 0.165442, 0.160095], ""size"": [1.0, 0.344882, 0.311967]}"
AircraftBuoyant,m1349_unified.obj,1473,2560,3,"{""min"": [-0.506562, -0.127912, -0.129996], ""max"": [0.493438, 0.230422, 0.130687], ""size"": [1.0, 0.358334, 0.260683]}"
AircraftBuoyant,m1350_unified.obj,4167,7904,3,"{""min"": [-0.352716, -0.139265, -0.080115], ""max"": [0.647284, 0.139263, 0.253095], ""size"": [1.0, 0.278528, 0.33321]}"
AircraftBuoyant,m1351_unified.obj,2693,5000,3,"{""min"": [-0.23524, -0.096495, -0.090416], ""max"": [0.76476, 0.096109, 0.113854], ""size"": [1.0, 0.192604, 0.20427]}"
AircraftBuoyant,m1352_unified.obj,2556,4999,3,"{""min"": [-0.466909, -0.176211, -0.161841], ""max"": [0.533091, 0.194959, 0.162101], ""size"": [1.0, 0.37117, 0.323942]}"
Apartment,D00045_unified.obj,4110,5000,3,"{""min"": [-0.50023, -0.492918, -0.256478], ""max"": [0.47948, 0.507082, 0.27066], ""size"": [0.97971, 1.0, 0.527138]}"
Apartment,D00086_unified.obj,2920,5616,3,"{""min"": [-0.497357, -0.141884, -0.156892], ""max"": [0.502643, 0.608253, 0.210214], ""size"": [1.0, 0.750137, 0.36710600000000004]}"
