📈 Dataset Summary
==================================================
Total Categories: 69
Total Shapes: 271
Total Vertices: 1,373,632
Total Faces: 3,444,210
Avg Vertices per Shape: 5069
Avg Faces per Shape: 12709

📊 Category Statistics
================================================================================
              Category  Count  Avg Vertices  Min Vertices  Max Vertices  Avg Faces  Min Faces  Max Faces
       AircraftBuoyant      2          4638          4615          4662       8999       8999       9000
             Apartment      3          5753          5603          5934       9598       8999      10316
         AquaticAnimal      3          4873          4305          5814       9631       9000      10893
                   Bed      3          4568          4530          4597       9012       8999       9038
               Bicycle      3          4593          4220          4911       8999       8999       9000
               Biplane      5          4582          3603          5084       8999       8999       9000
                  Bird      5          4211          1812          5826       8051       3456      11648
               Bookset      2         11361          6649         16074      70194      40740      99648
                Bottle      4          4467          4313          4541       8999       8999       9000
BuildingNonResidential      5          4763          4544          5271       8999       8999       9000
                   Bus      2          9182          4964         13401      60607      34821      86394
                   Car      9          4837          3861          5786       8369       6755       9000
             Cellphone      2          4008          3000          5016       9462       9000       9924
                 Chess      5          4548          4502          4725       9000       9000       9000
                  City      3          5527          5009          5867      12593       9000      19781
          ClassicPiano      2          8457          6393         10522      48858      36660      61056
              Computer      4          4469          2440          6096       8755       4864      12160
      ComputerKeyboard      2          5962          5541          6384      35742      33216      38268
                   Cup      3          4391          4132          4541       8666       8000       9000
              DeskLamp      4          4535          4492          4601       9000       9000       9000
             DeskPhone      2          4460          4313          4607       8746       8494       8999
                  Door      5          3887          2316          4519       8011       4608       9000
                  Drum      2          4829          2178          7480      29784      13056      46512
                  Fish      2          4092          4062          4122       6831       6824       6838
             FloorLamp      3          4279          3767          4584       8390       7212       9000
               Glasses      2          4559          4550          4568       8999       8999       8999
                Guitar      2          4662          4630          4694       9005       9000       9011
                   Gun      6          4745          4336          5644       9321       8800      11264
                  Hand      4          4681          3574          6038       9767       8999      12072
                   Hat      2          4762          4502          5023       8999       8999       9000
            Helicopter      6          4680          3987          5469       8879       7528       9752
                 House      5          5764          4346          8973      12077       8512      23668
             HumanHead      6          6977          3810         12813      33015       7408      76368
              Humanoid     15          4617          3640          5647       9116       7707      10737
                Insect      7          4973          4454          6170       9423       8864      10274
                   Jet     15          4677          4074          5706       9058       7976      10696
                 Knife      3          4407          3890          4691      13763       8999      23292
       MilitaryVehicle      2          5614          5140          6088       8999       8999       8999
               Monitor      2          4801          4519          5083       9250       9000       9500
             Monoplane      2          4586          4586          4586       8999       8999       9000
            Motorcycle      3          4649          4451          4852       9000       9000       9000
                   Mug      3          6514          3638         11395      20492       7200      45278
             MultiSeat      5          4427          3845          4724       8770       7440       9416
    Musical_Instrument      3          4742          3935          5793       8462       7728       9000
         NonWheelChair      6          4954          4214          6348      10027       8440      13312
            PianoBoard      2          7062          6603          7521      41071      38235      43908
          PlantIndoors      7          5422          3728          7323       7670       5108       8999
      PlantWildNonTree      3          5333          3565          7920       7693       5280       9000
             Quadruped      6          4531          4503          4570       8999       8999       9000
        RectangleTable      7          3758          1926          4975       7818       3840       9000
                Rocket      2          4510          4502          4518       9000       9000       9000
            RoundTable      4          4513          4502          4524       9000       9000       9000
                 Shelf      5          3743          2702          4734       7298       5376       8999
                  Ship      7          5156          4202          6122       9153       4887      10560
                  Sign      2          3543          2992          4095       6368       5504       7232
            Skyscraper      2          9645          6830         12460       8999       8999       9000
                 Spoon      2          9719          4376         15062      58008      25968      90048
              Starship      4          4478          4070          5059       8757       8032       9000
         SubmachineGun      2          4901          4587          5216       9564       9000      10128
                 Sword      6          4692          4471          5496      10008       9000      12440
                  Tool      5          4749          3804          5869       9280       7604      11564
                 Train      3          6312          4390          8639      33953      25806      43185
                  Tree      5          7789          3846         14151       8597       5780      10208
                 Truck      3          6047          5585          6608      28187      11152      36978
     TruckNonContainer      2          5817          4387          7248      32794      23541      42048
                  Vase      2          4541          4501          4581       8999       8999       9000
                Violin      2          7758          7431          8085      48862      48249      49476
                 Wheel      2          4142          3783          4502       8055       7110       9000
            WheelChair      2          4951          4947          4956       8999       8999       9000
