Category,Count,Avg_Vertices,Min_Vertices,Max_Vertices,Avg_Faces,Min_Faces,Max_Faces
AircraftBuoyant,16,2509,178,12987,4925,340,24466
Apartment,23,11924,1294,73184,14838,1158,64688
AquaticAnimal,29,4216,44,19505,8136,226,37072
Bed,27,5357,363,22063,9687,572,34247
Bicycle,26,15402,436,56754,30099,846,111471
Biplane,45,8978,264,65722,15099,348,129881
Bird,44,2836,41,16542,5536,54,33072
Bookset,20,880,110,2694,4541,624,14844
Bottle,31,3292,133,23142,6106,284,45936
BuildingNonResidential,44,3058,33,21288,5726,45,41835
Bus,20,7732,3155,13436,47260,18774,86502
Car,89,11170,132,62279,20282,134,119540
Cellphone,20,9793,763,44041,18375,644,74103
Chess,42,3837,89,60671,7636,168,121343
City,27,5955,1049,26070,8765,1337,35805
ClassicPiano,20,3035,204,8121,16214,954,47805
Computer,33,3118,28,17301,5780,30,34133
ComputerKeyboard,20,4308,348,11072,22554,2076,50064
Cup,30,3695,71,13747,7014,138,24928
DeskLamp,31,4718,69,22837,8384,116,45584
DeskPhone,20,16459,531,48093,29363,848,94497
Door,44,1151,16,6044,2171,16,11464
Drum,20,2692,36,8433,15600,132,50202
Fish,20,3898,3048,5046,6529,5286,8098
FloorLamp,28,6284,46,39647,11059,76,46682
Glasses,20,5161,220,17472,9562,280,32776
Guitar,20,9831,270,32795,17443,448,64993
Gun,58,4391,91,28870,8476,130,56646
Hand,37,6380,114,43386,12715,204,86361
Hat,15,2339,426,8815,4552,848,17640
Helicopter,51,5772,222,58392,10804,368,116773
House,46,7485,22,46622,15064,22,90161
HumanHead,51,4085,186,26749,13916,360,51801
Humanoid,142,4240,116,22608,8418,185,44050
Insect,66,3698,163,24324,7071,284,46540
Jet,143,1142,39,9398,2098,76,18363
Knife,27,650,87,5076,2739,498,10136
MilitaryVehicle,20,14750,719,38911,24322,1342,74093
Monitor,20,7513,171,29914,12996,294,39768
Monoplane,20,1644,238,7440,2921,374,14840
Motorcycle,26,14202,118,46694,25867,180,90616
Mug,26,5909,738,37360,11624,1112,74720
MultiSeat,45,5096,24,41265,9451,36,80270
Musical_Instrument,21,8074,227,47076,15687,266,93366
NonWheelChair,60,2264,76,20239,4108,98,33404
PianoBoard,20,2542,454,9628,14883,1578,49260
PlantIndoors,65,17213,96,98256,10505,156,34887
PlantWildNonTree,27,7688,70,50833,11221,74,88945
Quadruped,57,5240,127,24936,9504,226,47904
RectangleTable,64,817,36,12600,1615,52,25140
Rocket,20,7092,36,73398,4014,56,24466
RoundTable,37,1848,54,13002,3433,88,25984
Shelf,43,1289,46,9850,1686,28,10712
Ship,63,5076,98,40714,8690,156,80272
Sign,15,1402,40,6540,2703,52,13032
Skyscraper,20,25559,365,73697,25817,668,57938
Spoon,20,959,72,5039,3291,363,12999
Starship,31,5596,265,31275,11386,508,59739
SubmachineGun,20,5295,170,24710,9687,281,49474
Sword,53,4529,176,18993,8701,259,37283
Tool,44,2951,24,6198,5827,52,12392
Train,30,5273,174,13612,25320,316,85308
Tree,47,15587,35,58864,13812,31,73042
Truck,27,7176,482,47209,31413,2520,92176
TruckNonContainer,20,5646,2288,11914,33820,13452,72831
Vase,20,971,32,4578,1936,68,9152
Violin,20,3357,466,7672,20536,3018,48261
Wheel,17,1192,80,4352,2218,128,7556
WheelChair,20,12465,679,43966,22059,1012,83378
