class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337.obj,201,340,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1338.obj,8761,16960,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.933058, 0.975, 0.937901]}"
AircraftBuoyant,m1339.obj,1878,6173,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.607072, 0.975, 0.626812]}"
AircraftBuoyant,m1340.obj,778,1457,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
AircraftBuoyant,m1341.obj,425,824,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.379575, 0.975, 0.379575]}"
AircraftBuoyant,m1342.obj,1252,2305,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.611587, 0.975, 0.60936]}"
AircraftBuoyant,m1343.obj,178,344,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.710921, 0.975, 0.710921]}"
AircraftBuoyant,m1344.obj,1093,1930,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.674099, 0.975, 0.6741]}"
AircraftBuoyant,m1345.obj,3174,6000,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.601277, 0.975, 0.601277]}"
AircraftBuoyant,m1346.obj,742,1375,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.322079, 0.354725, 0.975]}"
AircraftBuoyant,m1347.obj,3055,6274,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.312086, 0.419881, 0.975]}"
AircraftBuoyant,m1348.obj,795,1382,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.321693, 0.354958, 0.975]}"
AircraftBuoyant,m1349.obj,432,640,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.385203, 0.273648]}"
AircraftBuoyant,m1350.obj,1097,1976,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.291317, 0.305022]}"
AircraftBuoyant,m1351.obj,12987,24466,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.2083, 0.219243, 0.975]}"
AircraftBuoyant,m1352.obj,3298,6348,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.376642, 0.332621]}"
Apartment,D00045.obj,14865,21021,triangle,"{""min"": [-0.613186, -0.700915, -0.532017], ""max"": [0.829027, 0.770415, 0.354253]}"
Apartment,D00086.obj,20493,42064,triangle,"{""min"": [-0.920883, -0.343487, -0.415469], ""max"": [0.863162, 1.32482, 0.293879]}"
Apartment,D00138.obj,10827,21140,triangle,"{""min"": [-0.782682, -0.514535, -0.317783], ""max"": [0.776339, 0.633157, 0.198885]}"
Apartment,D00156.obj,12732,19380,triangle,"{""min"": [-0.81948, -0.742071, -0.667138], ""max"": [0.881168, 0.842832, 0.566733]}"
Apartment,D00310.obj,14464,9480,triangle,"{""min"": [-0.744656, -0.389316, -0.368775], ""max"": [1.03298, 0.494357, 0.339434]}"
Apartment,D00348.obj,2006,3008,triangle,"{""min"": [-0.94171, -0.40949, -0.813025], ""max"": [0.725458, 0.566411, 0.205192]}"
Apartment,D00366.obj,1294,2540,triangle,"{""min"": [-0.895467, -0.856715, -0.663917], ""max"": [0.745644, 0.59104, 0.529402]}"
Apartment,D00478.obj,19857,25206,triangle,"{""min"": [-0.780623, -0.760414, -0.478043], ""max"": [0.910492, 0.404719, 0.451362]}"
Apartment,D00496.obj,7737,2579,triangle,"{""min"": [-0.643419, -0.704659, -0.341188], ""max"": [1.15353, 0.878216, 0.259608]}"
Apartment,D00626.obj,73184,64688,triangle,"{""min"": [-0.885934, -0.597769, -0.512373], ""max"": [0.906987, 0.33114, 0.382066]}"
Apartment,D00639.obj,4849,7980,triangle,"{""min"": [-0.542818, -0.544259, -0.687879], ""max"": [1.14108, 0.500059, 0.449116]}"
Apartment,D00651.obj,12732,19380,triangle,"{""min"": [-0.948858, -0.950931, -0.556634], ""max"": [0.916559, 0.904251, 0.661818]}"
Apartment,D00681.obj,13823,15557,triangle,"{""min"": [-0.681671, -0.790363, -0.471744], ""max"": [1.09453, 0.587597, 0.656092]}"
Apartment,D00780.obj,8240,13684,triangle,"{""min"": [-0.977731, -0.618236, -0.189083], ""max"": [0.789199, 0.449639, 0.33395]}"
Apartment,D00792.obj,1327,1158,triangle,"{""min"": [-0.795163, -0.965409, -0.669296], ""max"": [1.10354, 0.963376, 0.859246]}"
Apartment,D00859.obj,1378,2163,triangle,"{""min"": [-0.824176, -0.692473, -0.33128], ""max"": [1.07379, 0.611025, 0.211846]}"
