class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337.obj,8700,16971,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1338.obj,8761,16960,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.933058, 0.975, 0.937901]}"
AircraftBuoyant,m1339.obj,6294,11160,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.607072, 0.975, 0.626812]}"
AircraftBuoyant,m1340.obj,9198,18145,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
AircraftBuoyant,m1341.obj,6622,13184,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.379575, 0.975, 0.379575]}"
AircraftBuoyant,m1342.obj,7966,15685,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.611587, 0.975, 0.60936]}"
AircraftBuoyant,m1343.obj,8592,17172,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.710921, 0.975, 0.710921]}"
AircraftBuoyant,m1344.obj,8713,16719,triangle,"{""min"": [0.025, 0.0218385, 0.025], ""max"": [0.674099, 0.975, 0.6741]}"
AircraftBuoyant,m1345.obj,9707,18720,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.601277, 0.975, 0.601277]}"
AircraftBuoyant,m1346.obj,8694,17146,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.322079, 0.354725, 0.975]}"
AircraftBuoyant,m1347.obj,9466,18850,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.312086, 0.419881, 0.975]}"
AircraftBuoyant,m1348.obj,8737,17247,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.321693, 0.354958, 0.975]}"
AircraftBuoyant,m1349.obj,5475,10240,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.385203, 0.273648]}"
AircraftBuoyant,m1350.obj,8809,17262,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.291317, 0.305022]}"
AircraftBuoyant,m1351.obj,8111,14882,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.2083, 0.219243, 0.975]}"
AircraftBuoyant,m1352.obj,9981,19804,triangle,"{""min"": [0.02527, 0.025, 0.025], ""max"": [0.975, 0.376642, 0.332621]}"
Apartment,D00045.obj,9421,11476,triangle,"{""min"": [-0.613186, -0.700915, -0.532017], ""max"": [0.829027, 0.770415, 0.354253]}"
Apartment,D00086.obj,7886,15311,triangle,"{""min"": [-0.920883, -0.343487, -0.415469], ""max"": [0.863162, 1.32482, 0.293879]}"
Apartment,D00138.obj,8382,16474,triangle,"{""min"": [-0.782682, -0.514535, -0.317783], ""max"": [0.776339, 0.633157, 0.198885]}"
Apartment,D00156.obj,9628,14992,triangle,"{""min"": [-0.81948, -0.742071, -0.667138], ""max"": [0.881168, 0.842832, 0.566733]}"
Apartment,D00310.obj,5934,9026,triangle,"{""min"": [-0.744656, -0.389316, -0.368775], ""max"": [1.03298, 0.494357, 0.339434]}"
Apartment,D00348.obj,6880,12032,triangle,"{""min"": [-0.94171, -0.40949, -0.813025], ""max"": [0.725458, 0.566411, 0.205192]}"
Apartment,D00366.obj,5143,10156,triangle,"{""min"": [-0.895467, -0.856715, -0.663917], ""max"": [0.745644, 0.59104, 0.529402]}"
Apartment,D00478.obj,9691,13230,triangle,"{""min"": [-0.780623, -0.760414, -0.478043], ""max"": [0.910492, 0.404719, 0.451362]}"
Apartment,D00496.obj,5610,10140,triangle,"{""min"": [-0.643419, -0.704659, -0.341188], ""max"": [1.15353, 0.878216, 0.259608]}"
Apartment,D00626.obj,8091,16170,triangle,"{""min"": [-0.885934, -0.596575, -0.511616], ""max"": [0.906987, 0.330015, 0.381974]}"
Apartment,D00639.obj,9046,17428,triangle,"{""min"": [-0.542818, -0.544259, -0.687879], ""max"": [1.14108, 0.500059, 0.449116]}"
Apartment,D00651.obj,9635,14997,triangle,"{""min"": [-0.948858, -0.950931, -0.556634], ""max"": [0.916559, 0.904251, 0.661818]}"
Apartment,D00681.obj,8533,9413,triangle,"{""min"": [-0.681671, -0.790363, -0.471744], ""max"": [1.09453, 0.587597, 0.656092]}"
Apartment,D00780.obj,8240,13323,triangle,"{""min"": [-0.977731, -0.618236, -0.189083], ""max"": [0.789199, 0.449639, 0.33395]}"
Apartment,D00792.obj,7787,14451,triangle,"{""min"": [-0.795163, -0.965409, -0.669296], ""max"": [1.10354, 0.963376, 0.859246]}"
Apartment,D00859.obj,9811,18755,triangle,"{""min"": [-0.824176, -0.692473, -0.33128], ""max"": [1.07379, 0.611025, 0.211846]}"
Apartment,D00860.obj,9691,13231,triangle,"{""min"": [-0.764923, -0.760034, -0.474753], ""max"": [0.927037, 0.399913, 0.451175]}"
Apartment,D00869.obj,9728,17285,triangle,"{""min"": [-0.984501, -0.521665, -0.380646], ""max"": [0.688371, 0.644863, 0.549795]}"
Apartment,D00921.obj,6688,7972,triangle,"{""min"": [-0.850705, -0.487423, -0.558467], ""max"": [0.822601, 0.545748, 0.554978]}"
Apartment,D00953.obj,9863,17169,triangle,"{""min"": [-0.949201, -0.826799, -0.444887], ""max"": [0.665321, 0.896079, 0.51871]}"
Apartment,m463.obj,7539,14620,triangle,"{""min"": [0.02438, 0.025, 0.025], ""max"": [0.785649, 0.975, 0.574765]}"
Apartment,m464.obj,8297,12794,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.347449, 0.975, 0.296305]}"
Apartment,m465.obj,8906,17452,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.217023, 0.975, 0.251578]}"
AquaticAnimal,m53.obj,7884,14822,triangle,"{""min"": [0.025, 0.025015, 0.025], ""max"": [0.163371, 0.348731, 0.974969]}"
AquaticAnimal,m54.obj,9953,18468,triangle,"{""min"": [0.025, 0.025, 0.025115], ""max"": [0.254899, 0.371143, 0.975]}"
AquaticAnimal,m55.obj,9605,18134,triangle,"{""min"": [0.025, 0.0250165, 0.0251448], ""max"": [0.18151, 0.380118, 0.974998]}"
AquaticAnimal,m56.obj,5814,10893,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.168956, 0.367452, 0.975]}"
AquaticAnimal,m57.obj,8118,15433,triangle,"{""min"": [0.025, 0.0250175, 0.025], ""max"": [0.143963, 0.389432, 0.974973]}"
AquaticAnimal,m58.obj,7602,15200,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.537049, 0.500211, 0.975]}"
AquaticAnimal,m59.obj,8320,16572,triangle,"{""min"": [0.025, 0.031422, 0.025], ""max"": [0.225, 0.225, 0.975]}"
AquaticAnimal,m60.obj,6418,12832,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.348674, 0.407675, 0.975]}"
AquaticAnimal,m61.obj,8663,16822,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.18743, 0.443396, 0.975]}"
AquaticAnimal,m62.obj,8353,16702,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.131276, 0.749178, 0.974253]}"
AquaticAnimal,m63.obj,8149,15653,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.724541, 0.777238]}"
AquaticAnimal,m64.obj,9985,19712,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.545087, 0.1789]}"
AquaticAnimal,m65.obj,8526,16859,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.399816, 0.604595, 0.975]}"
AquaticAnimal,m66.obj,8855,17508,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.445705, 0.547553, 0.975]}"
AquaticAnimal,m67.obj,9800,19596,triangle,"{""min"": [0.02501, 0.025, 0.0250015], ""max"": [0.975, 0.2497, 0.388988]}"
AquaticAnimal,m68.obj,8788,17568,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.278519, 0.18743]}"
AquaticAnimal,m69.obj,9869,19568,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.357325, 0.264776, 0.975]}"
AquaticAnimal,m70.obj,9904,19568,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.454415, 0.266076, 0.972485]}"
AquaticAnimal,m71.obj,6690,13376,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.32599, 0.371535, 0.975]}"
AquaticAnimal,m72.obj,8087,16080,triangle,"{""min"": [0.027751, 0.025, 0.025001], ""max"": [0.453623, 0.262828, 0.972701]}"
AquaticAnimal,m73.obj,9837,19637,triangle,"{""min"": [0.025, 0.0338464, 0.0333393], ""max"": [0.974973, 0.610865, 0.364881]}"
AquaticAnimal,m74.obj,7853,15574,triangle,"{""min"": [0.025, 0.0299342, 0.0258022], ""max"": [0.352969, 0.321596, 0.975]}"
AquaticAnimal,m75.obj,9081,17889,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.538384, 0.299311, 0.975]}"
AquaticAnimal,m76.obj,6325,12648,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.39593, 0.353755, 0.975]}"
AquaticAnimal,m77.obj,9045,17954,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.407994, 0.611203]}"
AquaticAnimal,m78.obj,6231,11680,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.51665, 0.428181]}"
AquaticAnimal,m79.obj,7550,14464,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.256171, 0.300958]}"
AquaticAnimal,m80.obj,9237,18169,triangle,"{""min"": [0.025, 0.025, 0.0264994], ""max"": [0.970913, 0.307107, 0.415316]}"
AquaticAnimal,m81.obj,7808,15446,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.4145, 0.291, 0.975]}"
Bed,D00031.obj,7368,14352,triangle,"{""min"": [-0.669666, -0.708463, -0.267503], ""max"": [0.930426, 0.726534, 0.312193]}"
Bed,D00110.obj,7455,14576,triangle,"{""min"": [-0.8889, -0.718484, -0.220014], ""max"": [0.75223, 0.524562, 0.339705]}"
Bed,D00121.obj,9676,19196,triangle,"{""min"": [-0.912283, -0.599669, -0.482021], ""max"": [0.78579, 0.858504, 0.463209]}"
Bed,D00184.obj,7218,14202,triangle,"{""min"": [-0.937684, -0.891329, -0.466361], ""max"": [0.750002, 0.664602, 0.341943]}"
