class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337.obj,201,340,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1340.obj,778,1457,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
Apartment,D00310.obj,14464,9480,triangle,"{""min"": [-0.744656, -0.389316, -0.368775], ""max"": [1.03298, 0.494357, 0.339434]}"
Apartment,D00478.obj,19857,25206,triangle,"{""min"": [-0.780623, -0.760414, -0.478043], ""max"": [0.910492, 0.404719, 0.451362]}"
Apartment,D00496.obj,7737,2579,triangle,"{""min"": [-0.643419, -0.704659, -0.341188], ""max"": [1.15353, 0.878216, 0.259608]}"
AquaticAnimal,m56.obj,5814,10893,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.168956, 0.367452, 0.975]}"
AquaticAnimal,m74.obj,162,336,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.354455, 0.321596, 0.975]}"
AquaticAnimal,m76.obj,1583,3164,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.39593, 0.35314, 0.975]}"
Bed,D00121.obj,15368,24612,triangle,"{""min"": [-0.912283, -0.599669, -0.482021], ""max"": [0.78579, 0.858504, 0.463209]}"
Bed,D00839.obj,16364,32648,triangle,"{""min"": [-0.800648, -0.877287, -0.351917], ""max"": [0.864395, 0.569772, 0.290771]}"
Bed,m948.obj,4597,9038,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.893382, 0.961408]}"
Bicycle,D00033.obj,2192,4448,triangle,"{""min"": [-1.0652, -0.389308, -0.281626], ""max"": [0.878724, 0.704617, 0.310015]}"
Bicycle,D00750.obj,3053,5484,triangle,"{""min"": [-0.811559, -0.818838, -0.167292], ""max"": [1.10338, 0.736372, 0.439656]}"
Bicycle,D00931.obj,32603,64230,triangle,"{""min"": [-0.920573, -0.400919, -0.432948], ""max"": [0.849829, 0.684049, 0.135958]}"
Biplane,D00132.obj,287,348,triangle,"{""min"": [-0.948872, -0.416782, -0.129309], ""max"": [0.947322, 0.85261, 0.255501]}"
Biplane,D00276.obj,567,916,triangle,"{""min"": [-1.08018, -0.864861, -0.468883], ""max"": [0.699036, 0.766394, 0.477538]}"
Biplane,D00616.obj,20306,37102,triangle,"{""min"": [-1.03189, -0.595964, -0.192579], ""max"": [0.95107, 0.339843, 0.186078]}"
Biplane,D00632.obj,624,1024,triangle,"{""min"": [-0.845186, -0.93675, -0.236713], ""max"": [0.628879, 0.935701, 0.317531]}"
Biplane,m1131.obj,482,768,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.705618, 0.975, 0.196732]}"
Bird,D00113.obj,15871,31702,triangle,"{""min"": [-0.989781, -0.565778, -0.557952], ""max"": [0.729676, 0.957181, 0.602622]}"
Bird,D00625.obj,1091,1398,triangle,"{""min"": [-0.757887, -0.803401, -0.705727], ""max"": [1.149855, 0.63741, 0.286246]}"
Bird,m43.obj,41,54,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.927106, 0.606166, 0.975]}"
Bird,m47.obj,101,165,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.695803, 0.148154, 0.975]}"
Bird,m50.obj,93,182,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.406048, 0.564283, 0.975]}"
Bookset,D01135.obj,1645,10185,triangle,"{""min"": [-0.321083, -0.215404, -0.009347], ""max"": [10.181497, 4.381266, 5.036256]}"
Bookset,D01184.obj,247,1557,triangle,"{""min"": [0.0, -0.0, 0.0], ""max"": [0.191003, 0.230709, 0.326618]}"
Bottle,D00311.obj,829,1448,triangle,"{""min"": [-0.831219, -0.338461, -0.336791], ""max"": [0.878387, 0.349036, 0.344165]}"
Bottle,D00347.obj,2426,4438,triangle,"{""min"": [-1.01519, -0.171, -0.213249], ""max"": [0.565986, 0.262845, 0.218416]}"
Bottle,D00711.obj,192,336,triangle,"{""min"": [-0.859195, -0.381496, -0.401455], ""max"": [1.04485, 0.461388, 0.427899]}"
Bottle,D00940.obj,737,1242,triangle,"{""min"": [-1.07424, -0.303107, -0.398902], ""max"": [0.731591, 0.475795, 0.372505]}"
BuildingNonResidential,m382.obj,252,400,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.944817, 0.670641, 0.975]}"
BuildingNonResidential,m393.obj,241,326,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.635937, 0.847742]}"
BuildingNonResidential,m400.obj,488,840,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.778448, 0.788603, 0.975]}"
