class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337.obj,5099,9722,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1340.obj,4957,9653,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
Apartment,D00310.obj,5934,9480,triangle,"{""min"": [-0.744656, -0.389316, -0.368775], ""max"": [1.03298, 0.494357, 0.339434]}"
Apartment,D00478.obj,5060,5337,triangle,"{""min"": [-0.780623, -0.760414, -0.478043], ""max"": [0.910492, 0.403067, 0.451362]}"
Apartment,D00496.obj,5655,10316,triangle,"{""min"": [-0.643419, -0.704659, -0.341188], ""max"": [1.15353, 0.878216, 0.259608]}"
AquaticAnimal,m56.obj,5814,10893,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.168956, 0.367452, 0.975]}"
AquaticAnimal,m74.obj,5212,10814,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.354455, 0.321596, 0.975]}"
AquaticAnimal,m76.obj,5058,10116,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.39593, 0.35314, 0.975]}"
Bed,D00121.obj,4782,9408,triangle,"{""min"": [-0.912283, -0.599669, -0.482021], ""max"": [0.78579, 0.858504, 0.463209]}"
Bed,D00839.obj,5048,10035,triangle,"{""min"": [-0.800443, -0.877287, -0.351917], ""max"": [0.864395, 0.569772, 0.290771]}"
Bed,m948.obj,4597,9038,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.975, 0.893382, 0.961408]}"
Bicycle,D00033.obj,4793,10146,triangle,"{""min"": [-1.0652, -0.389308, -0.281626], ""max"": [0.878724, 0.704617, 0.310015]}"
Bicycle,D00750.obj,5043,9787,triangle,"{""min"": [-0.811559, -0.818838, -0.167292], ""max"": [1.10338, 0.736372, 0.439656]}"
Bicycle,D00931.obj,4579,8286,triangle,"{""min"": [-0.920433, -0.399492, -0.432509], ""max"": [0.849061, 0.683729, 0.135257]}"
Biplane,D00132.obj,5022,9296,triangle,"{""min"": [-0.948872, -0.416782, -0.129309], ""max"": [0.947322, 0.85261, 0.255501]}"
Biplane,D00276.obj,5179,10097,triangle,"{""min"": [-1.08018, -0.864861, -0.468883], ""max"": [0.699036, 0.766394, 0.477538]}"
