class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337.obj,4662,9000,triangle,"{""min"": [-0.456565, -0.572539, -0.457659], ""max"": [0.454755, 0.427461, 0.453663]}"
AircraftBuoyant,m1340.obj,4615,8999,triangle,"{""min"": [-0.172194, -0.321461, -0.172036], ""max"": [0.175573, 0.678539, 0.175734]}"
Apartment,D00310.obj,5934,9480,triangle,"{""min"": [-0.464419, -0.217401, -0.198465], ""max"": [0.535581, 0.279705, 0.199934]}"
Apartment,D00478.obj,5724,8999,triangle,"{""min"": [-0.488039, -0.408888, -0.284835], ""max"": [0.511961, 0.280086, 0.264746]}"
Apartment,D00496.obj,5603,10316,triangle,"{""min"": [-0.365414, -0.408423, -0.182971], ""max"": [0.634586, 0.494569, 0.171825]}"
AquaticAnimal,m56.obj,5814,10893,triangle,"{""min"": [-0.0759573, -0.15337, -0.724449], ""max"": [0.0755753, 0.207106, 0.275551]}"
AquaticAnimal,m74.obj,4305,9000,triangle,"{""min"": [-0.164857, -0.143351, -0.728709], ""max"": [0.172221, 0.162092, 0.271291]}"
AquaticAnimal,m76.obj,4500,9000,triangle,"{""min"": [-0.193792, -0.167484, -0.638967], ""max"": [0.194306, 0.177475, 0.361033]}"
Bed,D00121.obj,4578,9000,triangle,"{""min"": [-0.427122, -0.419402, -0.428649], ""max"": [0.572878, 0.43932, 0.127999]}"
Bed,D00839.obj,4530,8999,triangle,"{""min"": [-0.403392, -0.439391, -0.26862], ""max"": [0.596608, 0.429798, 0.117416]}"
Bed,m948.obj,4597,9038,triangle,"{""min"": [-0.51366, -0.443863, -0.418924], ""max"": [0.48634, 0.470223, 0.566769]}"
Bicycle,D00033.obj,4220,9000,triangle,"{""min"": [-0.507695, -0.234117, -0.146189], ""max"": [0.492305, 0.328624, 0.158165]}"
Bicycle,D00750.obj,4649,8999,triangle,"{""min"": [-0.482289, -0.402996, -0.128053], ""max"": [0.517711, 0.40915, 0.188901]}"
Bicycle,D00931.obj,4911,9000,triangle,"{""min"": [-0.493557, -0.287558, -0.205108], ""max"": [0.506443, 0.324607, 0.115755]}"
Biplane,D00132.obj,5084,8999,triangle,"{""min"": [-0.501587, -0.210158, -0.0719592], ""max"": [0.498413, 0.451173, 0.120195]}"
Biplane,D00276.obj,4615,8999,triangle,"{""min"": [-0.425348, -0.508044, -0.349491], ""max"": [0.574652, 0.409871, 0.182349]}"
Biplane,D00616.obj,3603,8999,triangle,"{""min"": [-0.497822, -0.174646, -0.092434], ""max"": [0.502178, 0.297021, 0.0956596]}"
Biplane,D00632.obj,4805,9000,triangle,"{""min"": [-0.536638, -0.498634, -0.111722], ""max"": [0.25066, 0.501366, 0.174562]}"
Biplane,m1131.obj,4805,8999,triangle,"{""min"": [-0.332325, -0.493867, -0.0878209], ""max"": [0.383984, 0.506133, 0.0928259]}"
Bird,D00113.obj,4520,9000,triangle,"{""min"": [-0.451271, -0.370908, -0.365763], ""max"": [0.548729, 0.51486, 0.309109]}"
Bird,D00625.obj,3504,5592,triangle,"{""min"": [-0.512869, -0.418136, -0.311186], ""max"": [0.487131, 0.332972, 0.210132]}"
Bird,m43.obj,1812,3456,triangle,"{""min"": [-0.318596, -0.456432, -0.358575], ""max"": [0.494732, 0.113116, 0.641425]}"
Bird,m47.obj,5393,10560,triangle,"{""min"": [-0.460393, -0.0739512, -0.498651], ""max"": [0.246055, 0.0546245, 0.501349]}"
Bird,m50.obj,5826,11648,triangle,"{""min"": [-0.188822, -0.338851, -0.584906], ""max"": [0.186299, 0.254136, 0.415094]}"
Bookset,D01135.obj,6649,40740,triangle,"{""min"": [-0.484805, -0.277689, -0.241719], ""max"": [0.515195, 0.160855, 0.239278]}"
Bookset,D01184.obj,16074,99648,triangle,"{""min"": [-0.0855839, -0.364933, -0.429342], ""max"": [0.486398, 0.331757, 0.570658]}"
Bottle,D00311.obj,4504,9000,triangle,"{""min"": [-0.672804, -0.223257, -0.189473], ""max"": [0.327196, 0.175468, 0.205891]}"
Bottle,D00347.obj,4313,8999,triangle,"{""min"": [-0.597255, -0.134631, -0.133603], ""max"": [0.402745, 0.13975, 0.139399]}"
Bottle,D00711.obj,4541,9000,triangle,"{""min"": [-0.508837, -0.212406, -0.214618], ""max"": [0.491163, 0.21704, 0.213836]}"
Bottle,D00940.obj,4510,9000,triangle,"{""min"": [-0.254224, -0.208803, -0.21529], ""max"": [0.745776, 0.220363, 0.210228]}"
BuildingNonResidential,m382.obj,4628,8999,triangle,"{""min"": [-0.479463, -0.22376, -0.52372], ""max"": [0.464184, 0.458943, 0.47628]}"
BuildingNonResidential,m393.obj,4793,9000,triangle,"{""min"": [-0.494972, -0.220489, -0.491631], ""max"": [0.505028, 0.554249, 0.499533]}"
BuildingNonResidential,m400.obj,4544,9000,triangle,"{""min"": [-0.389798, -0.247813, -0.650025], ""max"": [0.403305, 0.452531, 0.349975]}"
BuildingNonResidential,m405.obj,4583,8999,triangle,"{""min"": [-0.498382, -0.385018, -0.493397], ""max"": [0.501618, 0.504106, 0.474021]}"
BuildingNonResidential,m412.obj,5271,9000,triangle,"{""min"": [-0.530995, -0.0494874, -0.288518], ""max"": [0.469005, 0.0590495, 0.223677]}"
Bus,D00182.obj,13401,86394,triangle,"{""min"": [-0.570634, -0.0927937, -0.0973236], ""max"": [0.429366, 0.0920177, 0.147378]}"
Bus,D00411.obj,4964,34821,triangle,"{""min"": [-0.482045, -0.164871, -0.133334], ""max"": [0.517955, 0.174519, 0.129025]}"
Car,D00670.obj,3861,6755,triangle,"{""min"": [-0.558985, -0.189046, -0.143626], ""max"": [0.441015, 0.18448, 0.146613]}"
Car,D00671.obj,4843,8999,triangle,"{""min"": [-0.556945, -0.189258, -0.201927], ""max"": [0.443055, 0.18456, 0.132577]}"
Car,D00724.obj,5786,9000,triangle,"{""min"": [-0.476589, -0.264876, -0.223913], ""max"": [0.523411, 0.240359, 0.218644]}"
Car,m1502.obj,4970,7120,triangle,"{""min"": [-0.514126, -0.0947269, -0.258453], ""max"": [0.485874, 0.0962268, 0.246636]}"
Car,m1512.obj,5365,9000,triangle,"{""min"": [-0.514911, -0.186768, -0.0839635], ""max"": [0.485089, 0.186505, 0.150525]}"
Car,m1513.obj,5361,8999,triangle,"{""min"": [-0.618311, -0.216414, -0.0900725], ""max"": [0.381689, 0.218048, 0.199394]}"
Car,m1514.obj,4714,9000,triangle,"{""min"": [-0.212638, -0.110538, -0.541125], ""max"": [0.242163, 0.13705, 0.458875]}"
Car,m1517.obj,3955,7448,triangle,"{""min"": [-0.21865, -0.110409, -0.548278], ""max"": [0.217031, 0.204544, 0.451722]}"
Car,m1551.obj,4678,9000,triangle,"{""min"": [-0.462081, -0.104065, -0.2195], ""max"": [0.537919, 0.150679, 0.226931]}"
Cellphone,D00032.obj,5016,9924,triangle,"{""min"": [-0.356313, -0.235319, -0.0844857], ""max"": [0.643687, 0.229804, 0.0884319]}"
Cellphone,D00559.obj,3000,9000,triangle,"{""min"": [-0.493454, -0.16378, -0.127292], ""max"": [0.506546, 0.174961, 0.0590391]}"
Chess,D01049.obj,4510,9000,triangle,"{""min"": [-0.179618, -0.535722, -0.149178], ""max"": [0.178135, 0.464278, 0.208576]}"
Chess,D01080.obj,4502,9000,triangle,"{""min"": [-0.200353, -0.41909, -0.20066], ""max"": [0.197471, 0.58091, 0.197164]}"
Chess,m1596.obj,4725,9000,triangle,"{""min"": [-0.270621, -0.0606791, -0.528465], ""max"": [0.291878, 0.0718956, 0.471535]}"
Chess,m1607.obj,4502,9000,triangle,"{""min"": [-0.25505, -0.507137, -0.254239], ""max"": [0.255504, 0.492863, 0.256315]}"
Chess,m1608.obj,4502,9000,triangle,"{""min"": [-0.389826, -0.513125, -0.38868], ""max"": [0.385826, 0.486875, 0.386972]}"
City,D01090.obj,5009,9000,triangle,"{""min"": [-0.444144, -0.0274822, -0.532579], ""max"": [0.373743, 0.0634697, 0.467421]}"
City,m1652.obj,5867,9000,triangle,"{""min"": [-0.376136, -0.052641, -0.694998], ""max"": [0.49884, 0.116078, 0.305002]}"
City,m1664.obj,5706,19781,triangle,"{""min"": [-0.173631, -0.074598, -0.693157], ""max"": [0.484666, 0.272254, 0.306843]}"
ClassicPiano,D00561.obj,6393,36660,triangle,"{""min"": [-0.375099, -0.398836, -0.259393], ""max"": [0.303095, 0.601164, 0.32994]}"
ClassicPiano,D00983.obj,10522,61056,triangle,"{""min"": [-0.5435, -0.419132, -0.297112], ""max"": [0.4565, 0.386241, 0.157675]}"
Computer,D01026.obj,6096,12160,triangle,"{""min"": [-0.62928, -0.309627, -0.556528], ""max"": [0.37072, 0.417003, 0.436377]}"
Computer,D01033.obj,4672,9000,triangle,"{""min"": [-0.520609, -0.130589, -0.422933], ""max"": [0.150778, 0.52508, 0.577067]}"
Computer,D01085.obj,2440,4864,triangle,"{""min"": [-0.333048, -0.345793, -0.409663], ""max"": [0.331406, 0.654207, 0.347099]}"
Computer,D01100.obj,4668,8999,triangle,"{""min"": [-0.519126, -0.575022, -0.130668], ""max"": [0.152225, 0.424978, 0.524995]}"
ComputerKeyboard,D00197.obj,6384,38268,triangle,"{""min"": [-0.496629, -0.19584, -0.0541865], ""max"": [0.503371, 0.164489, 0.0203638]}"
ComputerKeyboard,D00569.obj,5541,33216,triangle,"{""min"": [-0.194131, -0.513544, -0.0378842], ""max"": [0.206484, 0.486456, 0.0254284]}"
Cup,D00206.obj,4541,9000,triangle,"{""min"": [-0.392764, -0.481231, -0.461956], ""max"": [0.607236, 0.48412, 0.499001]}"
Cup,D00355.obj,4502,9000,triangle,"{""min"": [-0.459086, -0.166367, -0.153351], ""max"": [0.540914, 0.163883, 0.15748]}"
Cup,m501.obj,4132,8000,triangle,"{""min"": [-0.340822, -0.626044, -0.337903], ""max"": [0.337009, 0.373956, 0.33906]}"
DeskLamp,D00455.obj,4543,9000,triangle,"{""min"": [-0.560131, -0.219817, -0.15912], ""max"": [0.439869, 0.169984, 0.151407]}"
DeskLamp,D00693.obj,4601,9000,triangle,"{""min"": [-0.361085, -0.148548, -0.161091], ""max"": [0.638915, 0.209408, 0.150724]}"
