file,category,original_vertices,resampled_vertices,original_faces,resampled_faces,expected_action,actual_action,change
m1337.obj,AircraftBuoyant,201,8727,340,16972,subdivide,subdivided,8526
m1338.obj,AircraftBuoyant,8761,8761,16960,16960,unchanged,unchanged,0
m1339.obj,AircraftBuoyant,1878,9896,6173,23555,subdivide,subdivided,8018
m1340.obj,AircraftBuoyant,778,9252,1457,18145,subdivide,subdivided,8474
m1341.obj,AircraftBuoyant,425,7888,824,15717,subdivide,subdivided,7463
m1342.obj,AircraftBuoyant,1252,8115,2305,15684,subdivide,subdivided,6863
m1343.obj,AircraftBuoyant,178,8592,344,17172,subdivide,subdivided,8414
m1344.obj,AircraftBuoyant,1093,8755,1930,16719,subdivide,subdivided,7662
m1345.obj,AircraftBuoyant,3174,9664,6000,18719,subdivide,subdivided,6490
m1346.obj,AircraftBuoyant,742,8757,1375,17147,subdivide,subdivided,8015
m1347.obj,AircraftBuoyant,3055,9564,6274,18850,subdivide,subdivided,6509
m1348.obj,AircraftBuoyant,795,8810,1382,17247,subdivide,subdivided,8015
m1349.obj,AircraftBuoyant,432,8506,640,15654,subdivide,subdivided,8074
m1350.obj,AircraftBuoyant,1097,8923,1976,17261,subdivide,subdivided,7826
m1351.obj,AircraftBuoyant,12987,8111,24466,14882,simplify,simplified,-4876
m1352.obj,AircraftBuoyant,3298,7822,6348,15447,subdivide,subdivided,4524
D00045.obj,Apartment,14865,9396,21021,11475,simplify,simplified,-5469
D00086.obj,Apartment,20462,7824,42064,15311,simplify,simplified,-12638
D00138.obj,Apartment,10710,8380,21140,16474,simplify,simplified,-2330
D00156.obj,Apartment,11745,9536,19380,14993,simplify,simplified,-2209
D00310.obj,Apartment,5934,8566,9480,13797,unchanged,subdivided,2632
D00348.obj,Apartment,2006,6880,3008,12032,subdivide,subdivided,4874
D00366.obj,Apartment,1294,7854,2540,15525,subdivide,subdivided,6560
D00478.obj,Apartment,15670,8749,25206,13230,simplify,simplified,-6921
D00496.obj,Apartment,1598,8262,2579,15500,subdivide,subdivided,6664
D00626.obj,Apartment,30598,8908,64688,20734,simplify,simplified,-21690
D00639.obj,Apartment,4282,9026,7980,17427,subdivide,subdivided,4744
D00651.obj,Apartment,11752,9538,19380,14998,simplify,simplified,-2214
D00681.obj,Apartment,12682,8252,15557,9412,simplify,simplified,-4430
D00780.obj,Apartment,8240,8240,13684,13323,unchanged,unchanged,0
D00792.obj,Apartment,795,7938,1158,14450,subdivide,subdivided,7143
D00859.obj,Apartment,1327,9843,2163,18754,subdivide,subdivided,8516
D00860.obj,Apartment,15670,8749,25206,13231,simplify,simplified,-6921
D00869.obj,Apartment,4847,9642,9069,17286,subdivide,subdivided,4795
D00921.obj,Apartment,6689,9597,7983,12186,unchanged,subdivided,2908
D00953.obj,Apartment,4156,9944,7140,17168,subdivide,subdivided,5788
m463.obj,Apartment,2022,7539,3672,14620,subdivide,subdivided,5517
m464.obj,Apartment,8301,8297,12810,12794,unchanged,unchanged,-4
m465.obj,Apartment,2335,8906,4363,17452,subdivide,subdivided,6571
m53.obj,AquaticAnimal,18409,7842,34877,14823,simplify,simplified,-10567
m54.obj,AquaticAnimal,18143,9913,33836,18469,simplify,simplified,-8230
m55.obj,AquaticAnimal,19505,9543,37072,18135,simplify,simplified,-9962
m56.obj,AquaticAnimal,5814,8835,10893,16651,unchanged,subdivided,3021
m57.obj,AquaticAnimal,18878,8098,36278,15435,simplify,simplified,-10780
m58.obj,AquaticAnimal,477,7602,950,15200,subdivide,subdivided,7125
m59.obj,AquaticAnimal,44,8297,1680,16572,subdivide,subdivided,8253
m60.obj,AquaticAnimal,1606,9809,3208,19614,subdivide,subdivided,8203
m61.obj,AquaticAnimal,216,8725,337,16822,subdivide,subdivided,8509
m62.obj,AquaticAnimal,241,8353,478,16702,subdivide,subdivided,8112
m63.obj,AquaticAnimal,1112,8586,1792,15652,subdivide,subdivided,7474
m64.obj,AquaticAnimal,247,7846,444,15375,subdivide,subdivided,7599
m65.obj,AquaticAnimal,1004,8559,1930,16859,subdivide,subdivided,7555
m66.obj,AquaticAnimal,4117,9098,8196,17507,subdivide,subdivided,4981
m67.obj,AquaticAnimal,14000,9800,27996,19596,simplify,simplified,-4200
m68.obj,AquaticAnimal,553,8769,1098,17568,subdivide,subdivided,8216
m69.obj,AquaticAnimal,317,9946,560,19568,subdivide,subdivided,9629
m70.obj,AquaticAnimal,320,9995,560,19567,subdivide,subdivided,9675
m71.obj,AquaticAnimal,420,7976,836,15948,subdivide,subdivided,7556
m72.obj,AquaticAnimal,331,8193,590,16080,subdivide,subdivided,7862
m73.obj,AquaticAnimal,285,9842,564,19636,subdivide,subdivided,9557
m75.obj,AquaticAnimal,298,9173,512,17889,subdivide,subdivided,8875
m76.obj,AquaticAnimal,1583,9668,3164,19334,subdivide,subdivided,8085
m77.obj,AquaticAnimal,11578,9045,23022,17954,simplify,simplified,-2533
m78.obj,AquaticAnimal,468,9655,734,17853,subdivide,subdivided,9187
m79.obj,AquaticAnimal,166,7498,226,14464,subdivide,subdivided,7332
m80.obj,AquaticAnimal,1104,9338,2104,18169,subdivide,subdivided,8234
m81.obj,AquaticAnimal,857,7755,1673,15447,subdivide,subdivided,6898
D00031.obj,Bed,1867,7368,3590,14352,subdivide,subdivided,5501
D00110.obj,Bed,1926,7454,3644,14576,subdivide,subdivided,5528
D00121.obj,Bed,12384,9676,24612,19196,simplify,simplified,-2708
D00184.obj,Bed,7218,7218,14204,14202,unchanged,unchanged,0
D00210.obj,Bed,17296,9521,34247,18697,simplify,simplified,-7775
D00213.obj,Bed,2277,9063,4536,18056,subdivide,subdivided,6786
D00217.obj,Bed,3238,9945,6272,19567,subdivide,subdivided,6707
D00307.obj,Bed,2644,8191,5259,16127,subdivide,subdivided,5547
D00322.obj,Bed,7442,7442,14796,14796,unchanged,unchanged,0
D00417.obj,Bed,12236,9552,24736,19032,simplify,simplified,-2684
D00538.obj,Bed,7136,7136,13868,13868,unchanged,unchanged,0
