mesh_index,bary_before_translation,bary_after_translation,bbox_before_scaling,bbox_after_scaling
1,0.873615709,4.81E-15,0.950000023,1
2,0.903731807,4.87E-15,0.950000023,1
3,0.705293747,1.66E-15,0.950000023,1
4,0.751298982,7.63E-15,0.950000023,1
5,0.710317101,9.84E-16,0.950000023,1
6,0.730866437,3.59E-15,0.950000023,1
7,0.739734791,4.87E-15,0.950000023,1
8,0.819437462,5.19E-15,0.953161525,1
9,0.805768723,3.98E-15,0.950000023,1
10,0.54602112,7.01E-16,0.950000023,1
11,0.564128372,2.02E-15,0.950000023,1
12,0.546035792,4.99E-16,0.950000023,1
13,0.547082915,3.97E-15,0.950000023,1
14,0.53444165,4.55E-15,0.950000023,1
15,0.476274424,1.54E-15,0.950000023,1
16,0.594008613,3.17E-15,0.949730024,1
17,0.129274411,2.08E-16,1.471329987,1
18,0.349586925,8.15E-16,1.784044981,1
19,0.069232871,1.77E-16,1.559020996,1
20,0.079623998,5.14E-16,1.70064801,1
21,0.139767088,4.41E-16,1.777635992,1
22,0.275191616,1.53E-15,1.667168021,1
23,0.175548379,2.89E-16,1.641110957,1
24,0.085546542,5.48E-16,1.691115022,1
25,0.204479928,2.52E-16,1.796949029,1
26,0.114008548,1.46E-15,1.792921007,1
27,0.171036296,1.75E-16,1.683898032,1
28,0.081511585,5.51E-16,1.865417004,1
29,0.218809234,2.04E-15,1.77620101,1
30,0.122462797,3.26E-16,1.766929984,1
31,0.209589339,1.43E-15,1.928784966,1
32,0.128815938,1.37E-15,1.897965968,1
33,0.0965376,3.94E-16,1.691959977,1
34,0.218216435,1.30E-15,1.672872007,1
35,0.140846721,6.54E-17,1.673306048,1
36,0.186209983,4.65E-16,1.722877979,1
37,0.572881558,3.57E-15,0.950000023,1
38,0.437183653,2.08E-15,0.950000023,1
39,0.510393098,3.76E-15,0.950000023,1
40,0.594489904,2.60E-15,0.949969029,1
41,0.604901285,1.42E-15,0.949885024,1
42,0.594927744,2.16E-15,0.949736193,1
43,0.598147472,1.15E-15,0.950000023,1
44,0.599014503,4.47E-15,0.949973023,1
45,0.666184733,3.57E-15,0.950000023,1
46,0.504682719,1.35E-15,0.950000023,1
47,0.613864593,2.36E-15,0.950000023,1
48,0.657274399,8.84E-16,0.950000023,1
49,0.698997528,1.42E-15,0.949252998,1
50,0.661926884,3.64E-15,0.950000023,1
51,0.525064605,1.28E-15,0.950000023,1
52,0.690089295,5.00E-15,0.950000023,1
53,0.711139762,7.89E-16,0.950000023,1
54,0.559824737,4.07E-15,0.949990023,1
55,0.524270871,4.34E-16,0.950000023,1
56,0.642250914,3.19E-15,0.950000023,1
57,0.590171012,1.34E-15,0.947485005,1
58,0.572154216,1.03E-15,0.950000023,1
59,0.593638109,1.54E-15,0.947700012,1
60,0.636433597,1.76E-15,0.949973023,1
61,0.641137946,2.20E-15,0.949197823,1
62,0.624307765,1.00E-15,0.950000023,1
63,0.637007465,1.64E-15,0.950000023,1
64,0.614616055,5.00E-15,0.950000023,1
65,0.586163545,3.54E-15,0.950000023,1
66,0.570296966,1.21E-15,0.950000023,1
67,0.499743625,2.23E-15,0.945912993,1
68,0.623523978,2.14E-15,0.950000023,1
69,0.051997977,3.06E-16,1.600091994,1
