class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,ROC_AUC_micro,ROC_AUC_macro
AircraftBuoyant,16,1.25,8.75,5.75,0.0,7.0,2437.0,0.1484643149711533,0.7067471786402422,0.40464691985175155,0.15336555137142588,1.25,8.75,5.75,0.0,0.17857142857142855,0.0,0.125,0.0,0.8214285714285714,1.0,0.875,1.0,0.08366815476190476,0.08366815476190476,0.18099547511312217,0.1636661211129296,0.2024291497975708,-0.8473803833126625,-0.8214285714285715,-0.875,0.17857142857142855,0.7070925371593725,
Apartment,23,0.6956521739130435,9.304347826086957,6.260869565217392,0.0,6.956521739130435,2437.0,0.14689953176882142,0.5574939238455306,0.3925957219121422,0.09336896029200503,0.6956521739130435,9.304347826086957,6.260869565217392,0.0,0.09937888198757763,0.0,0.06956521739130435,0.0,0.9006211180124224,1.0,0.9304347826086956,1.0,0.045729813664596275,0.045729813664596275,0.1711229946524064,0.15473887814313347,0.19138755980861238,-0.9151483838984695,-0.9006211180124224,-0.9304347826086956,0.09937888198757763,0.521132386694974,
AquaticAnimal,28,2.7142857142857144,7.285714285714286,4.285714285714286,0.0,7.0,2437.0,0.5153301159188939,0.822604777272827,0.5467197877063593,0.3254993643715096,2.7142857142857144,7.285714285714286,4.285714285714286,0.0,0.38775510204081626,0.0,0.2714285714285714,0.0,0.6122448979591837,1.0,0.7285714285714285,1.0,0.21081596974454117,0.21081596974454117,0.37254901960784315,0.3368794326241134,0.4166666666666666,-0.6638948038527349,-0.6122448979591837,-0.7285714285714285,0.38775510204081626,0.8136600536941379,
Bed,27,1.8148148148148149,8.185185185185185,5.037037037037037,0.0,6.851851851851852,2437.0,0.5141690237455206,0.8302414975994403,0.5312618613003144,0.21061931619436292,1.8148148148148149,8.185185185185185,5.037037037037037,0.0,0.26455026455026454,0.0,0.1814814814814815,0.0,0.7354497354497355,1.0,0.8185185185185185,1.0,0.132987382987383,0.132987382987383,0.2766106442577031,0.24888771419761244,0.3114403656199321,-0.7742446979245592,-0.7354497354497355,-0.8185185185185185,0.26455026455026454,0.7898777572648872,
Bicycle,26,5.923076923076923,4.076923076923077,2.0384615384615383,0.0,6.961538461538462,2437.0,1.294506061414297,0.9413949483352468,0.7202797298427359,0.6429709587676952,5.923076923076923,4.076923076923077,2.0384615384615383,0.0,0.7042124542124543,0.0,0.5923076923076923,0.0,0.2957875457875458,1.0,0.4076923076923077,1.0,0.5588510848126232,0.5588510848126232,0.6650894392844857,0.6339845318330848,0.7026220282163209,-0.6481457797948239,-0.38452380952380955,-0.7153846153846154,0.6154761904761905,0.9370770898956893,
Biplane,45,2.7111111111111112,7.288888888888889,4.333333333333333,0.0,7.0,2437.0,1.1443222599411902,0.9120853330631851,0.6205851828192412,0.30298943010409113,2.7111111111111112,7.288888888888889,4.333333333333333,0.0,0.38095238095238093,0.0,0.27111111111111114,0.0,0.6190476190476191,1.0,0.7288888888888888,1.0,0.21573787323787322,0.21573787323787322,0.3850909733262674,0.34981790300939236,0.4284359547517442,-0.6953559266451631,-0.6190476190476191,-0.7534883720930232,0.38095238095238093,0.9038176537159682,
Bird,43,1.6511627906976745,8.348837209302326,5.325581395348837,0.0,6.976744186046512,2437.0,0.4647566528382505,0.6359726451147532,0.4890917387242192,0.19109121752611508,1.6511627906976745,8.348837209302326,5.325581395348837,0.0,0.2369878183831672,0.0,0.16511627906976745,0.0,0.7630121816168328,1.0,0.8348837209302326,1.0,0.12212709770849306,0.12212709770849306,0.3347058823529412,0.3023126734505088,0.37492260061919497,-0.7964410501886575,-0.7630121816168328,-0.8348837209302326,0.2369878183831672,0.633007118466166,
Bookset,20,1.55,8.45,5.45,0.0,7.0,2437.0,0.24105561026439334,0.6616919158939533,0.4378619311074021,0.166695240045252,1.55,8.45,5.45,0.0,0.2214285714285714,0.0,0.155,0.0,0.7785714285714286,1.0,0.845,1.0,0.1107967032967033,0.1107967032967033,0.28054298642533937,0.2536824877250409,0.3137651821862347,-0.8099835677641221,-0.7785714285714286,-0.845,0.2214285714285714,0.5767551477950459,
Bottle,30,3.6333333333333333,6.366666666666666,3.3666666666666667,0.0,6.966666666666667,2437.0,0.7831436964143276,0.6858527131782945,0.5783612483981565,0.39983423108410104,3.6333333333333333,6.366666666666666,3.3666666666666667,0.0,0.5142857142857143,0.0,0.36333333333333334,0.0,0.4857142857142857,1.0,0.6366666666666667,1.0,0.3139801864801865,0.3139801864801865,0.5321350762527233,0.4824172576832151,0.5934106098579782,-0.5797474926321984,-0.4857142857142857,-0.6642857142857144,0.5142857142857143,0.6555604084723973,
BuildingNonResidential,42,0.5952380952380952,9.404761904761905,6.261904761904762,0.0,6.857142857142857,2437.0,0.22505292123391515,0.5409584596084454,0.42417249727654893,0.06844374328051696,0.5952380952380952,9.404761904761905,6.261904761904762,0.0,0.08616780045351473,0.0,0.05952380952380952,0.0,0.9138321995464852,1.0,0.9404761904761905,1.0,0.039469954648526075,0.039469954648526075,0.17387543252595153,0.15671763617565435,0.1953196139136769,-0.9267968630141231,-0.9138321995464852,-0.9404761904761905,0.08616780045351473,0.48843118690803283,
Bus,20,0.9,9.1,5.9,0.0,6.8,2437.0,0.15103894947772353,0.6525477776326672,0.4005204262186363,0.11780804833083798,0.9,9.1,5.9,0.0,0.13452380952380952,0.0,0.09,0.0,0.8654761904761905,1.0,0.9099999999999999,1.0,0.06041666666666666,0.06041666666666666,0.1795343137254902,0.16053808202281838,0.20381836945304435,-0.8870396354228772,-0.8654761904761905,-0.9099999999999999,0.13452380952380952,0.6317115058116756,
Car,89,3.662921348314607,6.337078651685394,3.50561797752809,0.0,6.887640449438202,2437.0,1.8848357382543441,0.6731281887713503,0.6252929685538556,0.3936579400244768,3.662921348314607,6.337078651685394,3.50561797752809,0.0,0.4911717495987159,0.0,0.36629213483146067,0.0,0.5088282504012841,1.0,0.6337078651685393,1.0,0.32743132335828967,0.32743132335828967,0.47727743819075086,0.4395606412588043,0.5233849099106873,-0.7212455281844029,-0.5088282504012841,-0.7776119402985074,0.4911717495987159,0.6512624449958571,
Cellphone,20,1.8,8.2,5.15,0.0,6.95,2437.0,0.35165489517862286,0.724413390797092,0.4822173443744256,0.1937908303118919,1.8,8.2,5.15,0.0,0.2571428571428571,0.0,0.18,0.0,0.7428571428571429,1.0,0.82,1.0,0.13359203296703298,0.13359203296703298,0.35294117647058826,0.3191489361702127,0.39473684210526305,-0.7786635799076258,-0.7428571428571429,-0.82,0.2571428571428571,0.7216761351268991,
Chess,42,3.8095238095238093,6.190476190476191,3.238095238095238,0.0,6.976190476190476,2437.0,1.1681684916296415,0.7966294482286583,0.6305307670449001,0.45449846498095003,3.8095238095238093,6.190476190476191,3.238095238095238,0.0,0.5340136054421768,0.0,0.38095238095238093,0.0,0.4659863945578231,1.0,0.6190476190476191,1.0,0.32736568986568987,0.32736568986568987,0.4786324786324786,0.43507910529187127,0.5320994794679006,-0.6329223552117035,-0.46598639455782315,-0.7029411764705882,0.5340136054421768,0.7752685836200464,
City,27,1.2222222222222223,8.777777777777779,5.7407407407407405,0.0,6.962962962962963,2437.0,0.2676821234733883,0.7273630712038012,0.46299736178384016,0.18615513463110672,1.2222222222222223,8.777777777777779,5.7407407407407405,0.0,0.17548500881834214,0.0,0.12222222222222223,0.0,0.8245149911816578,1.0,0.8777777777777778,1.0,0.08372676706010039,0.08372676706010039,0.19448529411764706,0.17564754856614245,0.21787925696594423,-0.8500973777565011,-0.8245149911816578,-0.8777777777777778,0.17548500881834214,0.6826888228642534,
ClassicPiano,20,0.6,9.4,6.25,0.0,6.85,2437.0,0.09871377415381759,0.7229017021461843,0.3653907601348009,0.05611036147592942,0.6,9.4,6.25,0.0,0.08809523809523809,0.0,0.06000000000000001,0.0,0.9119047619047619,1.0,0.9400000000000001,1.0,0.03875,0.03875,0.1426470588235294,0.12812210915818686,0.16099071207430338,-0.9256884546763933,-0.9119047619047619,-0.9400000000000001,0.08809523809523809,0.6658506377606547,
Computer,33,1.6666666666666667,8.333333333333334,5.333333333333333,0.0,7.0,2437.0,0.4111736983586169,0.651012726012726,0.5019021649181953,0.24163760556259692,1.6666666666666667,8.333333333333334,5.333333333333333,0.0,0.23809523809523808,0.0,0.16666666666666666,0.0,0.7619047619047619,1.0,0.8333333333333334,1.0,0.12386363636363637,0.12386363636363637,0.2310924369747899,0.20896656534954408,0.25845864661654133,-0.7946504522282014,-0.7619047619047619,-0.8333333333333334,0.23809523809523808,0.5632194296967024,
ComputerKeyboard,20,2.85,7.15,4.1,0.0,6.85,2437.0,0.4732277048380277,0.6870771842758261,0.5200382718322567,0.3349056653033339,2.85,7.15,4.1,0.0,0.39285714285714285,0.0,0.28500000000000003,0.0,0.6071428571428571,1.0,0.7150000000000001,1.0,0.24559523809523812,0.24559523809523812,0.4396284829721362,0.40165002171081193,0.48627002288329524,-0.7530510065150523,-0.6071428571428571,-0.7999999999999999,0.39285714285714285,0.6397663358147229,
