query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1337_06_fill_holes_and_orientation.obj,m1337,AircraftBuoyant,1,9,6,0,7,2437,0.10859910448903147,0.8247729149463253,0.38757561202257085,0.07839826897867534,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1338_06_fill_holes_and_orientation.obj,m1338,AircraftBuoyant,1,9,6,0,7,2437,0.09813604220331373,0.7950178915496835,0.3802760797033737,0.1100458831490401,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1339_06_fill_holes_and_orientation.obj,m1339,AircraftBuoyant,0,10,7,0,7,2437,0.008401608242813446,0.21555188549408202,0.23577397350025975,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1340_06_fill_holes_and_orientation.obj,m1340,AircraftBuoyant,1,9,6,0,7,2437,0.16133050332781532,0.6221029452243325,0.42095204350601084,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1341_06_fill_holes_and_orientation.obj,m1341,AircraftBuoyant,1,9,6,0,7,2437,0.17464018343577867,0.7331406551059729,0.4434296641379038,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1342_06_fill_holes_and_orientation.obj,m1342,AircraftBuoyant,3,7,4,0,7,2437,0.3653942886293658,0.8568676025323424,0.575777523574213,0.3647442587311446,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m1343_06_fill_holes_and_orientation.obj,m1343,AircraftBuoyant,1,9,6,0,7,2437,0.09067071440919058,0.8261216625378476,0.36972292853102,0.06943122193677728,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1344_06_fill_holes_and_orientation.obj,m1344,AircraftBuoyant,3,7,4,0,7,2437,0.2876098354963412,0.8576658409028352,0.511752234652031,0.29343678345195284,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m1345_06_fill_holes_and_orientation.obj,m1345,AircraftBuoyant,0,10,7,0,7,2437,0.00832178336223067,0.19402697495183047,0.23682415771613968,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1346_06_fill_holes_and_orientation.obj,m1346,AircraftBuoyant,1,9,6,0,7,2437,0.19769950820029086,0.7963941646022571,0.47167528299753747,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1347_06_fill_holes_and_orientation.obj,m1347,AircraftBuoyant,2,8,5,0,7,2437,0.1949624656526038,0.8361409303605836,0.4607658295440529,0.2122263659729146,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
