class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
AircraftBuoyant,128,0.75,9.25,6.25,19371.75,7.0,19388.0,0.11942529330732116,0.48321635012386455,0.3762477247724957,0.14096086162171517,0.75,9.25,6.25,19371.75,0.10714285714285714,0.9995227284453846,0.07500000000000001,0.999677469295077,0.8928571428571428,0.00047727155461534495,0.925,0.00032253070492310867,0.04739583333333333,0.9992005364142769,0.1283422459893048,0.1160541586073501,0.1435406698564593,0.08924973945400244,0.1066655855882418,0.07467746929507695,235.5329861111111,0.8932857880314726,0.4853312947288742,
Apartment,183,0.7391304347826086,9.26086956521739,6.217391304347826,19371.782608695652,6.956521739130435,19388.0,0.17478118323151756,0.6404037676249397,0.4094383628678353,0.10499685762093684,0.7391304347826086,9.26086956521739,6.217391304347826,19371.782608695652,0.10559006211180123,0.9995221687666824,0.07391304347826087,0.9996791520639722,0.8944099378881988,0.0004778312333176437,0.9260869565217391,0.0003208479360278577,0.04836956521739131,0.999201657681578,0.18181818181818182,0.1644100580270793,0.2033492822966507,0.08795140094686489,0.10511223087848359,0.07359219554223302,247.4454796411318,0.894842792684635,0.6247877926845626,
AquaticAnimal,224,1.3928571428571428,8.607142857142858,5.607142857142857,19372.39285714286,7.0,19388.0,0.30138133199795497,0.7801933083053415,0.45766590762975456,0.15699755987800737,1.3928571428571428,8.607142857142858,5.607142857142857,19372.39285714286,0.1989795918367347,0.9995558978970568,0.1392857142857143,0.999710643881869,0.8010204081632653,0.000444102102943236,0.8607142857142858,0.00028935611813101745,0.10282247514390372,0.9992668513660881,0.2867647058823529,0.25930851063829785,0.32072368421052627,0.1661195654942988,0.19853548973379148,0.1389963581675833,602.7133138969874,0.8013959817146915,0.7737228824217561,
Bed,212,1.7037037037037037,8.296296296296296,5.148148148148148,19372.85185185185,6.851851851851852,19388.0,0.33730396949197405,0.7051636551843935,0.467973076428081,0.19382027673618274,1.7037037037037037,8.296296296296296,5.148148148148148,19372.85185185185,0.24955908289241624,0.9995719398773725,0.1703703703703704,0.9997343302637967,0.7504409171075838,0.00042806012262741155,0.8296296296296296,0.000265669736203331,0.13026125109458442,0.9993065584668638,0.2483288770053476,0.22317298797409804,0.2800450323670138,0.2057769208183625,0.24913102276978882,0.17010470063416708,818.7382632065171,0.7507849179707895,0.6944038410004584,
Bicycle,207,7.538461538461538,2.4615384615384617,0.8846153846153846,19377.115384615383,6.961538461538462,19388.0,1.9100565419306281,0.9375704809286899,0.8156727698427857,0.8041246855836589,7.538461538461538,2.4615384615384617,0.8846153846153846,19377.115384615383,0.8736263736263736,0.9998729899321828,0.7538461538461539,0.9999543495002262,0.12637362637362637,0.00012701006781725351,0.24615384615384617,4.56504997737323e-05,0.743560606060606,0.9998274110869532,0.8380598555211559,0.8040903169778549,0.8778555083360575,0.8096745983861257,0.8734993635585564,0.7538005033463802,10758.656349206349,0.12642921796184156,0.9322304650318427,
Biplane,360,2.311111111111111,7.688888888888889,4.711111111111111,19373.28888888889,7.0,19388.0,0.8345182791151752,0.8157688460028619,0.5752425061368721,0.2752774462789783,2.311111111111111,7.688888888888889,4.711111111111111,19373.28888888889,0.326984126984127,0.9996032768596974,0.23111111111111113,0.9997568835219779,0.673015873015873,0.00039672314030255796,0.768888888888889,0.000243116478022041,0.18059496059496058,0.9993604291314214,0.3384168482207698,0.30683609141055945,0.3773322194374826,0.27454694501467664,0.32658740384382445,0.23086799463308907,1256.653124212648,0.6733101891566501,0.7924181031187578,
Bird,343,1.2790697674418605,8.720930232558139,5.6976744186046515,19372.302325581397,6.976744186046512,19388.0,0.3541794452639068,0.6217308577069708,0.47318465537324356,0.17214076450138294,1.2790697674418605,8.720930232558139,5.6976744186046515,19372.302325581397,0.18438538205980065,0.9995500272517676,0.12790697674418605,0.9997059720085353,0.8156146179401993,0.00044997274823239855,0.872093023255814,0.0002940279914647875,0.08810269188176165,0.9992563129435134,0.21642156862745096,0.19526672833795866,0.2427760577915376,0.15318234702434608,0.1839354093115683,0.12761294875272128,476.0181537731371,0.8159920007683512,0.6049625973656454,
Bookset,160,2.0,8.0,5.0,19373.0,7.0,19388.0,0.3303514748126729,0.7521048278263898,0.4879226134317829,0.2393863139343247,2.0,8.0,5.0,19373.0,0.2857142857142857,0.9995872246014137,0.2,0.9997419754360616,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.14410714285714285,0.9993294821539097,0.2941176470588235,0.26595744680851063,0.3289473684210526,0.23871884564346754,0.2853015103156995,0.19974197543606148,821.8247165532879,0.7145954331163007,0.7319484349832397,
Bottle,239,2.1,7.9,4.866666666666666,19373.133333333335,6.966666666666667,19388.0,0.49911864431033093,0.7107820674380417,0.5107557174284268,0.25781368555712025,2.1,7.9,4.866666666666666,19373.133333333335,0.3,0.9995923851812645,0.21,0.9997488560910999,0.7,0.0004076148187354846,0.7899999999999999,0.0002511439089001273,0.16254384504384503,0.9993415170896086,0.3529411764705882,0.3191489361702128,0.3947368421052631,0.2506774419910824,0.2995923851812645,0.20974885609109992,1011.899149659864,0.7003136569778489,0.6813095238095238,
BuildingNonResidential,330,0.7142857142857143,9.285714285714286,6.142857142857143,19371.85714285714,6.857142857142857,19388.0,0.23767200532873284,0.5457782424831163,0.42966733539376695,0.08632914039173006,0.7142857142857143,9.285714285714286,6.142857142857143,19371.85714285714,0.10430839002267572,0.9995208892475433,0.07142857142857142,0.9996829983928757,0.8956916099773243,0.00047911075245673574,0.9285714285714286,0.00031700160712442676,0.04763212977498692,0.9992042205782664,0.16946778711484592,0.15241619311924584,0.19091847265221876,0.08589590840048003,0.103829279270219,0.07111156982144703,250.56563366087175,0.8961267664052146,0.5420401483068354,
