query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1337_06_fill_holes_and_orientation.obj,m1337,AircraftBuoyant,1,9,6,19372,7,19388,0.17975460848996255,0.4768235617946601,0.43595681975608375,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1338_06_fill_holes_and_orientation.obj,m1338,AircraftBuoyant,1,9,6,19372,7,19388,0.1625175445582554,0.45893201211120294,0.41951694470943746,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1339_06_fill_holes_and_orientation.obj,m1339,AircraftBuoyant,0,10,7,19371,7,19388,0.009340237065077011,0.2618772364437104,0.24403408680476749,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1340_06_fill_holes_and_orientation.obj,m1340,AircraftBuoyant,1,9,6,19372,7,19388,0.18259954423211694,0.5982383704927057,0.44925917379505137,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1341_06_fill_holes_and_orientation.obj,m1341,AircraftBuoyant,1,9,6,19372,7,19388,0.179368305976548,0.6106798788879714,0.44666214823404154,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1342_06_fill_holes_and_orientation.obj,m1342,AircraftBuoyant,1,9,6,19372,7,19388,0.20480240988310666,0.6872557115331681,0.472984211275042,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1343_06_fill_holes_and_orientation.obj,m1343,AircraftBuoyant,0,10,7,19371,7,19388,0.02105463628565954,0.47817230938618216,0.28024966383529637,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1344_06_fill_holes_and_orientation.obj,m1344,AircraftBuoyant,1,9,6,19372,7,19388,0.25483197184221207,0.7038535645472062,0.5026755283648489,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1345_06_fill_holes_and_orientation.obj,m1345,AircraftBuoyant,0,10,7,19371,7,19388,0.010869840943419294,0.3120011010184421,0.25138316790644055,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1346_06_fill_holes_and_orientation.obj,m1346,AircraftBuoyant,1,9,6,19372,7,19388,0.16060458005154876,0.36878612716763004,0.4126611991311198,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1347_06_fill_holes_and_orientation.obj,m1347,AircraftBuoyant,1,9,6,19372,7,19388,0.159843942050524,0.4399119185246353,0.41595357317089776,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1348_06_fill_holes_and_orientation.obj,m1348,AircraftBuoyant,1,9,6,19372,7,19388,0.16045714024358707,0.37120836774015964,0.4127418169914896,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1349_06_fill_holes_and_orientation.obj,m1349,AircraftBuoyant,0,10,7,19371,7,19388,0.0229873442634512,0.5492981007431874,0.28465017887802363,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1350_06_fill_holes_and_orientation.obj,m1350,AircraftBuoyant,0,10,7,19371,7,19388,0.05178062413195959,0.5473988439306359,0.31739082814617636,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1351_06_fill_holes_and_orientation.obj,m1351,AircraftBuoyant,1,9,6,19372,7,19388,0.08866786806292214,0.42810349573355355,0.35287574984811815,0.13886244387355456,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1352_06_fill_holes_and_orientation.obj,m1352,AircraftBuoyant,2,8,5,19373,7,19388,0.061324094836788315,0.4389210019267823,0.3209685055130959,0.1356854453911663,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
D00045_06_fill_holes_and_orientation.obj,d00045,Apartment,2,8,5,19373,7,19388,0.3533123641026442,0.8348202522115565,0.48883069702249465,0.14201905717762706,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
D00086_06_fill_holes_and_orientation.obj,d00086,Apartment,0,10,7,19371,7,19388,0.0411686913279249,0.5028044419348767,0.31953494127864684,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
D00138_06_fill_holes_and_orientation.obj,d00138,Apartment,0,10,7,19371,7,19388,0.01879010051746288,0.2785620176924525,0.27467339117692735,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
D00156_06_fill_holes_and_orientation.obj,d00156,Apartment,2,8,5,19373,7,19388,0.4187470578908576,0.7586297760210803,0.5555943875603628,0.314880130667631,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
D00310_06_fill_holes_and_orientation.obj,d00310,Apartment,0,10,7,19371,7,19388,0.1328183585630664,0.7487483530961792,0.39426273442645876,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
D00348_06_fill_holes_and_orientation.obj,d00348,Apartment,0,10,7,19371,7,19388,0.10797880386021143,0.6138528138528139,0.37550360207669653,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
D00366_06_fill_holes_and_orientation.obj,d00366,Apartment,1,9,6,19372,7,19388,0.19410604502248718,0.5721249764728026,0.443239920170091,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
D00478_06_fill_holes_and_orientation.obj,d00478,Apartment,1,9,6,19372,7,19388,0.25667435136793076,0.7140222096743836,0.488265078142168,0.2200917662980802,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
D00496_06_fill_holes_and_orientation.obj,d00496,Apartment,2,8,5,19373,7,19388,0.13714472733827415,0.6307359307359307,0.3981828831403724,0.1517621910780354,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
D00626_06_fill_holes_and_orientation.obj,d00626,Apartment,0,10,7,19371,7,19388,0.07022143833851188,0.6563146997929606,0.34952582793712256,0.0,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
