class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,ROC_AUC_micro,ROC_AUC_macro
AircraftBuoyant,16,1.5,8.5,5.5,0.0,7.0,2437.0,0.19409656776342088,0.6880952380952381,0.4367077793947719,0.20063705282301647,1.5,8.5,5.5,0.0,0.21428571428571427,0.0,0.15,0.0,0.7857142857142857,1.0,0.85,1.0,0.1013764880952381,0.1013764880952381,0.21719457013574658,0.19639934533551553,0.24291497975708495,-0.8167851034038562,-0.7857142857142857,-0.85,0.21428571428571427,0.6729980603151666,
Apartment,23,0.5652173913043478,9.434782608695652,6.391304347826087,0.0,6.956521739130435,2437.0,0.11394567987499096,0.5825129501878085,0.37686331549693247,0.07774409777850995,0.5652173913043478,9.434782608695652,6.391304347826087,0.0,0.08074534161490683,0.0,0.05652173913043478,0.0,0.9192546583850931,1.0,0.9434782608695652,1.0,0.03641304347826087,0.03641304347826087,0.15294117647058822,0.13829787234042554,0.17105263157894732,-0.931128578157875,-0.9192546583850931,-0.9434782608695652,0.08074534161490683,0.585032183782903,
AquaticAnimal,28,2.4285714285714284,7.571428571428571,4.571428571428571,0.0,7.0,2437.0,0.541183469271875,0.8667484467276998,0.5477332561858658,0.28503228527486696,2.4285714285714284,7.571428571428571,4.571428571428571,0.0,0.3469387755102041,0.0,0.24285714285714285,0.0,0.6530612244897959,1.0,0.7571428571428571,1.0,0.19754174397031538,0.19754174397031538,0.36363636363636365,0.32882011605415856,0.4066985645933014,-0.7686594508728826,-0.6530612244897959,-0.812,0.3469387755102041,0.8640403741026149,
Bed,27,2.2222222222222223,7.777777777777778,4.62962962962963,0.0,6.851851851851852,2437.0,0.4937257101991894,0.7789606279859287,0.5246412246603118,0.2661791059578359,2.2222222222222223,7.777777777777778,4.62962962962963,0.0,0.32451499118165783,0.0,0.2222222222222222,0.0,0.6754850088183422,1.0,0.7777777777777778,1.0,0.1741804491804492,0.1741804491804492,0.3558823529411764,0.32007400555041626,0.40092879256965935,-0.7210269871858281,-0.6754850088183422,-0.7777777777777778,0.32451499118165783,0.7741044298258916,
Bicycle,26,6.5,3.5,1.2307692307692308,0.0,6.961538461538462,2437.0,1.6776236890286915,0.9583473657354253,0.7889560397550939,0.7100272966548752,6.5,3.5,1.2307692307692308,0.0,0.8223443223443223,0.0,0.6499999999999999,0.0,0.17765567765567764,1.0,0.35,1.0,0.626850233100233,0.626850233100233,0.7235386732290757,0.6771012895302574,0.7789026717886591,-0.49193325643846114,-0.1847619047619048,-0.6000000000000001,0.8152380952380952,0.9553034629613275,
Biplane,45,2.6666666666666665,7.333333333333333,4.333333333333333,0.0,7.0,2437.0,1.0240843127017,0.8905304613202648,0.6057588695986628,0.294662506444838,2.6666666666666665,7.333333333333333,4.333333333333333,0.0,0.38095238095238093,0.0,0.26666666666666666,0.0,0.6190476190476191,1.0,0.7333333333333333,1.0,0.20555648055648057,0.20555648055648057,0.3529411764705882,0.3191489361702128,0.3947368421052631,-0.670127006993848,-0.6190476190476191,-0.7333333333333333,0.38095238095238093,0.8832988659872627,
Bird,43,1.441860465116279,8.55813953488372,5.534883720930233,0.0,6.976744186046512,2437.0,0.46621836567692837,0.6812617186506589,0.49982342541201963,0.17941240838880693,1.441860465116279,8.55813953488372,5.534883720930233,0.0,0.20653377630121816,0.0,0.14418604651162792,0.0,0.7934662236987818,1.0,0.8558139534883721,1.0,0.10204446716074624,0.10204446716074624,0.24338235294117644,0.21993524514338575,0.27244582043343646,-0.8230077807504326,-0.7934662236987818,-0.8558139534883721,0.20653377630121816,0.6783869706320593,
Bookset,20,1.0,9.0,6.0,0.0,7.0,2437.0,0.17886710350027143,0.7380294719428845,0.41777778815531763,0.12929245101009756,1.0,9.0,6.0,0.0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.06642857142857142,0.06642857142857142,0.18099547511312217,0.1636661211129296,0.2024291497975708,-0.8779589213676078,-0.8571428571428571,-0.9,0.14285714285714285,0.7403318858560795,
Bottle,30,3.433333333333333,6.566666666666666,3.566666666666667,0.0,6.966666666666667,2437.0,0.715194946274776,0.7605744262420285,0.5768753319407242,0.4119044338286744,3.433333333333333,6.566666666666666,3.566666666666667,0.0,0.4857142857142857,0.0,0.3433333333333334,0.0,0.5142857142857143,1.0,0.6566666666666666,1.0,0.289002109002109,0.289002109002109,0.46405228758169936,0.42075831969448985,0.5173992673992673,-0.6275662742810448,-0.5142857142857143,-0.7,0.4857142857142857,0.7657173724876211,
BuildingNonResidential,42,0.7380952380952381,9.261904761904763,6.119047619047619,0.0,6.857142857142857,2437.0,0.2374407872714309,0.564087891355899,0.4311717559068551,0.09029067527304704,0.7380952380952381,9.261904761904763,6.119047619047619,0.0,0.10657596371882086,0.0,0.07380952380952381,0.0,0.8934240362811792,1.0,0.9261904761904761,1.0,0.0487953514739229,0.0487953514739229,0.17436974789915966,0.15726179463459758,0.1957098628925254,-0.9093796730937485,-0.8934240362811792,-0.9261904761904761,0.10657596371882086,0.5578490052046444,
Bus,20,0.75,9.25,6.05,0.0,6.8,2437.0,0.1423886819380395,0.6798017064994994,0.3887677670848809,0.10573815151996416,0.75,9.25,6.05,0.0,0.11428571428571428,0.0,0.075,0.0,0.8857142857142858,1.0,0.925,1.0,0.051389652014652024,0.051389652014652024,0.20098039215686272,0.1788467468393463,0.22961816305469554,-0.9045323580225512,-0.8857142857142858,-0.925,0.11428571428571428,0.6724499912933699,
Car,89,4.033707865168539,5.966292134831461,3.359550561797753,0.0,6.887640449438202,2437.0,2.3907463646667537,0.7603179976614045,0.6578728634429428,0.4315594541782512,4.033707865168539,5.966292134831461,3.359550561797753,0.0,0.5133761369716425,0.0,0.40337078651685393,0.0,0.4866238630283574,1.0,0.5966292134831461,1.0,0.36440025330474773,0.36440025330474773,0.49964901530787753,0.4672838515609759,0.5392577912171734,-0.7226046457562616,-0.528164924506388,-0.778125,0.4718350754936121,0.7539203342271935,
Cellphone,20,1.45,8.55,5.5,0.0,6.95,2437.0,0.25483620903417,0.6931903269339602,0.45537995129579184,0.18637557938133514,1.45,8.55,5.5,0.0,0.20714285714285713,0.0,0.145,0.0,0.7928571428571429,1.0,0.8550000000000001,1.0,0.09868818681318682,0.09868818681318682,0.21323529411764705,0.19281914893617022,0.2384868421052631,-0.8227873876295474,-0.7928571428571429,-0.8550000000000001,0.20714285714285713,0.6827583692481825,
Chess,42,3.7857142857142856,6.214285714285714,3.238095238095238,0.0,6.976190476190476,2437.0,1.441706235366584,0.8268981500332532,0.6652698765940629,0.45490077659377864,3.7857142857142856,6.214285714285714,3.238095238095238,0.0,0.5340136054421768,0.0,0.37857142857142856,0.0,0.4659863945578231,1.0,0.6214285714285714,1.0,0.3243218091432377,0.3243218091432377,0.5027380321497968,0.4562008817327966,0.5600149021201652,-0.6174465696361185,-0.46598639455782315,-0.6914285714285714,0.5340136054421768,0.8135882846426843,
City,27,1.5555555555555556,8.444444444444445,5.407407407407407,0.0,6.962962962962963,2437.0,0.3569090956661209,0.7704490694951085,0.4934401006164585,0.2324997057146076,1.5555555555555556,8.444444444444445,5.407407407407407,0.0,0.2222222222222222,0.0,0.15555555555555556,0.0,0.7777777777777778,1.0,0.8444444444444444,1.0,0.11307319223985891,0.11307319223985891,0.2352941176470588,0.21276595744680848,0.2631578947368421,-0.8088027906177289,-0.7777777777777778,-0.8444444444444444,0.2222222222222222,0.7583756775501403,
ClassicPiano,20,0.75,9.25,6.1,0.0,6.85,2437.0,0.12501051403202484,0.7098754951895868,0.38178015294899004,0.08490294533303266,0.75,9.25,6.1,0.0,0.10714285714285714,0.0,0.075,0.0,0.8928571428571429,1.0,0.925,1.0,0.04946428571428572,0.04946428571428572,0.1764705882352941,0.1595744680851064,0.19736842105263153,-0.908505138200556,-0.8928571428571429,-0.925,0.10714285714285714,0.6964665230072701,
Computer,33,3.272727272727273,6.7272727272727275,4.03030303030303,0.0,7.0,2437.0,0.7781139389820917,0.7755977130977131,0.5840076359385228,0.3888901463799057,3.272727272727273,6.7272727272727275,4.03030303030303,0.0,0.42424242424242425,0.0,0.32727272727272727,0.0,0.5757575757575758,1.0,0.6727272727272727,1.0,0.28093396502487417,0.28093396502487417,0.39173518869913554,0.3642187142530313,0.4250949955533996,-0.7449638084735467,-0.6129032258064516,-0.7925925925925925,0.3870967741935484,0.7507801865756412,
ComputerKeyboard,20,3.45,6.55,3.5,0.0,6.85,2437.0,0.7392081146634195,0.8439771886291411,0.6168302923398356,0.4082754471075615,3.45,6.55,3.5,0.0,0.48452380952380947,0.0,0.34500000000000003,0.0,0.5154761904761905,1.0,0.655,1.0,0.2927335164835165,0.2927335164835165,0.4472131445170661,0.4064737725699798,0.49754697200517634,-0.6618866732006106,-0.5154761904761905,-0.7294117647058824,0.48452380952380947,0.8538728723172696,
Cup,30,0.9333333333333333,9.066666666666666,5.966666666666667,0.0,6.9,2437.0,0.19350660572465908,0.6789022224768015,0.4208649795252916,0.10642969681725907,0.9333333333333333,9.066666666666666,5.966666666666667,0.0,0.1357142857142857,0.0,0.09333333333333332,0.0,0.8642857142857142,1.0,0.9066666666666666,1.0,0.06226190476190476,0.06226190476190476,0.17453560371517027,0.15714007497930765,0.19635000814730322,-0.8848776767348835,-0.8642857142857143,-0.9066666666666666,0.1357142857142857,0.6664278395132445,
