query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1337_06_fill_holes_and_orientation.obj,m1337,AircraftBuoyant,1,9,6,0,7,2437,0.13036396277016474,0.8207266721717589,0.4094815852414616,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1338_06_fill_holes_and_orientation.obj,m1338,AircraftBuoyant,1,9,6,0,7,2437,0.18261515198575998,0.8070189925681255,0.45496867186897716,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1339_06_fill_holes_and_orientation.obj,m1339,AircraftBuoyant,0,10,7,0,7,2437,0.009167354704044424,0.2979355904211396,0.24045960934252505,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1340_06_fill_holes_and_orientation.obj,m1340,AircraftBuoyant,3,7,4,0,7,2437,0.2838344169281759,0.7289292595650977,0.5209307708298404,0.36288691033421755,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m1341_06_fill_holes_and_orientation.obj,m1341,AircraftBuoyant,2,8,5,0,7,2437,0.25990598560916023,0.7458574181117533,0.515559991255434,0.2837125544970319,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1342_06_fill_holes_and_orientation.obj,m1342,AircraftBuoyant,2,8,5,0,7,2437,0.39395886707534045,0.8806771263418662,0.5900811068368038,0.29849003527675555,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1343_06_fill_holes_and_orientation.obj,m1343,AircraftBuoyant,0,10,7,0,7,2437,0.031958823828287436,0.7609688962290119,0.2986942073770396,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1344_06_fill_holes_and_orientation.obj,m1344,AircraftBuoyant,3,7,4,0,7,2437,0.5376298133836336,0.891384530690889,0.6510634825021723,0.46900009332067494,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m1345_06_fill_holes_and_orientation.obj,m1345,AircraftBuoyant,0,10,7,0,7,2437,0.009735064425163519,0.2527938342967245,0.24554647377531444,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1346_06_fill_holes_and_orientation.obj,m1346,AircraftBuoyant,2,8,5,0,7,2437,0.22072483512080238,0.6464629782548857,0.47810802403140257,0.29345568839744024,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1347_06_fill_holes_and_orientation.obj,m1347,AircraftBuoyant,2,8,5,0,7,2437,0.22779037542777317,0.7505367464905037,0.46800029748478056,0.22400556151517556,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1348_06_fill_holes_and_orientation.obj,m1348,AircraftBuoyant,2,8,5,0,7,2437,0.22862458391538035,0.6476190476190476,0.48287729780622496,0.29849003527675555,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1349_06_fill_holes_and_orientation.obj,m1349,AircraftBuoyant,1,9,6,0,7,2437,0.07822253992088891,0.6570878062207541,0.3575747918771871,0.08514311764162101,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1350_06_fill_holes_and_orientation.obj,m1350,AircraftBuoyant,1,9,6,0,7,2437,0.12143201147142128,0.6770437654830718,0.40056306484488086,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1351_06_fill_holes_and_orientation.obj,m1351,AircraftBuoyant,1,9,6,0,7,2437,0.17258856482548462,0.7212221304706854,0.43483751300481427,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1352_06_fill_holes_and_orientation.obj,m1352,AircraftBuoyant,3,7,4,0,7,2437,0.2169927328232529,0.7232590145884945,0.4385775822374919,0.2583297509898471,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
D00045_06_fill_holes_and_orientation.obj,d00045,Apartment,0,10,7,0,7,2437,0.06715244479948114,0.7100696405044231,0.3435134391600952,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00086_06_fill_holes_and_orientation.obj,d00086,Apartment,0,10,7,0,7,2437,0.05901490677986308,0.49495576886881226,0.3395212033100764,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00138_06_fill_holes_and_orientation.obj,d00138,Apartment,0,10,7,0,7,2437,0.01778137518773609,0.22604931300583472,0.2711593002674103,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00156_06_fill_holes_and_orientation.obj,d00156,Apartment,2,8,5,0,7,2437,0.28281151214214656,0.5927159796725014,0.49358480007727173,0.29849003527675555,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00310_06_fill_holes_and_orientation.obj,d00310,Apartment,0,10,7,0,7,2437,0.033430840059301074,0.5380011293054772,0.307034724188162,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00348_06_fill_holes_and_orientation.obj,d00348,Apartment,0,10,7,0,7,2437,0.10338989881213459,0.5168266516092603,0.36785630627801413,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00366_06_fill_holes_and_orientation.obj,d00366,Apartment,1,9,6,0,7,2437,0.2161821641692614,0.5291172595520421,0.457656552183977,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00478_06_fill_holes_and_orientation.obj,d00478,Apartment,1,9,6,0,7,2437,0.21051028752250808,0.6406926406926406,0.45705444264560824,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00496_06_fill_holes_and_orientation.obj,d00496,Apartment,0,10,7,0,7,2437,0.07109272251004631,0.6457556935817805,0.3477746435409219,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00626_06_fill_holes_and_orientation.obj,d00626,Apartment,0,10,7,0,7,2437,0.06926042406024646,0.7064935064935065,0.35061558771820106,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00639_06_fill_holes_and_orientation.obj,d00639,Apartment,1,9,6,0,7,2437,0.13302207387421577,0.7747223790702051,0.40543176201365105,0.1100458831490401,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00651_06_fill_holes_and_orientation.obj,d00651,Apartment,2,8,5,0,7,2437,0.27145620484200655,0.5922077922077922,0.4882915204855574,0.2895229882348575,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00681_06_fill_holes_and_orientation.obj,d00681,Apartment,0,10,7,0,7,2437,0.10426109512649036,0.7721249764728024,0.37960397535742596,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00780_06_fill_holes_and_orientation.obj,d00780,Apartment,0,10,6,0,6,2437,0.03413942610001924,0.5106342932429888,0.29847743831000256,0.0,0,10,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
