class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,ROC_AUC_micro,ROC_AUC_macro
AircraftBuoyant,16,1.3125,8.6875,5.6875,0.0,7.0,2437.0,0.1618791898851558,0.5271194605009634,0.4010606983567196,0.18715399505342115,1.3125,8.6875,5.6875,0.0,0.1875,0.0,0.13125,0.0,0.8125,1.0,0.86875,1.0,0.08735119047619047,0.08735119047619047,0.2058823529411765,0.18617021276595744,0.2302631578947368,-0.8398249010485985,-0.8125,-0.86875,0.1875,0.5234929810074318,
Apartment,23,0.8260869565217391,9.173913043478262,6.130434782608695,0.0,6.956521739130435,2437.0,0.1507931022893314,0.6082291999116195,0.39725219719147276,0.10239617815464147,0.8260869565217391,9.173913043478262,6.130434782608695,0.0,0.11801242236024843,0.0,0.08260869565217391,0.0,0.8819875776397516,1.0,0.9173913043478261,1.0,0.055046583850931675,0.055046583850931675,0.18627450980392157,0.16843971631205676,0.2083333333333333,-0.8991681896390642,-0.8819875776397516,-0.9173913043478261,0.11801242236024843,0.5981487787027362,
AquaticAnimal,28,1.8571428571428572,8.142857142857142,5.142857142857143,0.0,7.0,2437.0,0.3979708154477165,0.8265296713429493,0.5010559897984519,0.219060212100508,1.8571428571428572,8.142857142857142,5.142857142857143,0.0,0.26530612244897955,0.0,0.18571428571428572,0.0,0.7346938775510203,1.0,0.8142857142857143,1.0,0.14054442581228296,0.14054442581228296,0.2913165266106442,0.2634245187436677,0.3258145363408521,-0.7707336316283239,-0.7346938775510204,-0.8142857142857143,0.26530612244897955,0.8181144011315915,
Bed,27,2.037037037037037,7.962962962962963,4.814814814814815,0.0,6.851851851851852,2437.0,0.49286337787307616,0.7532026171594816,0.5181389788052774,0.23189074543414967,2.037037037037037,7.962962962962963,4.814814814814815,0.0,0.29717813051146386,0.0,0.2037037037037037,0.0,0.7028218694885361,1.0,0.7962962962962963,1.0,0.15485980069313404,0.15485980069313404,0.2964572192513369,0.2666932974518543,0.333872783563186,-0.7452477872071052,-0.7028218694885362,-0.7962962962962963,0.29717813051146386,0.7631025486533421,
Bicycle,26,7.3076923076923075,2.6923076923076925,1.0,0.0,6.961538461538462,2437.0,1.7412624035176743,0.9338946294170175,0.7922712056312039,0.7745000675224704,7.3076923076923075,2.6923076923076925,1.0,0.0,0.8571428571428571,0.0,0.7307692307692307,0.0,0.14285714285714285,1.0,0.2692307692307692,1.0,0.706953783396091,0.706953783396091,0.7834967320261439,0.7499881401361512,0.8243742841266061,-0.447045359287132,-0.23214285714285715,-0.56,0.7678571428571428,0.9305631114643744,
Biplane,45,2.2666666666666666,7.733333333333333,4.733333333333333,0.0,7.0,2437.0,0.9024463826230226,0.8524919061066157,0.5910587297387249,0.2833092314196479,2.2666666666666666,7.733333333333333,4.733333333333333,0.0,0.3238095238095238,0.0,0.22666666666666666,0.0,0.6761904761904761,1.0,0.7733333333333333,1.0,0.16883745883745885,0.16883745883745885,0.32432432432432434,0.293271995399655,0.36273115220483637,-0.7207719370475217,-0.6761904761904762,-0.7733333333333333,0.3238095238095238,0.8427669085337284,
Bird,43,1.2325581395348837,8.767441860465116,5.744186046511628,0.0,6.976744186046512,2437.0,0.34935395170900685,0.6417696058371885,0.47026240560846727,0.14660109514781275,1.2325581395348837,8.767441860465116,5.744186046511628,0.0,0.1777408637873754,0.0,0.12325581395348836,0.0,0.8222591362126245,1.0,0.8767441860465117,1.0,0.08667475934917795,0.08667475934917795,0.23175381263616557,0.20908281084044267,0.2600045866299736,-0.8481362097911266,-0.8222591362126247,-0.8767441860465117,0.1777408637873754,0.6418236246061703,
Bookset,20,1.55,8.45,5.45,0.0,7.0,2437.0,0.24140932122111464,0.7481280745287536,0.44343132869920165,0.16669329876451833,1.55,8.45,5.45,0.0,0.22142857142857145,0.0,0.155,0.0,0.7785714285714286,1.0,0.845,1.0,0.10936813186813188,0.10936813186813188,0.2605042016806723,0.23556231003039513,0.29135338345864653,-0.8101273564635226,-0.7785714285714286,-0.845,0.22142857142857145,0.7313447390187628,
Bottle,30,3.466666666666667,6.533333333333333,3.6,0.0,6.966666666666667,2437.0,0.7254845586705199,0.75144441898652,0.574755829113363,0.40222934422204415,3.466666666666667,6.533333333333333,3.6,0.0,0.48095238095238096,0.0,0.3466666666666667,0.0,0.5190476190476191,1.0,0.6533333333333334,1.0,0.29789904539904544,0.29789904539904544,0.5029813094828575,0.4586258262170116,0.5574170934582833,-0.6733827961961447,-0.5190476190476191,-0.736,0.48095238095238096,0.733387113198661,
BuildingNonResidential,42,0.4523809523809524,9.547619047619047,6.404761904761905,0.0,6.857142857142857,2437.0,0.18374893650060675,0.531399360917053,0.41190547042201464,0.05181055590163066,0.4523809523809524,9.547619047619047,6.404761904761905,0.0,0.06575963718820861,0.0,0.045238095238095244,0.0,0.9342403628117915,1.0,0.9547619047619048,1.0,0.029506802721088438,0.029506802721088438,0.15,0.13506012950971324,0.16873065015479874,-0.9442729735280062,-0.9342403628117915,-0.9547619047619048,0.06575963718820861,0.5146959600920324,
Bus,20,0.9,9.1,5.9,0.0,6.8,2437.0,0.1406218144767196,0.7410561142309869,0.3944223437247209,0.10485507578314308,0.9,9.1,5.9,0.0,0.13452380952380952,0.0,0.09,0.0,0.8654761904761905,1.0,0.9099999999999999,1.0,0.06083333333333333,0.06083333333333333,0.195855614973262,0.17513245311580186,0.22234731213059386,-0.887005076158432,-0.8654761904761905,-0.9099999999999999,0.13452380952380952,0.7252941752644638,
Car,89,4.247191011235955,5.752808988764045,3.2247191011235956,0.0,6.887640449438202,2437.0,2.7453589685760127,0.8085354383300916,0.6781987517738516,0.4494276816983541,4.247191011235955,5.752808988764045,3.2247191011235956,0.0,0.5345104333868379,0.0,0.42471910112359545,0.0,0.46548956661316215,1.0,0.5752808988764045,1.0,0.3797684525212615,0.3797684525212615,0.5234165376676987,0.4910680067586702,0.5629100724958176,-0.6892889256882698,-0.505226480836237,-0.7507692307692307,0.49477351916376305,0.7991629093265654,
Cellphone,20,1.35,8.65,5.6,0.0,6.95,2437.0,0.252570232617888,0.6924317617866005,0.45168107225374116,0.17624754267800166,1.35,8.65,5.6,0.0,0.19285714285714284,0.0,0.135,0.0,0.8071428571428572,1.0,0.865,1.0,0.09386675824175825,0.09386675824175825,0.24434389140271492,0.220949263502455,0.2732793522267206,-0.8348125923647789,-0.8071428571428572,-0.865,0.19285714285714284,0.6874900962082626,
