query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1337_06_fill_holes_and_orientation.obj,m1337,AircraftBuoyant,1,9,6,0,7,2437,0.09653707166669163,0.5777869529314617,0.3649112892662807,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1338_06_fill_holes_and_orientation.obj,m1338,AircraftBuoyant,1,9,6,0,7,2437,0.16081342416744557,0.5571703826039086,0.41805703382758147,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1339_06_fill_holes_and_orientation.obj,m1339,AircraftBuoyant,0,10,7,0,7,2437,0.008520098640740412,0.2284888521882741,0.23943931915959113,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1340_06_fill_holes_and_orientation.obj,m1340,AircraftBuoyant,2,8,5,0,7,2437,0.30121290938790146,0.6347921827690614,0.5251809073753022,0.3301376494471203,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1341_06_fill_holes_and_orientation.obj,m1341,AircraftBuoyant,2,8,5,0,7,2437,0.36142127097927557,0.6653454445361959,0.5584769283374995,0.35895421017163476,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1342_06_fill_holes_and_orientation.obj,m1342,AircraftBuoyant,2,8,5,0,7,2437,0.30104835170665584,0.7072667217175888,0.5366767010988198,0.29345568839744024,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1343_06_fill_holes_and_orientation.obj,m1343,AircraftBuoyant,0,10,7,0,7,2437,0.017654620378472385,0.5711257913570054,0.2697264365137038,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1344_06_fill_holes_and_orientation.obj,m1344,AircraftBuoyant,3,7,4,0,7,2437,0.4912163496797059,0.7327277731902009,0.6176025563539431,0.46900009332067494,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m1345_06_fill_holes_and_orientation.obj,m1345,AircraftBuoyant,0,10,7,0,7,2437,0.009412423183170876,0.24109551334984863,0.2446475233614888,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1346_06_fill_holes_and_orientation.obj,m1346,AircraftBuoyant,2,8,5,0,7,2437,0.21285308625716146,0.43410404624277465,0.454168310319924,0.3052348839397012,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
