shape,class,num_vertices,num_faces,face_types,bounding_box,surface_area,compactness,rectangularity,diameter,convexity,eccentricity,A3_hist,A3_bins,D1_hist,D1_bins,D2_hist,D2_bins,D3_hist,D3_bins,D4_hist,D4_bins,shape_file,name,class_b
m1337_06_fill_holes_and_orientation.obj,AircraftBuoyant,8730.0,17452.0,triangle,"{""min"": [-0.41129, -0.449902, -0.465301], ""max"": [0.58871, 0.445154, 0.430012]}",0.29151403262484,-0.0203526246760584,1.6014595933324778,-0.628040090847215,2.2459672882684623,-0.1035005417988951,0.024447;0.058707;0.086345;0.098629;0.099949;0.103820;0.101069;0.096108;0.087525;0.072571;0.056296;0.040362;0.029098;0.018875;0.011893;0.007482;0.004041;0.001881;0.000740;0.000160,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.217984;0.194044;0.228866;0.307904;0.032761;0.018442;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.005220;0.014310;0.023070;0.030980;0.037780;0.048250;0.055770;0.058250;0.063220;0.065610;0.067580;0.073270;0.081530;0.086360;0.096210;0.099210;0.059390;0.023890;0.010100;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.000800;0.003230;0.008590;0.015870;0.023430;0.033750;0.042610;0.052630;0.059710;0.067960;0.076590;0.082660;0.090750;0.093810;0.089630;0.083640;0.071560;0.054250;0.031890;0.016640,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.001290;0.004180;0.010180;0.018830;0.028340;0.039040;0.047760;0.056850;0.064630;0.071650;0.074660;0.080060;0.079460;0.079090;0.073840;0.066100;0.059110;0.048820;0.038410;0.057700,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1337_06_fill_holes_and_orientation.obj,m1337_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1338_06_fill_holes_and_orientation.obj,AircraftBuoyant,8764.0,17520.0,triangle,"{""min"": [-0.398781, -0.478154, -0.480535], ""max"": [0.601219, 0.47739, 0.480105]}",0.7031860378587024,-0.020352612731071,1.5959340715869694,-0.0877357775382666,2.1042425384453862,-0.1035698638514862,0.022375;0.058184;0.083710;0.096653;0.101684;0.104835;0.102695;0.098354;0.089822;0.074938;0.056574;0.040230;0.027497;0.018254;0.011233;0.006422;0.003741;0.001950;0.000750;0.000100,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.039137;0.195116;0.303628;0.348585;0.058079;0.035600;0.019854;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.004300;0.011650;0.019940;0.027350;0.034300;0.044710;0.049150;0.052640;0.054460;0.060060;0.063230;0.068450;0.074670;0.080440;0.088310;0.097930;0.089840;0.047180;0.024710;0.006680,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.000720;0.002800;0.006530;0.012360;0.018750;0.026620;0.035580;0.043840;0.051020;0.059330;0.068510;0.076500;0.083830;0.089820;0.093180;0.089060;0.081900;0.071540;0.049480;0.038630,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.000930;0.003540;0.008830;0.015390;0.022760;0.032350;0.040680;0.048330;0.056990;0.063940;0.068140;0.073000;0.075550;0.076280;0.074800;0.072340;0.067490;0.058190;0.047690;0.092780,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1338_06_fill_holes_and_orientation.obj,m1338_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1339_06_fill_holes_and_orientation.obj,AircraftBuoyant,9899.0,11831.0,triangle,"{""min"": [-0.446256, -0.318868, -0.305744], ""max"": [0.553744, 0.32026, 0.304224]}",-0.6759939400521293,-0.0203525746236815,-0.7489175395810695,-0.6826787640114479,-0.8825955480853007,-0.0988286055748551,0.063083;0.109752;0.087708;0.087688;0.079186;0.075125;0.072464;0.069724;0.065093;0.060772;0.054301;0.044339;0.035157;0.028186;0.021984;0.017654;0.013173;0.008632;0.004801;0.001180,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.001818;0.025356;0.062936;0.128599;0.048187;0.076472;0.097485;0.103546;0.131225;0.170926;0.151328;0.002121;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.018190;0.049350;0.081500;0.123590;0.139950;0.080830;0.054310;0.044390;0.038980;0.036340;0.037730;0.043520;0.044790;0.034580;0.041260;0.052280;0.042590;0.031620;0.004200;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.004230;0.025350;0.056630;0.091550;0.121500;0.114700;0.092360;0.084840;0.078640;0.073810;0.082100;0.073440;0.040940;0.028950;0.017040;0.009790;0.003410;0.000720;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.006360;0.030460;0.065350;0.096030;0.116160;0.122940;0.119130;0.105180;0.092790;0.079580;0.061260;0.040810;0.028820;0.018270;0.009810;0.004560;0.001660;0.000610;0.000200;0.000020,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1339_06_fill_holes_and_orientation.obj,m1339_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1340_06_fill_holes_and_orientation.obj,AircraftBuoyant,9258.0,18500.0,triangle,"{""min"": [-0.297528, -0.18198, -0.180689], ""max"": [0.702472, 0.178298, 0.179617]}",-0.6627222454094872,-0.0203526190892782,0.3108334699349217,-0.7007069488597397,0.8918029052176659,-0.0956026461755264,0.073181;0.070281;0.073291;0.078792;0.087083;0.087353;0.084813;0.089563;0.086313;0.073881;0.056178;0.041666;0.028744;0.020023;0.014512;0.013872;0.010732;0.006761;0.002490;0.000470,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.003672;0.005725;0.009613;0.004105;0.011882;0.004969;0.009181;0.005617;0.000000;0.000000;0.000216;0.240117;0.352452;0.198639;0.006805;0.005077;0.141931;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.141270;0.235120;0.375580;0.140640;0.005700;0.000740;0.004030;0.008150;0.006620;0.004970;0.004660;0.007250;0.012980;0.013480;0.011180;0.016320;0.006370;0.001950;0.002990;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.073760;0.290230;0.323610;0.171110;0.031030;0.028590;0.030760;0.031560;0.015570;0.001470;0.000970;0.000690;0.000520;0.000110;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.085600;0.308160;0.294620;0.157800;0.077400;0.040980;0.026220;0.006660;0.001330;0.000850;0.000320;0.000040;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1340_06_fill_holes_and_orientation.obj,m1340_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1341_06_fill_holes_and_orientation.obj,AircraftBuoyant,7889.0,15764.0,triangle,"{""min"": [-0.341855, -0.182296, -0.180597], ""max"": [0.658145, 0.181056, 0.182741]}",-0.6134182939498719,-0.0203526175720047,0.616547250647625,-0.7004234463103031,1.0906424318772552,-0.0829370474042595,0.085176;0.085986;0.083335;0.085656;0.081344;0.079404;0.076003;0.068501;0.065200;0.059308;0.049905;0.043323;0.036111;0.030109;0.023447;0.019406;0.014064;0.008523;0.004321;0.000880,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.028014;0.017873;0.019521;0.003930;0.007479;0.003042;0.002789;0.005958;0.001648;0.004437;0.000000;0.000000;0.012042;0.084928;0.114210;0.157054;0.136899;0.351629;0.048549;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.150330;0.305920;0.293330;0.079410;0.002770;0.003930;0.006650;0.009420;0.014360;0.026950;0.030810;0.038720;0.019230;0.002700;0.002400;0.003480;0.003350;0.003600;0.002640;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.081800;0.307150;0.315650;0.103500;0.058260;0.064780;0.049890;0.012450;0.005060;0.000770;0.000340;0.000170;0.000120;0.000060;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.092630;0.322010;0.308190;0.144030;0.081080;0.040790;0.008740;0.002000;0.000340;0.000160;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1341_06_fill_holes_and_orientation.obj,m1341_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1342_06_fill_holes_and_orientation.obj,AircraftBuoyant,8121.0,16206.0,triangle,"{""min"": [-0.423661, -0.310356, -0.31212], ""max"": [0.576339, 0.308255, 0.313639]}",-0.1933842969848362,-0.0203526218334145,1.2749119757797591,-0.6880524259712306,2.050660043485609,-0.0948030155828582,0.102698;0.107999;0.104698;0.083523;0.068589;0.061967;0.055925;0.053314;0.054465;0.049903;0.045692;0.043602;0.038590;0.031989;0.029478;0.022866;0.018795;0.014474;0.008892;0.002541,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002340;0.011452;0.010959;0.012437;0.020441;0.004433;0.000862;0.694619;0.241842;0.000616;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.572320;0.299770;0.031080;0.007460;0.001230;0.006670;0.005980;0.000400;0.000690;0.001360;0.008080;0.002880;0.002060;0.010970;0.011500;0.012960;0.010360;0.012360;0.001870;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.611960;0.243420;0.038160;0.031100;0.026600;0.020250;0.015230;0.006720;0.001500;0.000530;0.000550;0.000610;0.000640;0.000520;0.000680;0.000730;0.000620;0.000180;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.659040;0.214260;0.067930;0.037740;0.011660;0.003650;0.002160;0.001350;0.001040;0.000680;0.000250;0.000140;0.000000;0.000030;0.000020;0.000030;0.000010;0.000010;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1342_06_fill_holes_and_orientation.obj,m1342_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1343_06_fill_holes_and_orientation.obj,AircraftBuoyant,8592.0,17172.0,triangle,"{""min"": [-0.458607, -0.364637, -0.37016], ""max"": [0.541393, 0.348128, 0.336834]}",0.2453192909455035,-0.0203526109092696,1.772470918820355,-0.6715577321858026,2.541199419854355,-0.1024892636223527,0.039637;0.079904;0.090655;0.100327;0.097817;0.094136;0.087515;0.076013;0.066751;0.058490;0.050459;0.043727;0.033326;0.026004;0.019493;0.014382;0.010072;0.006741;0.003701;0.000850,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.016527;0.171439;0.172020;0.147230;0.077747;0.137803;0.142458;0.041434;0.048068;0.045275;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.007750;0.024620;0.045970;0.061930;0.069940;0.072520;0.075450;0.076920;0.078100;0.080650;0.081300;0.085040;0.088970;0.051920;0.027720;0.019950;0.023270;0.016040;0.011940;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.001300;0.008290;0.023310;0.042970;0.060860;0.076240;0.086340;0.091120;0.094590;0.091840;0.092630;0.087360;0.076150;0.068510;0.051390;0.024250;0.014780;0.006490;0.001570;0.000010,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.002700;0.011720;0.029020;0.049990;0.067740;0.082440;0.092720;0.098120;0.096750;0.091050;0.084840;0.075150;0.064050;0.052310;0.040960;0.027340;0.017440;0.009330;0.004180;0.002150,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1343_06_fill_holes_and_orientation.obj,m1343_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1344_06_fill_holes_and_orientation.obj,AircraftBuoyant,8824.0,17686.0,triangle,"{""min"": [-0.338261, -0.345654, -0.345459], ""max"": [0.661739, 0.34258, 0.342807]}",-0.2012643656789049,-0.0203526264954207,1.1500280392600444,-0.6737742066632204,2.100527552333647,-0.0954259044925185,0.098180;0.048610;0.072064;0.084977;0.098660;0.095229;0.084147;0.074165;0.061452;0.069614;0.062392;0.037257;0.027566;0.021544;0.018764;0.014553;0.012092;0.009672;0.007131;0.001930,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.007706;0.009859;0.038078;0.000113;0.000000;0.003513;0.004986;0.425431;0.267679;0.069470;0.173164;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.298800;0.488860;0.104390;0.000790;0.000340;0.000450;0.000530;0.000700;0.000540;0.000580;0.004010;0.007170;0.008410;0.010500;0.011300;0.013980;0.023380;0.016660;0.008610;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.225470;0.550510;0.087730;0.020390;0.032520;0.042620;0.027070;0.005530;0.000300;0.000310;0.000470;0.000660;0.000720;0.000920;0.000970;0.001190;0.001250;0.000970;0.000380;0.000020,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.300550;0.450830;0.138290;0.051730;0.039230;0.009040;0.002620;0.002360;0.002450;0.001560;0.000780;0.000230;0.000060;0.000020;0.000060;0.000050;0.000030;0.000030;0.000050;0.000030,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1344_06_fill_holes_and_orientation.obj,m1344_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1345_06_fill_holes_and_orientation.obj,AircraftBuoyant,9676.0,19364.0,triangle,"{""min"": [-0.308557, -0.302584, -0.30865], ""max"": [0.691443, 0.303124, 0.297785]}",0.3973789977840388,-0.0202844719312241,-0.8746291135174068,-0.6956167894493935,-1.021701537206659,-0.1010869369755914,0.077265;0.077675;0.084676;0.095638;0.089967;0.074384;0.075224;0.077315;0.069693;0.059771;0.049039;0.039548;0.030846;0.026225;0.021444;0.017383;0.013833;0.010962;0.006931;0.002180,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.050537;0.242456;0.200289;0.220752;0.010438;0.018396;0.000000;0.028938;0.000000;0.003411;0.000000;0.050847;0.071414;0.102522,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.019590;0.048310;0.028300;0.040510;0.051050;0.057530;0.066700;0.082940;0.087830;0.100970;0.105020;0.051490;0.040110;0.040660;0.041280;0.039880;0.038460;0.038340;0.021030;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.003870;0.016450;0.026470;0.045020;0.061610;0.079920;0.092880;0.094490;0.091830;0.092130;0.092480;0.082630;0.058230;0.043830;0.036500;0.032860;0.027320;0.018790;0.002690;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.003990;0.019100;0.039080;0.061870;0.078850;0.089070;0.092780;0.095480;0.091750;0.087830;0.080910;0.068610;0.055030;0.044270;0.032130;0.024350;0.016320;0.010810;0.006190;0.001580,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1345_06_fill_holes_and_orientation.obj,m1345_06_fill_holes_and_orientation.obj,AircraftBuoyant
m1346_06_fill_holes_and_orientation.obj,AircraftBuoyant,8768.0,17506.0,triangle,"{""min"": [-0.518666, -0.144047, -0.143897], ""max"": [0.481334, 0.190509, 0.154907]}",-0.5825559605690492,-0.0203526076229559,1.0302825997946117,-0.6413775971502752,1.42182789096307,-0.0860519421419983,0.092225;0.144739;0.123483;0.084953;0.063247;0.052204;0.043672;0.039781;0.036480;0.036500;0.035740;0.035109;0.035690;0.038921;0.039081;0.038060;0.033479;0.019015;0.006582;0.001040,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.125684;0.125684;0.122719;0.051665;0.059535;0.062956;0.089644;0.091469;0.107094;0.083828;0.032048;0.042883;0.004790;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.026570;0.070660;0.089650;0.092880;0.090400;0.079360;0.078470;0.085320;0.080950;0.066050;0.052830;0.036940;0.029150;0.027940;0.026740;0.025880;0.022060;0.014710;0.003440;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.006810;0.036420;0.072120;0.105720;0.130450;0.136520;0.141800;0.130060;0.112780;0.083160;0.036700;0.006640;0.000710;0.000100;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.010090;0.049100;0.101000;0.139180;0.162440;0.161660;0.143120;0.114350;0.074230;0.035290;0.008520;0.000950;0.000070;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,m1346_06_fill_holes_and_orientation.obj,m1346_06_fill_holes_and_orientation.obj,AircraftBuoyant
