shape,class,num_vertices,num_faces,face_types,bounding_box,surface_area,compactness,rectangularity,diameter,convexity,eccentricity,A3_hist,A3_bins,D1_hist,D1_bins,D2_hist,D2_bins,D3_hist,D3_bins,D4_hist,D4_bins,shape_file,name,class_b
D00149_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.300679;0.096891;0.056736;0.045799;0.039435;0.036323;0.032480;0.030299;0.029719;0.035562;0.025106;0.022254;0.022354;0.023105;0.024155;0.027457;0.033251;0.037544;0.051492;0.029358,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.013224;0.017513;0.053610;0.092209;0.069693;0.045390;0.024660;0.020014;0.035025;0.041101;0.038956;0.306648;0.205861;0.020014;0.014653;0.001430;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.276570;0.096780;0.065570;0.057140;0.069010;0.121500;0.073720;0.028940;0.022240;0.020150;0.019410;0.021280;0.020810;0.018400;0.017280;0.017750;0.025910;0.023470;0.004070;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.172150;0.257090;0.294500;0.159820;0.083320;0.018590;0.008930;0.004740;0.000840;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.213350;0.476440;0.258450;0.045840;0.005670;0.000250;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00149_06_fill_holes_and_orientation.obj,Sword
D00188_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.076210;0.088616;0.091452;0.096202;0.063724;0.052600;0.074406;0.079888;0.073003;0.090500;0.069476;0.038290;0.027748;0.020002;0.016815;0.013969;0.010151;0.008808;0.006203;0.001934,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.002041;0.006122;0.004082;0.031633;0.022449;0.100000;0.010204;0.005102;0.239796;0.347959;0.075510;0.096939;0.011224;0.025510;0.021429;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.030650;0.041720;0.049500;0.057690;0.056950;0.059250;0.106330;0.078750;0.056330;0.054780;0.031060;0.046650;0.145550;0.095900;0.044150;0.020050;0.014840;0.007160;0.001650;0.001040,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.011930;0.032200;0.043000;0.047950;0.062770;0.071200;0.097010;0.081850;0.096160;0.083620;0.085300;0.081100;0.093890;0.067890;0.031840;0.008720;0.002950;0.000490;0.000120;0.000010,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.018300;0.035980;0.056490;0.069390;0.084210;0.092200;0.099140;0.097280;0.098660;0.096790;0.076010;0.060870;0.043480;0.034340;0.022990;0.009270;0.003520;0.000750;0.000290;0.000040,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00188_06_fill_holes_and_orientation.obj,RectangleTable
D00674_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.086260;0.115721;0.102141;0.084209;0.074412;0.066637;0.061933;0.055309;0.052767;0.049625;0.044181;0.039598;0.035545;0.033814;0.030691;0.024717;0.018473;0.012239;0.008766;0.002962,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.067916;0.163544;0.081967;0.074551;0.076503;0.088603;0.070258;0.094457;0.155347;0.064793;0.000000;0.000000;0.019906;0.000000;0.000000;0.000000;0.042155;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.041440;0.080990;0.101970;0.108720;0.114170;0.124220;0.123280;0.122130;0.039100;0.010750;0.023330;0.017420;0.015180;0.016800;0.010520;0.012940;0.010660;0.009520;0.016860;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.011200;0.053070;0.105550;0.147200;0.166310;0.161380;0.128980;0.097220;0.056720;0.025630;0.017770;0.012920;0.008540;0.004750;0.002160;0.000600;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.016110;0.076920;0.152220;0.206740;0.209100;0.167680;0.101810;0.042850;0.018180;0.006700;0.001590;0.000100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00674_06_fill_holes_and_orientation.obj,Spoon
D00764_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.225030;0.097190;0.056615;0.050601;0.046349;0.046199;0.049411;0.048600;0.050481;0.057916;0.042506;0.035682;0.030739;0.025536;0.024065;0.020743;0.020763;0.027177;0.031850;0.012548,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.017713;0.023306;0.041019;0.117464;0.000000;0.040398;0.030764;0.047856;0.252952;0.288378;0.000000;0.000000;0.000000;0.010876;0.036047;0.017713;0.010566;0.040709;0.024239;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.128030;0.202310;0.136900;0.029910;0.055320;0.023070;0.043310;0.059380;0.080070;0.014250;0.010280;0.014950;0.007400;0.008730;0.014810;0.046370;0.043920;0.039340;0.041650;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.057750;0.174080;0.170370;0.172790;0.169060;0.120020;0.080420;0.037710;0.014320;0.003040;0.000430;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.062460;0.216730;0.265170;0.238490;0.143990;0.055990;0.014590;0.002440;0.000140;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00764_06_fill_holes_and_orientation.obj,Rocket
D00807_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.313467;0.104526;0.053694;0.037801;0.030865;0.028924;0.030145;0.031486;0.032377;0.036720;0.027613;0.025171;0.023289;0.021568;0.020327;0.024470;0.029244;0.033367;0.055105;0.039843,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.013725;0.014510;0.000000;0.000000;0.000000;0.131765;0.119216;0.073333;0.077647;0.198039;0.170196;0.000000;0.165490;0.036078;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.291790;0.129750;0.175480;0.034940;0.005470;0.002330;0.008630;0.010590;0.003440;0.003510;0.007600;0.011840;0.002580;0.005820;0.017590;0.091280;0.038300;0.093010;0.066050;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.218030;0.317570;0.202310;0.168440;0.079050;0.008750;0.004820;0.001000;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.320980;0.485810;0.175890;0.015580;0.001740;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00807_06_fill_holes_and_orientation.obj,Sword
D00937_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.095660;0.122845;0.109303;0.098773;0.078474;0.052299;0.043291;0.035894;0.029718;0.034112;0.043221;0.046504;0.046994;0.057514;0.049426;0.028487;0.014213;0.008178;0.004024;0.001071,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.078733;0.171946;0.090950;0.087783;0.152036;0.187330;0.090950;0.000000;0.026244;0.000000;0.000000;0.032579;0.000000;0.000000;0.081448,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.037460;0.063310;0.067210;0.077590;0.063330;0.055520;0.057170;0.054400;0.050380;0.053330;0.050950;0.048750;0.049980;0.061160;0.050600;0.028330;0.019530;0.023570;0.019080;0.068350,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.010200;0.041510;0.067000;0.084300;0.094270;0.101350;0.094970;0.087740;0.083210;0.068810;0.050820;0.032480;0.026320;0.025190;0.022190;0.020280;0.018480;0.018060;0.015330;0.037490,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.011830;0.046220;0.076960;0.101110;0.111790;0.116620;0.111650;0.102130;0.085470;0.067410;0.049270;0.038730;0.030090;0.022360;0.014410;0.008160;0.003300;0.001680;0.000600;0.000210,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D00937_06_fill_holes_and_orientation.obj,Glasses
D01120_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.213052;0.116541;0.069346;0.059727;0.053171;0.046905;0.041880;0.034873;0.039998;0.048276;0.032481;0.026275;0.027376;0.029018;0.030419;0.027286;0.027736;0.034723;0.030569;0.010350,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.042300;0.035171;0.011407;0.058935;0.044202;0.055608;0.084601;0.080798;0.202947;0.320342;0.015684;0.012357;0.009506;0.007129;0.009506;0.007129;0.002376;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.129760;0.261240;0.095010;0.062430;0.063150;0.036790;0.040860;0.035120;0.037480;0.037060;0.040320;0.031140;0.027390;0.025600;0.021980;0.019900;0.015260;0.011930;0.007570;0.000010,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.088530;0.223340;0.202670;0.173310;0.144600;0.098170;0.049940;0.016490;0.002950;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.115120;0.274410;0.287080;0.203950;0.098630;0.020350;0.000460;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D01120_06_fill_holes_and_orientation.obj,Knife
D01139_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.182889;0.116778;0.090443;0.070952;0.058635;0.048422;0.040633;0.035884;0.033167;0.032442;0.029554;0.030087;0.031647;0.034404;0.037997;0.036719;0.032241;0.028709;0.021081;0.007316,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.010274;0.010274;0.006849;0.013699;0.335616;0.380137;0.037671;0.085616;0.006849;0.006849;0.010274;0.013699;0.017123;0.023973;0.041096;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.262660;0.207600;0.070400;0.049950;0.048410;0.065950;0.064170;0.036990;0.038210;0.054940;0.051990;0.031970;0.004670;0.003340;0.004150;0.001400;0.000790;0.001290;0.001120;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.236360;0.257360;0.170050;0.108050;0.067570;0.042010;0.030840;0.025020;0.020330;0.014860;0.011500;0.007510;0.004140;0.002270;0.001270;0.000750;0.000100;0.000000;0.000010;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.300220;0.338720;0.189200;0.095960;0.049160;0.019730;0.005960;0.001020;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D01139_06_fill_holes_and_orientation.obj,Door
D01143_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.236225;0.050485;0.041432;0.035911;0.047082;0.055212;0.057470;0.058364;0.067788;0.100086;0.072556;0.043529;0.027671;0.020094;0.017333;0.013941;0.013339;0.014814;0.015447;0.011221,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.003401;0.030612;0.000000;0.005102;0.044218;0.000000;0.001701;0.777211;0.020408;0.000000;0.045918;0.000000;0.000000;0.008503;0.028912;0.000000;0.034014;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.245380;0.054670;0.051760;0.002820;0.024150;0.065270;0.008810;0.056210;0.012760;0.099050;0.277790;0.044470;0.020580;0.013850;0.015600;0.002000;0.000770;0.000650;0.000730;0.002680,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.125750;0.119500;0.168470;0.194670;0.126380;0.045910;0.020340;0.013540;0.014880;0.038280;0.024750;0.009730;0.014480;0.045780;0.031320;0.002600;0.001240;0.001330;0.000760;0.000290,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.129260;0.231330;0.221600;0.140950;0.085240;0.079580;0.059680;0.035910;0.011850;0.003720;0.000870;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D01143_06_fill_holes_and_orientation.obj,Door
D01160_06_fill_holes_and_orientation.obj,,,,,,,,,,,,0.132858;0.139172;0.086491;0.060826;0.050180;0.047618;0.045277;0.053762;0.058705;0.058615;0.047848;0.039593;0.033019;0.031839;0.027286;0.024414;0.022473;0.020682;0.015069;0.004273,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000956;0.005733;0.005256;0.008839;0.005733;0.000717;0.015528;0.279264;0.182274;0.030339;0.023172;0.014572;0.011228;0.316770;0.099618;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.209190;0.212880;0.091050;0.177560;0.212270;0.014880;0.006530;0.009770;0.007670;0.004300;0.007080;0.010620;0.004680;0.005680;0.009250;0.005850;0.002540;0.002310;0.005840;0.000050,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.112940;0.299160;0.325160;0.156830;0.063070;0.022890;0.012460;0.005220;0.001910;0.000360;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.026508;0.053016;0.079524;0.106033;0.132541;0.159049;0.185557;0.212065;0.238573;0.265081;0.291589;0.318098;0.344606;0.371114;0.397622;0.424130;0.450638;0.477146;0.503654;0.530163,0.133190;0.408240;0.333370;0.101760;0.020410;0.002960;0.000070;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.015273;0.030547;0.045820;0.061094;0.076367;0.091640;0.106914;0.122187;0.137461;0.152734;0.168007;0.183281;0.198554;0.213827;0.229101;0.244374;0.259648;0.274921;0.290194;0.305468,,D01160_06_fill_holes_and_orientation.obj,Knife
