class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
AircraftBuoyant,128,1.5,8.5,5.5,19372.5,7.0,19388.0,0.19409656776342088,0.6880952380952381,1.5,8.5,5.5,19372.5,0.21428571428571427,0.9995614261390021,0.15,0.9997161729796676,0.7857142857142857,0.0004385738609978845,0.85,0.00028382702033233565,0.1013764880952381,0.9992779038580566,0.21719457013574658,0.19639934533551553,0.24291497975708495,0.17893120316768152,0.21384714042471642,0.14971617297966766,534.9276856575964,0.7860664102118513,0.6729980603151666,
Apartment,183,0.5652173913043478,9.434782608695652,6.391304347826087,19371.608695652172,6.956521739130435,19388.0,0.11394567987499096,0.5825129501878085,0.5652173913043478,9.434782608695652,6.391304347826087,19371.608695652172,0.08074534161490683,0.9995131953884523,0.05652173913043478,0.9996701772965307,0.9192546583850931,0.00048680461154777945,0.9434782608695652,0.0003298227034691964,0.03641304347826087,0.9991837174047596,0.15294117647058822,0.13829787234042554,0.17105263157894732,0.0671556992161567,0.08025853700335904,0.05619191642696562,183.91218081435474,0.9197061126738609,0.585032183782903,
AquaticAnimal,224,2.4285714285714284,7.571428571428571,4.571428571428571,19373.428571428572,7.0,19388.0,0.541183469271875,0.8667484467276998,2.4285714285714284,7.571428571428571,4.571428571428571,19373.428571428572,0.3469387755102041,0.9996093375691951,0.24285714285714285,0.9997640918272562,0.6530612244897959,0.0003906624308048383,0.7571428571428571,0.0002359081727437595,0.19754174397031538,0.9993736921217836,0.36363636363636365,0.32882011605415856,0.4066985645933014,0.2899653963369984,0.3465481130793992,0.24262123468439908,1410.6473720440556,0.6533504033776393,0.8640403741026149,
Bed,212,2.2222222222222223,7.777777777777778,4.62962962962963,19373.37037037037,6.851851851851852,19388.0,0.4937257101991894,0.7789606279859287,2.2222222222222223,7.777777777777778,4.62962962962963,19373.37037037037,0.32451499118165783,0.9995986937397956,0.2222222222222222,0.9997610883667236,0.6754850088183422,0.00040130626020442515,0.7777777777777778,0.0002389116332763768,0.1741804491804492,0.9993600470699708,0.3558823529411764,0.32007400555041626,0.40092879256965935,0.2681336408834095,0.3241136849214534,0.22198331058894585,1095.312554239803,0.6757851711623635,0.7741044298258916,
Bicycle,207,6.5,3.5,1.2307692307692308,19376.76923076923,6.961538461538462,19388.0,1.6776236890286915,0.9583473657354253,6.5,3.5,1.2307692307692308,19376.76923076923,0.8223443223443223,0.999819408919816,0.6499999999999999,0.9999364862611844,0.17765567765567764,0.00018059108018388969,0.35,6.351373881562755e-05,0.626850233100233,0.9997559949850027,0.7235386732290757,0.6771012895302574,0.7789026717886591,0.7296945124794422,0.8221637312641386,0.6499364862611844,8197.93507936508,0.1777254475002052,0.9553034629613275,
Biplane,360,2.6666666666666665,7.333333333333333,4.333333333333333,19373.666666666668,7.0,19388.0,1.0240843127017,0.8905304613202648,2.6666666666666665,7.333333333333333,4.333333333333333,19373.666666666668,0.38095238095238093,0.9996216225512959,0.26666666666666666,0.9997763787112532,0.6190476190476191,0.0003783774487040572,0.7333333333333333,0.0002236212887466887,0.20555648055648057,0.9993982532150472,0.3529411764705882,0.3191489361702128,0.3947368421052631,0.3184357022778489,0.3805740035036769,0.26644304537791996,1282.0563240110857,0.6193052231722451,0.8832988659872627,
Bird,343,1.441860465116279,8.55813953488372,5.534883720930233,19372.46511627907,6.976744186046512,19388.0,0.46621836567692837,0.6812617186506589,1.441860465116279,8.55813953488372,5.534883720930233,19372.46511627907,0.20653377630121816,0.9995584268749763,0.14418604651162792,0.9997143728082913,0.7934662236987818,0.0004415731250237112,0.8558139534883721,0.00028562719170865063,0.10204446716074624,0.999273105877047,0.24338235294117644,0.21993524514338575,0.27244582043343646,0.1722026281823108,0.20609220317619445,0.14390041931991926,569.4486807642953,0.7938305716968455,0.6783869706320593,
Bookset,160,1.0,9.0,6.0,19372.0,7.0,19388.0,0.17886710350027143,0.7380294719428845,1.0,9.0,6.0,19372.0,0.14285714285714285,0.9995356276765905,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.06642857142857142,0.9992263255622035,0.18099547511312217,0.1636661211129296,0.2024291497975708,0.11914356069189547,0.14239277053373334,0.09969037052327384,345.5399376417233,0.8575477173683718,0.7403318858560795,
Bottle,239,3.433333333333333,6.566666666666666,3.566666666666667,19374.433333333334,6.966666666666667,19388.0,0.715194946274776,0.7605744262420285,3.433333333333333,6.566666666666666,3.566666666666667,19374.433333333334,0.4857142857142857,0.999661180903537,0.3433333333333334,0.9998159424777239,0.5142857142857143,0.00033881909646311204,0.6566666666666666,0.00018405752227612068,0.289002109002109,0.9994773399353553,0.46405228758169936,0.42075831969448985,0.5173992673992673,0.4080515046725919,0.48537546661782266,0.3431492758110572,2150.4979213907786,0.5144980898909327,0.7657173724876211,
BuildingNonResidential,330,0.7380952380952381,9.261904761904763,6.119047619047619,19371.880952380954,6.857142857142857,19388.0,0.2374407872714309,0.564087891355899,0.7380952380952381,9.261904761904763,6.119047619047619,19371.880952380954,0.10657596371882086,0.9995221178725202,0.07380952380952381,0.9996842270812752,0.8934240362811792,0.0004778821274797388,0.9261904761904761,0.00031577291872471975,0.0487953514739229,0.9992066766875928,0.17436974789915966,0.15726179463459758,0.1957098628925254,0.08828686983102887,0.10609808159134113,0.07349375089079911,253.0497876399237,0.8938568507793475,0.5578490052046444,
Bus,156,0.75,9.25,6.05,19371.95,6.8,19388.0,0.1423886819380395,0.6798017064994994,0.75,9.25,6.05,19371.95,0.11428571428571428,0.9995227329709637,0.075,0.9996877902776344,0.8857142857142858,0.0004772670290363438,0.925,0.0003122097223655692,0.051389652014652024,0.9992108520734476,0.20098039215686272,0.1788467468393463,0.22961816305469554,0.09212938229902642,0.11380844725667794,0.07468779027763445,277.51891534391535,0.8861443441632144,0.6724499912933699,
Car,702,4.033707865168539,5.966292134831461,3.359550561797753,19374.6404494382,6.887640449438202,19388.0,2.3907463646667537,0.7603179976614045,4.033707865168539,5.966292134831461,3.359550561797753,19374.6404494382,0.5133761369716425,0.9996921584807453,0.40337078651685393,0.9998266306862525,0.4866238630283574,0.00030784151925460746,0.5966292134831461,0.0001733693137474328,0.36440025330474773,0.9995189889263137,0.49964901530787753,0.4672838515609759,0.5392577912171734,0.45347475456958625,0.513068295452388,0.40319741720310653,3676.882869679037,0.48683391772319834,0.7539203342271935,
Cellphone,159,1.45,8.55,5.5,19372.5,6.95,19388.0,0.25483620903417,0.6931903269339602,1.45,8.55,5.5,19372.5,0.20714285714285713,0.9995588476238136,0.145,0.9997161729796676,0.7928571428571429,0.00044115237618640114,0.8550000000000001,0.00028382702033233565,0.09868818681318682,0.9992753249432639,0.21323529411764705,0.19281914893617022,0.2384868421052631,0.17295404069878934,0.20670170476667077,0.14471617297966768,526.2754535147392,0.7932155356348382,0.6827583692481825,
Chess,335,3.7857142857142856,6.214285714285714,3.238095238095238,19374.761904761905,6.976190476190476,19388.0,1.441706235366584,0.8268981500332532,3.7857142857142856,6.214285714285714,3.238095238095238,19374.761904761905,0.5340136054421768,0.9996793623474441,0.37857142857142856,0.9998328983776398,0.4659863945578231,0.0003206376525557942,0.6214285714285714,0.00016710162236016298,0.3243218091432377,0.9995124622987218,0.5027380321497968,0.4562008817327966,0.5600149021201652,0.4493045449698113,0.533692967789621,0.3784043269490684,2525.407758341432,0.46617355542968186,0.8135882846426843,
City,215,1.5555555555555556,8.444444444444445,5.407407407407407,19372.59259259259,6.962962962962963,19388.0,0.3569090956661209,0.7704490694951085,1.5555555555555556,8.444444444444445,5.407407407407407,19372.59259259259,0.2222222222222222,0.9995642936207906,0.15555555555555556,0.9997209512123332,0.7777777777777778,0.000435706379209445,0.8444444444444444,0.0002790487876668081,0.11307319223985891,0.9992855450870719,0.2352941176470588,0.21276595744680848,0.2631578947368421,0.18557546105661066,0.2217865158430128,0.1552765067678888,657.1830645838583,0.7781339341700838,0.7583756775501403,
ClassicPiano,157,0.75,9.25,6.1,19371.9,6.85,19388.0,0.12501051403202484,0.7098754951895868,0.75,9.25,6.1,19371.9,0.10714285714285714,0.9995227324385425,0.075,0.9996852100319951,0.8928571428571429,0.0004772675614574028,0.925,0.0003147899680049541,0.04946428571428572,0.9992082731586549,0.1764705882352941,0.1595744680851064,0.19736842105263153,0.08925454479006181,0.10666558958139974,0.07468521003199506,255.44685374149657,0.8932892894792503,0.6964665230072701,
Computer,264,3.272727272727273,6.7272727272727275,4.03030303030303,19373.969696969696,7.0,19388.0,0.7781139389820917,0.7755977130977131,3.272727272727273,6.7272727272727275,4.03030303030303,19373.969696969696,0.42424242424242425,0.9996528927693996,0.32727272727272727,0.9997920165636133,0.5757575757575758,0.0003471072306002561,0.6727272727272727,0.00020798343638678038,0.28093396502487417,0.9994451425749136,0.39173518869913554,0.3642187142530313,0.4250949955533996,0.3715782894914537,0.423895317011824,0.3270647438363405,2014.0936105625046,0.5760056179681871,0.7507801865756412,
ComputerKeyboard,157,3.45,6.55,3.5,19374.5,6.85,19388.0,0.7392081146634195,0.8439771886291411,3.45,6.55,3.5,19374.5,0.48452380952380947,0.9996620429375632,0.34500000000000003,0.9998193828052431,0.5154761904761905,0.0003379570624368734,0.655,0.00018061719475694085,0.2927335164835165,0.9994816381266762,0.4472131445170661,0.4064737725699798,0.49754697200517634,0.40832322550611166,0.4841858524613727,0.3448193828052431,2384.4933484504913,0.5156894854499,0.8538728723172696,
Cup,237,0.9333333333333333,9.066666666666666,5.966666666666667,19372.033333333333,6.9,19388.0,0.19350660572465908,0.6789022224768015,0.9333333333333333,9.066666666666666,5.966666666666667,19372.033333333333,0.1357142857142857,0.9995321902774971,0.09333333333333332,0.9996920906870334,0.8642857142857142,0.0004678097225029782,0.9066666666666666,0.0003079093129665944,0.06226190476190476,0.9992246062856751,0.17453560371517027,0.15714007497930765,0.19635000814730322,0.1121328238292563,0.13524647599178274,0.09302542402036676,326.3146069538926,0.864696596156128,0.6664278395132445,
