query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1337_06_fill_holes_and_orientation.obj,m1337,AircraftBuoyant,1,9,6,19372,7,19388,0.13036396277016474,0.8207266721717589,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1338_06_fill_holes_and_orientation.obj,m1338,AircraftBuoyant,1,9,6,19372,7,19388,0.18261515198575998,0.8070189925681255,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m1339_06_fill_holes_and_orientation.obj,m1339,AircraftBuoyant,0,10,7,19371,7,19388,0.009167354704044424,0.2979355904211396,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1340_06_fill_holes_and_orientation.obj,m1340,AircraftBuoyant,3,7,4,19374,7,19388,0.2838344169281759,0.7289292595650977,3,7,4,19374,0.42857142857142855,0.9996388215262371,0.3,0.9997935803488492,0.5714285714285714,0.00036117847376296373,0.7,0.00020641965115078957,0.21428571428571427,0.9994326387456158,0.3529411764705882,0.3191489361702127,0.3947368421052631,0.3582941305950396,0.42821025009766567,0.2997935803488492,1186.5918367346937,0.5716350336975917
m1341_06_fill_holes_and_orientation.obj,m1341,AircraftBuoyant,2,8,5,19373,7,19388,0.25990598560916023,0.7458574181117533,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
m1342_06_fill_holes_and_orientation.obj,m1342,AircraftBuoyant,2,8,5,19373,7,19388,0.39395886707534045,0.8806771263418662,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
m1343_06_fill_holes_and_orientation.obj,m1343,AircraftBuoyant,0,10,7,19371,7,19388,0.031958823828287436,0.7609688962290119,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1344_06_fill_holes_and_orientation.obj,m1344,AircraftBuoyant,3,7,4,19374,7,19388,0.5376298133836336,0.891384530690889,3,7,4,19374,0.42857142857142855,0.9996388215262371,0.3,0.9997935803488492,0.5714285714285714,0.00036117847376296373,0.7,0.00020641965115078957,0.21428571428571427,0.9994326387456158,0.3529411764705882,0.3191489361702127,0.3947368421052631,0.3582941305950396,0.42821025009766567,0.2997935803488492,1186.5918367346937,0.5716350336975917
m1345_06_fill_holes_and_orientation.obj,m1345,AircraftBuoyant,0,10,7,19371,7,19388,0.009735064425163519,0.2527938342967245,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m1346_06_fill_holes_and_orientation.obj,m1346,AircraftBuoyant,2,8,5,19373,7,19388,0.22072483512080238,0.6464629782548857,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
