,shape,class
0,m1337_06_fill_holes_and_orientation.obj,AircraftBuoyant
1,m1338_06_fill_holes_and_orientation.obj,AircraftBuoyant
2,m1339_06_fill_holes_and_orientation.obj,AircraftBuoyant
3,m1340_06_fill_holes_and_orientation.obj,AircraftBuoyant
4,m1341_06_fill_holes_and_orientation.obj,AircraftBuoyant
5,m1342_06_fill_holes_and_orientation.obj,AircraftBuoyant
6,m1343_06_fill_holes_and_orientation.obj,AircraftBuoyant
7,m1344_06_fill_holes_and_orientation.obj,AircraftBuoyant
8,m1345_06_fill_holes_and_orientation.obj,AircraftBuoyant
9,m1346_06_fill_holes_and_orientation.obj,AircraftBuoyant
10,m1347_06_fill_holes_and_orientation.obj,AircraftBuoyant
11,m1348_06_fill_holes_and_orientation.obj,AircraftBuoyant
12,m1349_06_fill_holes_and_orientation.obj,AircraftBuoyant
13,m1350_06_fill_holes_and_orientation.obj,AircraftBuoyant
14,m1351_06_fill_holes_and_orientation.obj,AircraftBuoyant
15,m1352_06_fill_holes_and_orientation.obj,AircraftBuoyant
16,D00045_06_fill_holes_and_orientation.obj,Apartment
17,D00086_06_fill_holes_and_orientation.obj,Apartment
18,D00138_06_fill_holes_and_orientation.obj,Apartment
19,D00156_06_fill_holes_and_orientation.obj,Apartment
20,D00310_06_fill_holes_and_orientation.obj,Apartment
21,D00348_06_fill_holes_and_orientation.obj,Apartment
22,D00366_06_fill_holes_and_orientation.obj,Apartment
23,D00478_06_fill_holes_and_orientation.obj,Apartment
24,D00496_06_fill_holes_and_orientation.obj,Apartment
25,D00626_06_fill_holes_and_orientation.obj,Apartment
26,D00639_06_fill_holes_and_orientation.obj,Apartment
27,D00651_06_fill_holes_and_orientation.obj,Apartment
28,D00681_06_fill_holes_and_orientation.obj,Apartment
29,D00780_06_fill_holes_and_orientation.obj,Apartment
30,D00792_06_fill_holes_and_orientation.obj,Apartment
31,D00859_06_fill_holes_and_orientation.obj,Apartment
32,D00860_06_fill_holes_and_orientation.obj,Apartment
33,D00869_06_fill_holes_and_orientation.obj,Apartment
34,D00921_06_fill_holes_and_orientation.obj,Apartment
35,D00953_06_fill_holes_and_orientation.obj,Apartment
36,m463_06_fill_holes_and_orientation.obj,Apartment
37,m464_06_fill_holes_and_orientation.obj,Apartment
38,m465_06_fill_holes_and_orientation.obj,Apartment
39,m53_06_fill_holes_and_orientation.obj,AquaticAnimal
40,m54_06_fill_holes_and_orientation.obj,AquaticAnimal
41,m55_06_fill_holes_and_orientation.obj,AquaticAnimal
42,m56_06_fill_holes_and_orientation.obj,AquaticAnimal
43,m57_06_fill_holes_and_orientation.obj,AquaticAnimal
44,m58_06_fill_holes_and_orientation.obj,AquaticAnimal
45,m59_06_fill_holes_and_orientation.obj,AquaticAnimal
46,m60_06_fill_holes_and_orientation.obj,AquaticAnimal
47,m61_06_fill_holes_and_orientation.obj,AquaticAnimal
48,m62_06_fill_holes_and_orientation.obj,AquaticAnimal
49,m63_06_fill_holes_and_orientation.obj,AquaticAnimal
50,m64_06_fill_holes_and_orientation.obj,AquaticAnimal
51,m65_06_fill_holes_and_orientation.obj,AquaticAnimal
52,m66_06_fill_holes_and_orientation.obj,AquaticAnimal
53,m67_06_fill_holes_and_orientation.obj,AquaticAnimal
54,m68_06_fill_holes_and_orientation.obj,AquaticAnimal
55,m69_06_fill_holes_and_orientation.obj,AquaticAnimal
56,m70_06_fill_holes_and_orientation.obj,AquaticAnimal
57,m71_06_fill_holes_and_orientation.obj,AquaticAnimal
58,m72_06_fill_holes_and_orientation.obj,AquaticAnimal
59,m73_06_fill_holes_and_orientation.obj,AquaticAnimal
60,m75_06_fill_holes_and_orientation.obj,AquaticAnimal
61,m76_06_fill_holes_and_orientation.obj,AquaticAnimal
62,m77_06_fill_holes_and_orientation.obj,AquaticAnimal
63,m78_06_fill_holes_and_orientation.obj,AquaticAnimal
64,m79_06_fill_holes_and_orientation.obj,AquaticAnimal
65,m80_06_fill_holes_and_orientation.obj,AquaticAnimal
66,m81_06_fill_holes_and_orientation.obj,AquaticAnimal
67,D00031_06_fill_holes_and_orientation.obj,Bed
68,D00110_06_fill_holes_and_orientation.obj,Bed
69,D00121_06_fill_holes_and_orientation.obj,Bed
70,D00184_06_fill_holes_and_orientation.obj,Bed
71,D00210_06_fill_holes_and_orientation.obj,Bed
72,D00213_06_fill_holes_and_orientation.obj,Bed
73,D00217_06_fill_holes_and_orientation.obj,Bed
74,D00307_06_fill_holes_and_orientation.obj,Bed
75,D00322_06_fill_holes_and_orientation.obj,Bed
76,D00417_06_fill_holes_and_orientation.obj,Bed
77,D00538_06_fill_holes_and_orientation.obj,Bed
78,D00545_06_fill_holes_and_orientation.obj,Bed
79,D00552_06_fill_holes_and_orientation.obj,Bed
80,D00565_06_fill_holes_and_orientation.obj,Bed
81,D00650_06_fill_holes_and_orientation.obj,Bed
82,D00735_06_fill_holes_and_orientation.obj,Bed
83,D00836_06_fill_holes_and_orientation.obj,Bed
84,D00839_06_fill_holes_and_orientation.obj,Bed
85,D00969_06_fill_holes_and_orientation.obj,Bed
86,D00988_06_fill_holes_and_orientation.obj,Bed
87,m945_06_fill_holes_and_orientation.obj,Bed
88,m946_06_fill_holes_and_orientation.obj,Bed
89,m947_06_fill_holes_and_orientation.obj,Bed
90,m948_06_fill_holes_and_orientation.obj,Bed
91,m949_06_fill_holes_and_orientation.obj,Bed
92,m950_06_fill_holes_and_orientation.obj,Bed
93,m951_06_fill_holes_and_orientation.obj,Bed
94,D00016_06_fill_holes_and_orientation.obj,Bicycle
95,D00033_06_fill_holes_and_orientation.obj,Bicycle
96,D00040_06_fill_holes_and_orientation.obj,Bicycle
97,D00077_06_fill_holes_and_orientation.obj,Bicycle
98,D00078_06_fill_holes_and_orientation.obj,Bicycle
99,D00462_06_fill_holes_and_orientation.obj,Bicycle
100,D00514_06_fill_holes_and_orientation.obj,Bicycle
101,D00536_06_fill_holes_and_orientation.obj,Bicycle
102,D00555_06_fill_holes_and_orientation.obj,Bicycle
103,D00558_06_fill_holes_and_orientation.obj,Bicycle
104,D00567_06_fill_holes_and_orientation.obj,Bicycle
105,D00621_06_fill_holes_and_orientation.obj,Bicycle
106,D00708_06_fill_holes_and_orientation.obj,Bicycle
107,D00750_06_fill_holes_and_orientation.obj,Bicycle
