,x,y
m1337_06_fill_holes_and_orientation.obj,-10.787505,49.75271
m1338_06_fill_holes_and_orientation.obj,-11.730302,49.805195
m1339_06_fill_holes_and_orientation.obj,-26.20942,-17.941324
m1340_06_fill_holes_and_orientation.obj,37.3447,17.01373
m1341_06_fill_holes_and_orientation.obj,37.120197,17.064943
m1342_06_fill_holes_and_orientation.obj,8.200762,37.30337
m1343_06_fill_holes_and_orientation.obj,-6.4755626,48.739773
m1344_06_fill_holes_and_orientation.obj,8.325732,37.264706
m1345_06_fill_holes_and_orientation.obj,-39.939987,-11.175175
m1346_06_fill_holes_and_orientation.obj,21.06719,29.33116
m1347_06_fill_holes_and_orientation.obj,21.670729,32.3776
m1348_06_fill_holes_and_orientation.obj,21.142069,29.381134
m1349_06_fill_holes_and_orientation.obj,34.9518,15.801644
m1350_06_fill_holes_and_orientation.obj,9.768469,5.9804616
m1351_06_fill_holes_and_orientation.obj,22.094572,32.744423
m1352_06_fill_holes_and_orientation.obj,20.172913,30.984766
D00045_06_fill_holes_and_orientation.obj,-23.251799,27.841475
D00086_06_fill_holes_and_orientation.obj,3.3769915,44.569576
D00138_06_fill_holes_and_orientation.obj,-10.878054,-24.583643
D00156_06_fill_holes_and_orientation.obj,-33.641834,9.716669
D00310_06_fill_holes_and_orientation.obj,-30.738634,9.077685
D00348_06_fill_holes_and_orientation.obj,13.077624,51.21983
D00366_06_fill_holes_and_orientation.obj,-1.1057743,40.57215
D00478_06_fill_holes_and_orientation.obj,-31.392706,13.320466
D00496_06_fill_holes_and_orientation.obj,-3.518678,50.658886
D00626_06_fill_holes_and_orientation.obj,-13.432968,38.177795
D00639_06_fill_holes_and_orientation.obj,-13.361707,40.151546
D00651_06_fill_holes_and_orientation.obj,-33.644073,9.716578
D00681_06_fill_holes_and_orientation.obj,-15.199149,40.25387
D00780_06_fill_holes_and_orientation.obj,-42.581146,-9.577752
D00792_06_fill_holes_and_orientation.obj,-1.4432964,41.83571
D00859_06_fill_holes_and_orientation.obj,0.85588235,38.928883
D00860_06_fill_holes_and_orientation.obj,-31.35099,13.393534
D00869_06_fill_holes_and_orientation.obj,-41.178665,0.9954511
D00921_06_fill_holes_and_orientation.obj,-15.067098,34.70704
D00953_06_fill_holes_and_orientation.obj,-39.082928,-26.783424
m463_06_fill_holes_and_orientation.obj,-19.638372,34.79524
m464_06_fill_holes_and_orientation.obj,18.752327,36.625584
m465_06_fill_holes_and_orientation.obj,21.790577,47.33019
m53_06_fill_holes_and_orientation.obj,29.48117,4.348275
m54_06_fill_holes_and_orientation.obj,24.54882,6.7113276
m55_06_fill_holes_and_orientation.obj,25.525301,1.4416988
m56_06_fill_holes_and_orientation.obj,29.55925,2.9106383
m57_06_fill_holes_and_orientation.obj,30.335087,3.922444
m58_06_fill_holes_and_orientation.obj,-4.0015492,31.677477
m59_06_fill_holes_and_orientation.obj,36.149975,7.871579
m60_06_fill_holes_and_orientation.obj,21.419199,-6.4199243
m61_06_fill_holes_and_orientation.obj,26.028097,2.1352167
m62_06_fill_holes_and_orientation.obj,31.86313,-0.6999818
m63_06_fill_holes_and_orientation.obj,7.6339707,18.692013
m64_06_fill_holes_and_orientation.obj,30.726007,2.8368378
m65_06_fill_holes_and_orientation.obj,-8.123907,-18.327652
m66_06_fill_holes_and_orientation.obj,9.741388,16.741121
m67_06_fill_holes_and_orientation.obj,30.32973,2.2327054
m68_06_fill_holes_and_orientation.obj,24.759745,-4.279146
m69_06_fill_holes_and_orientation.obj,24.165134,-0.38654667
m70_06_fill_holes_and_orientation.obj,32.302956,-11.68885
m71_06_fill_holes_and_orientation.obj,26.529453,-9.150204
m72_06_fill_holes_and_orientation.obj,34.296284,-1.4794433
m73_06_fill_holes_and_orientation.obj,-0.76060706,0.9606615
m75_06_fill_holes_and_orientation.obj,19.210506,-15.576353
m76_06_fill_holes_and_orientation.obj,25.898518,-9.798725
m77_06_fill_holes_and_orientation.obj,18.378134,-15.35318
m78_06_fill_holes_and_orientation.obj,25.370798,-10.182316
m79_06_fill_holes_and_orientation.obj,24.18465,-23.370356
m80_06_fill_holes_and_orientation.obj,3.735226,-15.509664
m81_06_fill_holes_and_orientation.obj,23.758627,-23.29954
D00031_06_fill_holes_and_orientation.obj,-19.398397,40.667347
D00110_06_fill_holes_and_orientation.obj,-43.035496,12.240469
D00121_06_fill_holes_and_orientation.obj,-43.69544,13.95573
D00184_06_fill_holes_and_orientation.obj,-14.365838,52.53231
D00210_06_fill_holes_and_orientation.obj,-36.829697,14.708054
D00213_06_fill_holes_and_orientation.obj,-20.184166,39.42186
D00217_06_fill_holes_and_orientation.obj,-45.80392,13.020642
D00307_06_fill_holes_and_orientation.obj,3.445622,50.693325
D00322_06_fill_holes_and_orientation.obj,-44.455013,12.883712
D00417_06_fill_holes_and_orientation.obj,-20.126991,40.191013
D00538_06_fill_holes_and_orientation.obj,-47.37475,12.428528
D00545_06_fill_holes_and_orientation.obj,-42.2728,10.991513
D00552_06_fill_holes_and_orientation.obj,-6.444555,20.549109
D00565_06_fill_holes_and_orientation.obj,-0.35737327,16.739952
D00650_06_fill_holes_and_orientation.obj,-46.63618,13.210565
D00735_06_fill_holes_and_orientation.obj,-0.73628175,16.917444
D00836_06_fill_holes_and_orientation.obj,-0.9595001,38.62622
D00839_06_fill_holes_and_orientation.obj,-19.919073,43.226433
D00969_06_fill_holes_and_orientation.obj,-18.847708,43.66371
D00988_06_fill_holes_and_orientation.obj,-47.427948,14.499808
m945_06_fill_holes_and_orientation.obj,-17.423096,20.694132
m946_06_fill_holes_and_orientation.obj,-45.32194,12.350688
