class,shape_file,num_vertices,num_faces,face_types,bounding_box
AircraftBuoyant,m1337_00_original.obj,201,340,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1337_01_remeshed.obj,8727,16972,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.889234, 0.975, 0.889234]}"
AircraftBuoyant,m1337_02_translated.obj,8727,16972,triangle,"{""min"": [-0.432466, -0.561809, -0.431931], ""max"": [0.431768, 0.388191, 0.432303]}"
AircraftBuoyant,m1337_03_aligned.obj,8727,16972,triangle,"{""min"": [-0.578799, -0.43766, -0.457468], ""max"": [0.404366, 0.442328, 0.422773]}"
AircraftBuoyant,m1337_04_flipped.obj,8727,16972,triangle,"{""min"": [-0.404366, -0.442328, -0.457468], ""max"": [0.578799, 0.43766, 0.422773]}"
AircraftBuoyant,m1337_05_scaled.obj,8727,16972,triangle,"{""min"": [-0.41129, -0.449902, -0.465301], ""max"": [0.58871, 0.445154, 0.430012]}"
AircraftBuoyant,m1337_06_fill_holes_and_orientation.obj,8730,17452,triangle,"{""min"": [-0.41129, -0.449902, -0.465301], ""max"": [0.58871, 0.445154, 0.430012]}"
AircraftBuoyant,m1337_unified.obj,8727,16972,triangle,"{""min"": [-0.41129, -0.449902, -0.465301], ""max"": [0.58871, 0.445154, 0.430012]}"
AircraftBuoyant,m1338_00_original.obj,8761,16960,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.933058, 0.975, 0.937901]}"
AircraftBuoyant,m1338_01_remeshed.obj,8761,16960,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.933058, 0.975, 0.937901]}"
AircraftBuoyant,m1338_02_translated.obj,8761,16960,triangle,"{""min"": [-0.454405, -0.571086, -0.456231], ""max"": [0.453653, 0.378914, 0.45667]}"
AircraftBuoyant,m1338_03_aligned.obj,8761,16960,triangle,"{""min"": [-0.571261, -0.454328, -0.45659], ""max"": [0.37891, 0.453602, 0.456182]}"
AircraftBuoyant,m1338_04_flipped.obj,8761,16960,triangle,"{""min"": [-0.37891, -0.454328, -0.45659], ""max"": [0.571261, 0.453602, 0.456182]}"
AircraftBuoyant,m1338_05_scaled.obj,8761,16960,triangle,"{""min"": [-0.398781, -0.478154, -0.480535], ""max"": [0.601219, 0.47739, 0.480105]}"
AircraftBuoyant,m1338_06_fill_holes_and_orientation.obj,8764,17520,triangle,"{""min"": [-0.398781, -0.478154, -0.480535], ""max"": [0.601219, 0.47739, 0.480105]}"
AircraftBuoyant,m1338_unified.obj,8761,16960,triangle,"{""min"": [-0.398781, -0.478154, -0.480535], ""max"": [0.601219, 0.47739, 0.480105]}"
AircraftBuoyant,m1339_00_original.obj,1878,6173,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.607072, 0.975, 0.626812]}"
AircraftBuoyant,m1339_01_remeshed.obj,9896,23555,triangle,"{""min"": [0.027478, 0.036961, 0.025], ""max"": [0.602116, 0.975, 0.625735]}"
AircraftBuoyant,m1339_02_translated.obj,9896,23555,triangle,"{""min"": [-0.286264, -0.519431, -0.302222], ""max"": [0.288375, 0.418608, 0.298513]}"
AircraftBuoyant,m1339_03_aligned.obj,9896,23555,triangle,"{""min"": [-0.519495, -0.300452, -0.285408], ""max"": [0.418655, 0.299146, 0.286834]}"
AircraftBuoyant,m1339_04_flipped.obj,9896,23555,triangle,"{""min"": [-0.418655, -0.299146, -0.286834], ""max"": [0.519495, 0.300452, 0.285408]}"
AircraftBuoyant,m1339_05_scaled.obj,9896,23555,triangle,"{""min"": [-0.446256, -0.318868, -0.305744], ""max"": [0.553744, 0.32026, 0.304224]}"
AircraftBuoyant,m1339_06_fill_holes_and_orientation.obj,9899,11831,triangle,"{""min"": [-0.446256, -0.318868, -0.305744], ""max"": [0.553744, 0.32026, 0.304224]}"
AircraftBuoyant,m1339_unified.obj,9896,23555,triangle,"{""min"": [-0.446256, -0.318868, -0.305744], ""max"": [0.553744, 0.32026, 0.304224]}"
AircraftBuoyant,m1340_00_original.obj,778,1457,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
AircraftBuoyant,m1340_01_remeshed.obj,9252,18145,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.367686, 0.975, 0.367689]}"
AircraftBuoyant,m1340_02_translated.obj,9252,18145,triangle,"{""min"": [-0.171205, -0.667348, -0.171143], ""max"": [0.171481, 0.282652, 0.171546]}"
AircraftBuoyant,m1340_03_aligned.obj,9252,18145,triangle,"{""min"": [-0.667275, -0.169365, -0.171636], ""max"": [0.28262, 0.172862, 0.170617]}"
AircraftBuoyant,m1340_04_flipped.obj,9252,18145,triangle,"{""min"": [-0.28262, -0.172862, -0.171636], ""max"": [0.667275, 0.169365, 0.170617]}"
AircraftBuoyant,m1340_05_scaled.obj,9252,18145,triangle,"{""min"": [-0.297528, -0.18198, -0.180689], ""max"": [0.702472, 0.178298, 0.179617]}"
AircraftBuoyant,m1340_06_fill_holes_and_orientation.obj,9258,18500,triangle,"{""min"": [-0.297528, -0.18198, -0.180689], ""max"": [0.702472, 0.178298, 0.179617]}"
AircraftBuoyant,m1340_unified.obj,9252,18145,triangle,"{""min"": [-0.297528, -0.18198, -0.180689], ""max"": [0.702472, 0.178298, 0.179617]}"
AircraftBuoyant,m1341_00_original.obj,425,824,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.379575, 0.975, 0.379575]}"
AircraftBuoyant,m1341_01_remeshed.obj,7888,15717,triangle,"{""min"": [0.025, 0.025, 0.025], ""max"": [0.379575, 0.975, 0.379575]}"
AircraftBuoyant,m1341_02_translated.obj,7888,15717,triangle,"{""min"": [-0.177293, -0.625238, -0.177288], ""max"": [0.177282, 0.324762, 0.177287]}"
AircraftBuoyant,m1341_03_aligned.obj,7888,15717,triangle,"{""min"": [-0.625156, -0.173159, -0.171545], ""max"": [0.324719, 0.17198, 0.173581]}"
AircraftBuoyant,m1341_04_flipped.obj,7888,15717,triangle,"{""min"": [-0.324719, -0.173159, -0.171545], ""max"": [0.625156, 0.17198, 0.173581]}"
AircraftBuoyant,m1341_05_scaled.obj,7888,15717,triangle,"{""min"": [-0.341855, -0.182296, -0.180597], ""max"": [0.658145, 0.181056, 0.182741]}"
AircraftBuoyant,m1341_06_fill_holes_and_orientation.obj,7889,15764,triangle,"{""min"": [-0.341855, -0.182296, -0.180597], ""max"": [0.658145, 0.181056, 0.182741]}"
