column,target_label,target_value,closest_filename,closest_class,closest_value,abs_diff
compactness,min,-0.0203526352207678,m1033_00_original.obj,PlantIndoors,-0.0203526352207678,0.0
compactness,25%,12.326213720496916,D00096_00_original.obj,Tree,0.0412896653664096,12.284924055130507
compactness,50%,24.6727800762146,D00096_00_original.obj,Tree,0.0412896653664096,24.63149041084819
compactness,75%,37.019346431932284,D01194_00_original.obj,Door,49.36591278764997,12.346566355717684
compactness,max,49.36591278764997,D01194_00_original.obj,Door,49.36591278764997,0.0
convexity,min,-1.173987308300138,m977_00_original.obj,PlantWildNonTree,-1.173987308300138,0.0
convexity,25%,1.6623293568574475,D00493_00_original.obj,ComputerKeyboard,1.6696464823475416,0.007317125490094112
convexity,50%,4.498646022015033,D00451_00_original.obj,Bottle,4.486043012235765,0.012603009779268426
convexity,75%,7.334962687172618,m543_00_original.obj,Vase,5.5620957252513,1.7728669619213182
convexity,max,10.171279352330204,D00126_00_original.obj,Skyscraper,10.171279352330204,0.0
diameter,min,-0.7021244616069257,m1141_00_original.obj,Biplane,-0.7021244616069257,0.0
diameter,25%,0.9185855162674833,D00391_00_original.obj,Monitor,0.9169199387895408,0.0016655774779424926
diameter,50%,2.5392954941418924,m888_00_original.obj,RectangleTable,2.539624099369649,0.00032860522775646217
diameter,75%,4.1600054720163016,D00295_00_original.obj,RectangleTable,4.11955803442332,0.04044743759298175
diameter,max,5.78071544989071,D01001_00_original.obj,City,5.78071544989071,0.0
eccentricity,min,-0.1043819668277905,m932_00_original.obj,RoundTable,-0.1043819668277905,0.0
eccentricity,25%,10.641317186511825,D01194_00_original.obj,Door,11.280908696525568,0.6395915100137426
eccentricity,50%,21.387016339851442,D00525_00_original.obj,ComputerKeyboard,15.020383916889337,6.366632422962105
eccentricity,75%,32.132715493191064,D00787_00_original.obj,Insect,42.87841464653068,10.745699153339615
eccentricity,max,42.87841464653068,D00787_00_original.obj,Insect,42.87841464653068,0.0
face_types,min,3.0,m1337_00_original.obj,AircraftBuoyant,3.0,0.0
face_types,25%,3.0,m1337_00_original.obj,AircraftBuoyant,3.0,0.0
face_types,50%,3.0,m1337_00_original.obj,AircraftBuoyant,3.0,0.0
face_types,75%,3.0,m1337_00_original.obj,AircraftBuoyant,3.0,0.0
face_types,max,3.0,m1337_00_original.obj,AircraftBuoyant,3.0,0.0
num_faces,min,16.0,D01121_00_original.obj,Door,16.0,0.0
num_faces,25%,32482.25,m265_00_original.obj,Humanoid,32530.0,47.75
num_faces,50%,64948.5,D00335_00_original.obj,Guitar,64993.0,44.5
num_faces,75%,97414.75,m1509_00_original.obj,Car,95017.0,2397.75
num_faces,max,129881.0,m1120_00_original.obj,Biplane,129881.0,0.0
num_vertices,min,16.0,D01121_00_original.obj,Door,16.0,0.0
num_vertices,25%,18372.0,D00238_00_original.obj,PlantIndoors,18348.0,24.0
num_vertices,50%,36728.0,D00727_00_original.obj,Tree,36734.0,6.0
num_vertices,75%,55084.0,m1510_00_original.obj,Car,54710.0,374.0
num_vertices,max,73440.0,D00058_00_original.obj,Skyscraper,73440.0,0.0
rectangularity,min,-0.965127394778165,m977_00_original.obj,PlantWildNonTree,-0.965127394778165,0.0
rectangularity,25%,2.7228829873953875,m1582_00_original.obj,Train,2.7184366691158,0.004446318279587302
rectangularity,50%,6.4108933695689405,D00870_00_original.obj,Skyscraper,6.026771363526788,0.3841220060421522
rectangularity,75%,10.098903751742494,D00006_00_original.obj,Skyscraper,7.79624825181366,2.302655499928834
rectangularity,max,13.786914133916046,D00126_00_original.obj,Skyscraper,13.786914133916046,0.0
surface_area,min,-0.8956724652957079,m702_00_original.obj,Sword,-0.8956724652957079,0.0
surface_area,25%,2.2384305881443423,D00775_00_original.obj,Bus,2.245901402958156,0.007470814813813842
surface_area,50%,5.3725336415843925,D00006_00_original.obj,Skyscraper,5.362373620083279,0.010160021501113725
surface_area,75%,8.506636695024444,D01013_00_original.obj,Bookset,8.62758314154764,0.12094644652319708
surface_area,max,11.640739748464494,D00729_00_original.obj,Skyscraper,11.640739748464494,0.0
