name,surface_area,volume,compactness,rectangularity,diameter,convexity,eccentricity
AircraftBuoyant\m1337_06_fill_holes_and_orientation.obj,2.691754,0.345543,1.444269,0.431199,1.005749,0.955153,2.167113
AircraftBuoyant\m1338_06_fill_holes_and_orientation.obj,3.610903,0.39496,2.668626,0.430271,1.047677,0.915592,2.079496
AircraftBuoyant\m1339_06_fill_holes_and_orientation.obj,0.531578,0.014213,6.57462,0.036458,1.001509,0.081847,8.072031
AircraftBuoyant\m1340_06_fill_holes_and_orientation.obj,0.56121,0.027837,2.016912,0.214441,1.00011,0.577152,12.149361
AircraftBuoyant\m1341_06_fill_holes_and_orientation.obj,0.671292,0.035089,2.172432,0.265785,1.000132,0.632656,28.157568
AircraftBuoyant\m1342_06_fill_holes_and_orientation.obj,1.609111,0.145688,1.735639,0.376356,1.001092,0.900635,13.160024
AircraftBuoyant\m1343_06_fill_holes_and_orientation.obj,2.588614,0.231763,2.85536,0.45992,1.002372,1.037564,3.44528
AircraftBuoyant\m1344_06_fill_holes_and_orientation.obj,1.591517,0.16834,1.257785,0.355382,1.0022,0.914555,12.372747
AircraftBuoyant\m1345_06_fill_holes_and_orientation.obj,2.928121,0.005637,6987.076612,0.015345,1.000505,0.043017,5.217698
AircraftBuoyant\m1346_06_fill_holes_and_orientation.obj,0.740199,0.033516,3.192206,0.335271,1.004714,0.725103,24.220614
AircraftBuoyant\m1347_06_fill_holes_and_orientation.obj,1.023162,0.054535,3.184371,0.432263,1.00061,0.826569,21.704167
AircraftBuoyant\m1348_06_fill_holes_and_orientation.obj,0.737822,0.033351,3.192921,0.336831,1.003917,0.724979,24.022841
AircraftBuoyant\m1349_06_fill_holes_and_orientation.obj,0.694643,0.028903,3.547792,0.233309,1.022561,0.608042,6.234217
AircraftBuoyant\m1350_06_fill_holes_and_orientation.obj,0.881072,0.041772,3.465888,0.159285,1.093539,0.70145,7.225806
AircraftBuoyant\m1351_06_fill_holes_and_orientation.obj,0.834411,0.020131,12.675466,0.440559,1.000039,0.817864,21.685495
AircraftBuoyant\m1352_06_fill_holes_and_orientation.obj,0.915413,0.047273,3.035059,0.380287,1.002282,0.85678,14.863003
Apartment\D00045_06_fill_holes_and_orientation.obj,20.157443,0.117322,5261.345731,0.242213,1.397977,0.407895,3.442043
Apartment\D00086_06_fill_holes_and_orientation.obj,2.622682,0.110356,13.097596,0.411335,1.019265,0.788563,12.841839
Apartment\D00138_06_fill_holes_and_orientation.obj,5.161566,0.03815,835.435257,0.154434,1.254256,0.168646,6.378092
Apartment\D00156_06_fill_holes_and_orientation.obj,15.08558,0.051742,11338.44895,0.094063,1.196763,0.140676,7.742961
Apartment\D00310_06_fill_holes_and_orientation.obj,11.982778,0.018879,42681.83666,0.091852,1.094018,0.126866,10.029059
Apartment\D00348_06_fill_holes_and_orientation.obj,3.326187,0.215139,7.029913,0.606529,1.193881,0.801101,39.198104
Apartment\D00366_06_fill_holes_and_orientation.obj,3.222213,0.193582,7.893681,0.290727,1.066632,0.884516,3.946739
Apartment\D00478_06_fill_holes_and_orientation.obj,7.360258,0.025099,5596.329156,0.073069,1.129982,0.11885,4.924526
Apartment\D00496_06_fill_holes_and_orientation.obj,2.674474,0.178846,5.288183,0.53439,1.199249,0.867626,2.552243
Apartment\D00626_06_fill_holes_and_orientation.obj,4.153894,0.087276,83.200464,0.376573,1.047879,0.670505,6.330354
Apartment\D00639_06_fill_holes_and_orientation.obj,6.468074,0.156284,97.958611,0.399838,1.166147,0.607799,3.452771
Apartment\D00651_06_fill_holes_and_orientation.obj,15.075281,0.051751,11311.02207,0.094158,1.196911,0.14065,7.732632
Apartment\D00681_06_fill_holes_and_orientation.obj,17.549576,0.152788,2047.234757,0.321716,1.178692,0.594583,8.161189
Apartment\D00780_06_fill_holes_and_orientation.obj,3.096662,0.003239,25023.25587,0.020216,1.121307,0.024915,23.351164
Apartment\D00792_06_fill_holes_and_orientation.obj,2.796161,0.216546,4.12225,0.353697,1.076936,0.973174,5.073729
Apartment\D00859_06_fill_holes_and_orientation.obj,2.870125,0.080553,32.216847,0.35615,1.003872,0.84758,17.792136
Apartment\D00860_06_fill_holes_and_orientation.obj,7.37616,0.029229,4153.386312,0.08499,1.130108,0.138359,4.91915
Apartment\D00869_06_fill_holes_and_orientation.obj,5.876448,0.010887,15137.91339,0.03134,1.20355,0.037406,2.807855
Apartment\D00921_06_fill_holes_and_orientation.obj,6.039237,0.092112,229.541978,0.359873,1.060975,0.534323,1.85892
Apartment\D00953_06_fill_holes_and_orientation.obj,6.110802,0.011375,15594.70324,0.028195,1.048293,0.070458,3.24864
Apartment\m463_06_fill_holes_and_orientation.obj,9.612206,0.132438,447.705594,0.276817,1.124748,0.662721,5.28197
Apartment\m464_06_fill_holes_and_orientation.obj,5.676804,0.043164,868.19811,0.441266,1.005705,0.847432,19.850912
Apartment\m465_06_fill_holes_and_orientation.obj,3.952717,0.044124,280.474206,0.655947,1.015868,1.222869,42.122984
AquaticAnimal\m53_06_fill_holes_and_orientation.obj,0.489702,0.007559,18.173204,0.175672,1.005633,0.400216,73.302565
AquaticAnimal\m54_06_fill_holes_and_orientation.obj,0.626537,0.012627,13.638825,0.18403,1.010685,0.580791,41.052751
AquaticAnimal\m55_06_fill_holes_and_orientation.obj,0.549761,0.009271,17.091764,0.151201,1.012103,0.390794,53.676677
AquaticAnimal\m56_06_fill_holes_and_orientation.obj,0.528657,0.009045,15.969021,0.164147,1.018092,0.5493,60.645332
AquaticAnimal\m57_06_fill_holes_and_orientation.obj,0.528833,0.008331,18.841186,0.175813,1.004944,0.534655,84.992792
AquaticAnimal\m58_06_fill_holes_and_orientation.obj,0.933489,0.055049,2.373409,0.198764,1.011363,0.679681,5.048163
AquaticAnimal\m59_06_fill_holes_and_orientation.obj,0.34112,0.007436,6.347773,0.221453,1.003693,0.643157,64.165434
AquaticAnimal\m60_06_fill_holes_and_orientation.obj,0.641634,0.013285,13.233539,0.091753,1.017674,0.311841,40.180795
AquaticAnimal\m61_06_fill_holes_and_orientation.obj,0.536052,0.013138,7.890105,0.160196,1.016539,0.451366,36.071275
AquaticAnimal\m62_06_fill_holes_and_orientation.obj,0.614231,0.012258,13.635843,0.158657,1.001842,0.495333,157.523409
AquaticAnimal\m63_06_fill_holes_and_orientation.obj,1.730199,0.105141,4.142808,0.159058,1.105441,0.577739,2.072356
AquaticAnimal\m64_06_fill_holes_and_orientation.obj,0.608532,0.012937,11.904205,0.146981,1.004851,0.534782,73.192817
AquaticAnimal\m65_06_fill_holes_and_orientation.obj,0.90746,0.012894,39.74488,0.041397,1.105793,0.173336,11.151225
AquaticAnimal\m66_06_fill_holes_and_orientation.obj,1.663101,0.038973,26.77845,0.194514,1.003124,0.552527,18.14731
AquaticAnimal\m67_06_fill_holes_and_orientation.obj,0.518587,0.013762,6.510992,0.151664,1.00108,0.603109,74.060702
AquaticAnimal\m68_06_fill_holes_and_orientation.obj,0.408547,0.006131,16.040834,0.13131,1.007926,0.393117,37.986971
AquaticAnimal\m69_06_fill_holes_and_orientation.obj,0.547906,0.012924,8.707348,0.138418,1.00354,0.474421,51.196782
AquaticAnimal\m70_06_fill_holes_and_orientation.obj,0.492856,0.010175,10.223815,0.089347,1.011532,0.29942,109.234566
AquaticAnimal\m71_06_fill_holes_and_orientation.obj,0.523427,0.016634,4.582655,0.131412,1.010538,0.432968,46.508314
AquaticAnimal\m72_06_fill_holes_and_orientation.obj,0.543241,0.012959,8.440176,0.115428,1.006026,0.421791,167.719754
AquaticAnimal\m73_06_fill_holes_and_orientation.obj,0.774258,0.029652,4.667634,0.110231,1.045593,0.358387,18.658207
AquaticAnimal\m75_06_fill_holes_and_orientation.obj,0.524552,0.011653,9.397497,0.069236,1.020659,0.264326,30.213242
AquaticAnimal\m76_06_fill_holes_and_orientation.obj,0.450215,0.011747,5.847463,0.085225,1.0003,0.313601,52.851246
AquaticAnimal\m77_06_fill_holes_and_orientation.obj,0.659639,0.012479,16.296896,0.066915,1.022388,0.231539,25.925551
AquaticAnimal\m78_06_fill_holes_and_orientation.obj,0.474737,0.011997,6.57281,0.063174,1.028155,0.262593,45.179933
AquaticAnimal\m79_06_fill_holes_and_orientation.obj,0.550675,0.004674,67.577647,0.066048,1.016762,0.277625,56.701044
