name,compactness
AircraftBuoyant\m1345_06_fill_holes_and_orientation.obj,6987.076612
Apartment\D00045_06_fill_holes_and_orientation.obj,5261.345731
Apartment\D00156_06_fill_holes_and_orientation.obj,11338.44895
Apartment\D00310_06_fill_holes_and_orientation.obj,42681.83666
Apartment\D00478_06_fill_holes_and_orientation.obj,5596.329156
Apartment\D00651_06_fill_holes_and_orientation.obj,11311.02207
Apartment\D00681_06_fill_holes_and_orientation.obj,2047.234757
Apartment\D00780_06_fill_holes_and_orientation.obj,25023.25587
Apartment\D00860_06_fill_holes_and_orientation.obj,4153.386312
Apartment\D00869_06_fill_holes_and_orientation.obj,15137.91339
Apartment\D00953_06_fill_holes_and_orientation.obj,15594.70324
Bicycle\D00462_06_fill_holes_and_orientation.obj,3796.850666
Biplane\D00069_06_fill_holes_and_orientation.obj,2561.916963
Biplane\D00178_06_fill_holes_and_orientation.obj,49002.07174
Biplane\D00246_06_fill_holes_and_orientation.obj,1818.064274
Biplane\D00890_06_fill_holes_and_orientation.obj,4416.025025
Biplane\m1118_06_fill_holes_and_orientation.obj,2069.811701
Biplane\m1120_06_fill_holes_and_orientation.obj,3118.658006
Biplane\m1143_06_fill_holes_and_orientation.obj,2636.610179
Bookset\D01013_06_fill_holes_and_orientation.obj,2267.825669
Bookset\D01065_06_fill_holes_and_orientation.obj,2480.173479
Bookset\D01078_06_fill_holes_and_orientation.obj,4511.065004
Bookset\D01096_06_fill_holes_and_orientation.obj,3765.779516
Bookset\D01109_06_fill_holes_and_orientation.obj,21983.69837
Bookset\D01135_06_fill_holes_and_orientation.obj,7718.859876
Bottle\D00176_06_fill_holes_and_orientation.obj,68646.55088
BuildingNonResidential\m384_06_fill_holes_and_orientation.obj,5388.527284
BuildingNonResidential\m387_06_fill_holes_and_orientation.obj,2771.025458
BuildingNonResidential\m401_06_fill_holes_and_orientation.obj,4644.515141
BuildingNonResidential\m405_06_fill_holes_and_orientation.obj,6133.221753
BuildingNonResidential\m406_06_fill_holes_and_orientation.obj,3122.399067
BuildingNonResidential\m412_06_fill_holes_and_orientation.obj,3965.014008
BuildingNonResidential\m477_06_fill_holes_and_orientation.obj,95280.33371
BuildingNonResidential\m478_06_fill_holes_and_orientation.obj,980317.1858
BuildingNonResidential\m479_06_fill_holes_and_orientation.obj,9266.878796
BuildingNonResidential\m481_06_fill_holes_and_orientation.obj,2345741.147
Bus\D00114_06_fill_holes_and_orientation.obj,5064.959776
Bus\D00182_06_fill_holes_and_orientation.obj,1967.820172
Bus\D00411_06_fill_holes_and_orientation.obj,11190.38644
Bus\D00677_06_fill_holes_and_orientation.obj,3037.827794
Bus\D00754_06_fill_holes_and_orientation.obj,3317.671638
Bus\D00769_06_fill_holes_and_orientation.obj,3630.36018
Bus\D00775_06_fill_holes_and_orientation.obj,34872.22743
Car\D00541_06_fill_holes_and_orientation.obj,5129.211382
Car\D00670_06_fill_holes_and_orientation.obj,1710.85232
Car\D00724_06_fill_holes_and_orientation.obj,2263.572966
Car\D00785_06_fill_holes_and_orientation.obj,5082.590565
Car\m1553_06_fill_holes_and_orientation.obj,6256.312431
Car\m1556_06_fill_holes_and_orientation.obj,1991.034868
Cellphone\D00559_06_fill_holes_and_orientation.obj,4354.194493
Cellphone\D00979_06_fill_holes_and_orientation.obj,702755.9133
Chess\m1595_06_fill_holes_and_orientation.obj,3409.696992
City\D01007_06_fill_holes_and_orientation.obj,1719.714472
City\D01039_06_fill_holes_and_orientation.obj,20629.03665
City\D01066_06_fill_holes_and_orientation.obj,49221.77033
City\D01079_06_fill_holes_and_orientation.obj,13391.935
City\D01090_06_fill_holes_and_orientation.obj,10462.90749
City\D01091_06_fill_holes_and_orientation.obj,6241.347477
City\D01092_06_fill_holes_and_orientation.obj,3928.859743
City\D01101_06_fill_holes_and_orientation.obj,49864.84071
City\D01173_06_fill_holes_and_orientation.obj,208731.0239
City\D01181_06_fill_holes_and_orientation.obj,4218.575748
City\D01192_06_fill_holes_and_orientation.obj,2967.595442
City\D01195_06_fill_holes_and_orientation.obj,9668.162551
City\m1660_06_fill_holes_and_orientation.obj,208730.8322
City\m1661_06_fill_holes_and_orientation.obj,24120.4408
City\m1662_06_fill_holes_and_orientation.obj,13392.05479
ClassicPiano\D00254_06_fill_holes_and_orientation.obj,1728.397054
ClassicPiano\D00314_06_fill_holes_and_orientation.obj,2011.624367
ClassicPiano\D00605_06_fill_holes_and_orientation.obj,7439.4715
ClassicPiano\D00789_06_fill_holes_and_orientation.obj,4694.105728
ComputerKeyboard\D00420_06_fill_holes_and_orientation.obj,26856.10659
ComputerKeyboard\D00600_06_fill_holes_and_orientation.obj,31327.91929
ComputerKeyboard\D00673_06_fill_holes_and_orientation.obj,20258.62721
ComputerKeyboard\D00676_06_fill_holes_and_orientation.obj,1834.944512
Door\D01029_06_fill_holes_and_orientation.obj,4226.501872
Door\D01121_06_fill_holes_and_orientation.obj,1868.975723
Door\D01129_06_fill_holes_and_orientation.obj,5921.148961
Door\D01194_06_fill_holes_and_orientation.obj,5062074813.0
