name,diameter
Apartment\D00045_06_fill_holes_and_orientation.obj,1.397977
BuildingNonResidential\m399_06_fill_holes_and_orientation.obj,1.392212
BuildingNonResidential\m405_06_fill_holes_and_orientation.obj,1.410067
BuildingNonResidential\m413_06_fill_holes_and_orientation.obj,1.449228
Chess\m1589_06_fill_holes_and_orientation.obj,1.397377
Chess\m1593_06_fill_holes_and_orientation.obj,1.414054
City\D01001_06_fill_holes_and_orientation.obj,1.503073
Computer\D01071_06_fill_holes_and_orientation.obj,1.474019
Computer\D01098_06_fill_holes_and_orientation.obj,1.40847
Computer\m1764_06_fill_holes_and_orientation.obj,1.40847
Computer\m1766_06_fill_holes_and_orientation.obj,1.485217
Door\m1728_06_fill_holes_and_orientation.obj,1.411393
House\D00286_06_fill_holes_and_orientation.obj,1.402068
RectangleTable\D00954_06_fill_holes_and_orientation.obj,1.40352
RectangleTable\m876_06_fill_holes_and_orientation.obj,1.41421
Shelf\D00242_06_fill_holes_and_orientation.obj,1.414169
Shelf\m862_06_fill_holes_and_orientation.obj,1.443634
Shelf\m866_06_fill_holes_and_orientation.obj,1.40703
