name,eccentricity
Bird\D00323_06_fill_holes_and_orientation.obj,407.091565
Cellphone\D00312_06_fill_holes_and_orientation.obj,595.362142
City\D01039_06_fill_holes_and_orientation.obj,577.136616
City\D01101_06_fill_holes_and_orientation.obj,406.508136
City\D01173_06_fill_holes_and_orientation.obj,676.597439
City\m1660_06_fill_holes_and_orientation.obj,676.59745
City\m1661_06_fill_holes_and_orientation.obj,574.531873
ComputerKeyboard\D00116_06_fill_holes_and_orientation.obj,1005.76734
ComputerKeyboard\D00127_06_fill_holes_and_orientation.obj,2693.733549
ComputerKeyboard\D00197_06_fill_holes_and_orientation.obj,477.104714
ComputerKeyboard\D00278_06_fill_holes_and_orientation.obj,1771.916304
ComputerKeyboard\D00360_06_fill_holes_and_orientation.obj,2182.330371
ComputerKeyboard\D00382_06_fill_holes_and_orientation.obj,705.84832
ComputerKeyboard\D00420_06_fill_holes_and_orientation.obj,428.12921
ComputerKeyboard\D00493_06_fill_holes_and_orientation.obj,2024.094805
ComputerKeyboard\D00525_06_fill_holes_and_orientation.obj,19117.43181
ComputerKeyboard\D00569_06_fill_holes_and_orientation.obj,1168.784874
ComputerKeyboard\D00597_06_fill_holes_and_orientation.obj,1693.551757
ComputerKeyboard\D00600_06_fill_holes_and_orientation.obj,1603.504179
ComputerKeyboard\D00627_06_fill_holes_and_orientation.obj,718.382293
ComputerKeyboard\D00673_06_fill_holes_and_orientation.obj,878.515894
ComputerKeyboard\D00676_06_fill_holes_and_orientation.obj,280.32412
ComputerKeyboard\D00692_06_fill_holes_and_orientation.obj,1271.390842
ComputerKeyboard\D00905_06_fill_holes_and_orientation.obj,1760.188388
ComputerKeyboard\D00990_06_fill_holes_and_orientation.obj,3885.149052
DeskLamp\D00268_06_fill_holes_and_orientation.obj,540.474101
Door\D01058_06_fill_holes_and_orientation.obj,463.015375
Door\D01062_06_fill_holes_and_orientation.obj,409.079856
Door\D01104_06_fill_holes_and_orientation.obj,697.224705
Door\D01121_06_fill_holes_and_orientation.obj,1069.644017
Door\D01144_06_fill_holes_and_orientation.obj,411.891763
Door\D01167_06_fill_holes_and_orientation.obj,414.798729
Door\D01194_06_fill_holes_and_orientation.obj,14391.06281
Door\m1708_06_fill_holes_and_orientation.obj,1069.644017
Door\m1711_06_fill_holes_and_orientation.obj,426.339771
Door\m1714_06_fill_holes_and_orientation.obj,575.348699
Door\m1717_06_fill_holes_and_orientation.obj,496.212431
Door\m1723_06_fill_holes_and_orientation.obj,339.66875
Door\m1724_06_fill_holes_and_orientation.obj,400.244129
Door\m1725_06_fill_holes_and_orientation.obj,374.880973
Guitar\D00023_06_fill_holes_and_orientation.obj,537.238293
Guitar\D00041_06_fill_holes_and_orientation.obj,1068.883072
Guitar\D00097_06_fill_holes_and_orientation.obj,1437.939157
Guitar\D00124_06_fill_holes_and_orientation.obj,1661.655445
Guitar\D00232_06_fill_holes_and_orientation.obj,388.934128
Guitar\D00374_06_fill_holes_and_orientation.obj,312.478624
Guitar\D00461_06_fill_holes_and_orientation.obj,1146.946176
Guitar\D00494_06_fill_holes_and_orientation.obj,387.263866
Guitar\D00549_06_fill_holes_and_orientation.obj,738.391101
Guitar\D00645_06_fill_holes_and_orientation.obj,465.36838
Guitar\D00655_06_fill_holes_and_orientation.obj,4807.463111
Gun\D00239_06_fill_holes_and_orientation.obj,517.337015
Gun\D00477_06_fill_holes_and_orientation.obj,673.244831
Gun\m670_06_fill_holes_and_orientation.obj,443.273561
Gun\m671_06_fill_holes_and_orientation.obj,705.398857
Gun\m672_06_fill_holes_and_orientation.obj,281.768172
Gun\m675_06_fill_holes_and_orientation.obj,1000.911885
Gun\m677_06_fill_holes_and_orientation.obj,282.500641
Gun\m678_06_fill_holes_and_orientation.obj,683.22735
Gun\m679_06_fill_holes_and_orientation.obj,675.049131
Gun\m680_06_fill_holes_and_orientation.obj,937.866428
Gun\m682_06_fill_holes_and_orientation.obj,301.998404
Insect\D00787_06_fill_holes_and_orientation.obj,54327.54154
Jet\m1207_06_fill_holes_and_orientation.obj,407.769644
Jet\m1265_06_fill_holes_and_orientation.obj,600.243287
Jet\m1277_06_fill_holes_and_orientation.obj,324.90049
Jet\m1282_06_fill_holes_and_orientation.obj,281.631092
Knife\D01015_06_fill_holes_and_orientation.obj,2392.182022
Knife\D01032_06_fill_holes_and_orientation.obj,665.064064
Knife\D01054_06_fill_holes_and_orientation.obj,9922.669587
Knife\D01057_06_fill_holes_and_orientation.obj,350.013739
Knife\D01063_06_fill_holes_and_orientation.obj,1073.007288
Knife\D01107_06_fill_holes_and_orientation.obj,313.106138
Knife\D01119_06_fill_holes_and_orientation.obj,439.814747
Knife\D01132_06_fill_holes_and_orientation.obj,421.429697
Knife\D01174_06_fill_holes_and_orientation.obj,865.011198
Knife\D01187_06_fill_holes_and_orientation.obj,2138.639773
Knife\D01189_06_fill_holes_and_orientation.obj,1126.027279
Knife\m722_06_fill_holes_and_orientation.obj,1089.055302
Knife\m726_06_fill_holes_and_orientation.obj,1022.037307
Knife\m727_06_fill_holes_and_orientation.obj,418.217715
Musical_Instrument\m625_06_fill_holes_and_orientation.obj,636.010277
Musical_Instrument\m626_06_fill_holes_and_orientation.obj,1577.058492
Musical_Instrument\m628_06_fill_holes_and_orientation.obj,742.244079
Musical_Instrument\m629_06_fill_holes_and_orientation.obj,1810.431096
Musical_Instrument\m632_06_fill_holes_and_orientation.obj,430.12012
Musical_Instrument\m633_06_fill_holes_and_orientation.obj,325.595679
Musical_Instrument\m634_06_fill_holes_and_orientation.obj,722.897539
Musical_Instrument\m637_06_fill_holes_and_orientation.obj,1146.967466
PlantWildNonTree\m974_06_fill_holes_and_orientation.obj,732.816156
Rocket\D00437_06_fill_holes_and_orientation.obj,324.962509
Rocket\D00485_06_fill_holes_and_orientation.obj,456.680838
Ship\m1451_06_fill_holes_and_orientation.obj,448.816098
Ship\m1469_06_fill_holes_and_orientation.obj,350.012722
Ship\m1470_06_fill_holes_and_orientation.obj,280.88796
Sign\m1676_06_fill_holes_and_orientation.obj,619.856524
Sign\m1678_06_fill_holes_and_orientation.obj,1838.67154
Sign\m1680_06_fill_holes_and_orientation.obj,1684.182336
Sign\m1681_06_fill_holes_and_orientation.obj,6962.725502
Spoon\D00422_06_fill_holes_and_orientation.obj,511.520391
Spoon\D00474_06_fill_holes_and_orientation.obj,539.983411
Spoon\D00562_06_fill_holes_and_orientation.obj,788.632817
Spoon\D00593_06_fill_holes_and_orientation.obj,721.563996
Spoon\D00964_06_fill_holes_and_orientation.obj,291.206426
SubmachineGun\D00060_06_fill_holes_and_orientation.obj,613.707279
SubmachineGun\D00068_06_fill_holes_and_orientation.obj,372.711391
SubmachineGun\D00384_06_fill_holes_and_orientation.obj,408.640992
SubmachineGun\D00459_06_fill_holes_and_orientation.obj,334.348179
SubmachineGun\D00537_06_fill_holes_and_orientation.obj,347.499422
SubmachineGun\D00893_06_fill_holes_and_orientation.obj,787.108259
SubmachineGun\D00960_06_fill_holes_and_orientation.obj,505.540345
SubmachineGun\D00970_06_fill_holes_and_orientation.obj,443.66368
Sword\D00195_06_fill_holes_and_orientation.obj,687.360944
Sword\D00484_06_fill_holes_and_orientation.obj,1218.706968
Sword\D00540_06_fill_holes_and_orientation.obj,1926.48529
Sword\D00635_06_fill_holes_and_orientation.obj,336.062506
Sword\D00712_06_fill_holes_and_orientation.obj,2196.046731
Sword\D00808_06_fill_holes_and_orientation.obj,366.430287
Sword\D00812_06_fill_holes_and_orientation.obj,1084.293499
Sword\D00916_06_fill_holes_and_orientation.obj,917.407998
Sword\m687_06_fill_holes_and_orientation.obj,766.096953
Sword\m691_06_fill_holes_and_orientation.obj,1019.909882
Sword\m692_06_fill_holes_and_orientation.obj,1027.350935
Sword\m697_06_fill_holes_and_orientation.obj,3166.202962
Sword\m700_06_fill_holes_and_orientation.obj,834.175585
Sword\m701_06_fill_holes_and_orientation.obj,5992.81157
Sword\m702_06_fill_holes_and_orientation.obj,2507.380754
Sword\m703_06_fill_holes_and_orientation.obj,1555.147295
Sword\m704_06_fill_holes_and_orientation.obj,829.737814
Sword\m709_06_fill_holes_and_orientation.obj,1412.955373
Sword\m711_06_fill_holes_and_orientation.obj,648.551355
Sword\m712_06_fill_holes_and_orientation.obj,571.62766
Sword\m713_06_fill_holes_and_orientation.obj,1760.325847
Sword\m714_06_fill_holes_and_orientation.obj,3166.202962
Sword\m717_06_fill_holes_and_orientation.obj,1842.089753
Sword\m718_06_fill_holes_and_orientation.obj,5478.665243
Sword\m720_06_fill_holes_and_orientation.obj,309.048997
Tool\m1099_06_fill_holes_and_orientation.obj,433.295375
Tool\m1100_06_fill_holes_and_orientation.obj,293.259889
Tool\m1102_06_fill_holes_and_orientation.obj,1632.805767
Tool\m1103_06_fill_holes_and_orientation.obj,582.478986
Tool\m1104_06_fill_holes_and_orientation.obj,1059.797649
Tool\m1105_06_fill_holes_and_orientation.obj,511.495853
Tool\m1106_06_fill_holes_and_orientation.obj,686.949192
Tool\m1108_06_fill_holes_and_orientation.obj,684.532191
Tool\m1116_06_fill_holes_and_orientation.obj,529.796776
Tool\m1117_06_fill_holes_and_orientation.obj,420.154607
Train\D01137_06_fill_holes_and_orientation.obj,411.17431
Violin\D00108_06_fill_holes_and_orientation.obj,641.897859
Violin\D00376_06_fill_holes_and_orientation.obj,433.63568
Violin\D00598_06_fill_holes_and_orientation.obj,342.52665
Violin\D00620_06_fill_holes_and_orientation.obj,863.258032
Violin\D00675_06_fill_holes_and_orientation.obj,311.073903
Violin\D00701_06_fill_holes_and_orientation.obj,508.538713
