name,surface_area
Apartment\D00045_06_fill_holes_and_orientation.obj,20.157443
Apartment\D00156_06_fill_holes_and_orientation.obj,15.08558
Apartment\D00651_06_fill_holes_and_orientation.obj,15.075281
Apartment\D00681_06_fill_holes_and_orientation.obj,17.549576
Bookset\D01013_06_fill_holes_and_orientation.obj,21.303876
Bookset\D01065_06_fill_holes_and_orientation.obj,21.35482
Bookset\D01096_06_fill_holes_and_orientation.obj,13.732935
Bookset\D01108_06_fill_holes_and_orientation.obj,13.985346
Bookset\D01135_06_fill_holes_and_orientation.obj,13.499808
BuildingNonResidential\m405_06_fill_holes_and_orientation.obj,24.401496
BuildingNonResidential\m413_06_fill_holes_and_orientation.obj,14.675563
House\D00389_06_fill_holes_and_orientation.obj,13.583909
House\m441_06_fill_holes_and_orientation.obj,18.882537
PlantIndoors\m1002_06_fill_holes_and_orientation.obj,18.556708
Skyscraper\D00006_06_fill_holes_and_orientation.obj,14.013572
Skyscraper\D00729_06_fill_holes_and_orientation.obj,28.031416
