name,volume
AircraftBuoyant\m1337_06_fill_holes_and_orientation.obj,0.345543
AircraftBuoyant\m1338_06_fill_holes_and_orientation.obj,0.39496
AircraftBuoyant\m1343_06_fill_holes_and_orientation.obj,0.231763
Bed\D00184_06_fill_holes_and_orientation.obj,0.317294
Bookset\D01108_06_fill_holes_and_orientation.obj,0.290112
Bookset\D01110_06_fill_holes_and_orientation.obj,0.281126
Bookset\D01146_06_fill_holes_and_orientation.obj,0.256879
Bookset\D01183_06_fill_holes_and_orientation.obj,0.282686
BuildingNonResidential\m398_06_fill_holes_and_orientation.obj,0.252521
BuildingNonResidential\m408_06_fill_holes_and_orientation.obj,0.247365
Computer\D01085_06_fill_holes_and_orientation.obj,0.261571
Computer\m1769_06_fill_holes_and_orientation.obj,0.261571
Drum\D00115_06_fill_holes_and_orientation.obj,0.377076
Drum\D00163_06_fill_holes_and_orientation.obj,0.23441
Drum\D00193_06_fill_holes_and_orientation.obj,0.282208
Drum\D00308_06_fill_holes_and_orientation.obj,0.339056
Drum\D00383_06_fill_holes_and_orientation.obj,0.232949
Drum\D00709_06_fill_holes_and_orientation.obj,0.229553
Drum\D00980_06_fill_holes_and_orientation.obj,0.433929
Hat\m1634_06_fill_holes_and_orientation.obj,0.268989
House\m434_06_fill_holes_and_orientation.obj,0.229406
HumanHead\D00013_06_fill_holes_and_orientation.obj,0.242453
HumanHead\D00072_06_fill_holes_and_orientation.obj,0.237092
HumanHead\D00131_06_fill_holes_and_orientation.obj,0.238981
HumanHead\D00313_06_fill_holes_and_orientation.obj,0.315291
HumanHead\D00487_06_fill_holes_and_orientation.obj,0.310037
HumanHead\D00488_06_fill_holes_and_orientation.obj,0.228882
HumanHead\D00566_06_fill_holes_and_orientation.obj,0.243574
HumanHead\D00578_06_fill_holes_and_orientation.obj,0.261537
HumanHead\D00591_06_fill_holes_and_orientation.obj,0.243406
HumanHead\D00610_06_fill_holes_and_orientation.obj,0.243945
HumanHead\D00629_06_fill_holes_and_orientation.obj,0.250397
HumanHead\D00653_06_fill_holes_and_orientation.obj,0.242283
HumanHead\D00690_06_fill_holes_and_orientation.obj,0.29466
HumanHead\D00758_06_fill_holes_and_orientation.obj,0.255864
HumanHead\m340_06_fill_holes_and_orientation.obj,0.229021
HumanHead\m342_06_fill_holes_and_orientation.obj,0.419673
HumanHead\m345_06_fill_holes_and_orientation.obj,0.238021
HumanHead\m349_06_fill_holes_and_orientation.obj,0.482536
HumanHead\m350_06_fill_holes_and_orientation.obj,0.266163
HumanHead\m351_06_fill_holes_and_orientation.obj,0.237023
HumanHead\m352_06_fill_holes_and_orientation.obj,0.364345
HumanHead\m353_06_fill_holes_and_orientation.obj,0.276943
HumanHead\m356_06_fill_holes_and_orientation.obj,0.380311
HumanHead\m357_06_fill_holes_and_orientation.obj,0.248097
HumanHead\m358_06_fill_holes_and_orientation.obj,0.279926
HumanHead\m360_06_fill_holes_and_orientation.obj,0.36573
HumanHead\m362_06_fill_holes_and_orientation.obj,0.314096
HumanHead\m365_06_fill_holes_and_orientation.obj,0.239559
HumanHead\m368_06_fill_holes_and_orientation.obj,0.281841
Monitor\D00336_06_fill_holes_and_orientation.obj,0.353394
Monitor\D00364_06_fill_holes_and_orientation.obj,0.354086
Monitor\D00469_06_fill_holes_and_orientation.obj,0.275747
Monitor\D00659_06_fill_holes_and_orientation.obj,0.386859
Monitor\D00852_06_fill_holes_and_orientation.obj,0.282893
Mug\D00833_06_fill_holes_and_orientation.obj,0.258376
Mug\D00908_06_fill_holes_and_orientation.obj,0.289165
MultiSeat\D00046_06_fill_holes_and_orientation.obj,0.278538
Vase\m527_06_fill_holes_and_orientation.obj,0.270287
Vase\m529_06_fill_holes_and_orientation.obj,0.236927
Vase\m539_06_fill_holes_and_orientation.obj,0.231282
Vase\m543_06_fill_holes_and_orientation.obj,0.84935
Wheel\m737_06_fill_holes_and_orientation.obj,0.306463
Wheel\m740_06_fill_holes_and_orientation.obj,0.324778
Wheel\m745_06_fill_holes_and_orientation.obj,0.247862
