name,surface_area_before,volume_before,compactness_before,rectangularity_before,diameter_before,convexity_before,eccentricity_before,surface_area_after,volume_after,compactness_after,rectangularity_after,diameter_after,convexity_after,eccentricity_after
AircraftBuoyant\m1337_00_original.obj,2.346889,0.316090,1.143939,0.491198,0.988817,347.415507,2.261384,2.601888,0.305188,1.672161,0.544568,0.988817,335.432698,2.311319
AircraftBuoyant\m1337_01_remeshed.obj,2.346889,0.316090,1.143939,0.491198,0.988817,12.934492,2.165975,2.601888,0.305188,1.672161,0.544568,0.988817,40.926377,2.167113
AircraftBuoyant\m1337_02_translated.obj,2.346889,0.290323,1.356010,0.491198,0.988817,294.471891,2.165975,2.601888,0.305188,1.672161,0.544568,0.988817,309.549479,2.167113
AircraftBuoyant\m1337_03_aligned.obj,2.346890,0.290323,1.356010,0.468404,0.988817,17.624136,2.165975,2.601888,0.305188,1.672161,0.519298,0.988817,18.526529,2.167113
AircraftBuoyant\m1337_04_flipped.obj,2.346890,0.290323,1.356010,0.468404,0.988817,13.101412,2.165975,2.601888,0.305188,1.672161,0.519298,0.988817,13.772232,2.167113
AircraftBuoyant\m1337_05_scaled.obj,2.427948,0.305493,1.356010,0.468404,1.005749,114.353405,2.165975,2.691754,0.321135,1.672161,0.519298,1.005749,120.208543,2.167113
AircraftBuoyant\m1337_unified.obj,2.427948,0.305493,1.356010,0.468404,1.005749,114.353405,2.165975,2.691754,0.321135,1.672161,0.519298,1.005749,120.208543,2.167113
AircraftBuoyant\m1340_00_original.obj,0.468418,0.035941,0.703502,0.304745,0.950000,25.564380,26.827077,0.506583,0.023860,2.019169,0.329574,0.950000,16.970994,26.949055
AircraftBuoyant\m1340_01_remeshed.obj,0.468215,0.035944,0.702495,0.304613,0.950000,11.219641,12.139626,0.506380,0.023857,2.017169,0.329443,0.950000,7.446911,12.149349
AircraftBuoyant\m1340_02_translated.obj,0.468215,0.010046,8.992915,0.304613,0.950000,2.030365,12.139633,0.506380,0.023857,2.017171,0.329443,0.950000,4.821696,12.149356
AircraftBuoyant\m1340_03_aligned.obj,0.468215,0.010046,8.992973,0.305101,0.950000,3.470410,12.139636,0.506380,0.023857,2.017172,0.329970,0.950000,8.241530,12.149359
