feature,pair,n,before_pair_median,after_pair_median,delta_median,delta_mean
surface_area,original->remeshed,260,1.77785,1.844316,0.0,1262.053519115385
volume,original->remeshed,260,0.0293485,0.026444,0.0,-1866.8365407884608
compactness,original->remeshed,260,55.60286,75.151732,9.999999995846665e-07,2505.3594393999997
rectangularity,original->remeshed,260,0.5594135,0.563305,0.0,0.06486419615384616
diameter,original->remeshed,260,1.113617,1.113617,0.0,-0.00024695000000001714
convexity,original->remeshed,260,1.8497195,1.828347,-0.0002195000000000391,1.0780041115384624
eccentricity,original->remeshed,260,16.1417185,17.1053255,0.9536670000000038,12.024354569230768
surface_area,remeshed->translated,260,1.844316,1.8443165,0.0,-8.588461875550704e-06
volume,remeshed->translated,260,0.026444,0.0266995,0.0,160.16085353076903
compactness,remeshed->translated,260,75.151732,66.84932900000001,0.0,-20456.28404554616
rectangularity,remeshed->translated,260,0.563305,0.563305,0.0,1.6012832085939759e-18
diameter,remeshed->translated,260,1.113617,1.113617,0.0,-1.9230769206555712e-08
convexity,remeshed->translated,260,1.828347,3.1044039999999997,0.336827,-18334515756727.105
eccentricity,remeshed->translated,260,17.1053255,17.105320499999998,0.0,-7.376153846286444e-05
surface_area,translated->aligned,272,1.880571,1.8805725,0.0,8.613970804850053e-06
volume,translated->aligned,272,0.026444,0.026444,0.0,0.07228479044054509
compactness,translated->aligned,272,73.16476850000001,73.1631285,0.0,-45.08280663970591
rectangularity,translated->aligned,272,0.5682564999999999,0.5696209999999999,-0.003144000000000001,-0.01346345220588235
diameter,translated->aligned,272,1.1165319999999999,1.1165325,0.0,8.823529410508202e-08
convexity,translated->aligned,272,3.0612105,2.970806,-0.03016300000000003,1.390495165441177
eccentricity,translated->aligned,272,17.609229499999998,17.60923,0.0,-0.0012404926470581325
surface_area,aligned->flipped,272,1.8805725,1.8805725,0.0,0.0
volume,aligned->flipped,272,0.026444,0.026444,0.0,0.0
compactness,aligned->flipped,272,73.1631285,73.1631285,0.0,0.0
rectangularity,aligned->flipped,272,0.5696209999999999,0.5696209999999999,0.0,0.0
diameter,aligned->flipped,272,1.1165325,1.1165325,0.0,0.0
convexity,aligned->flipped,272,2.970806,3.0172235,0.0,11683760041042.89
eccentricity,aligned->flipped,272,17.60923,17.60923,0.0,0.0
surface_area,flipped->scaled,272,1.8805725,1.2639624999999999,-0.025070999999999982,-4223.867456613972
volume,flipped->scaled,272,0.026444,0.0147415,-0.000183,-15304.662160422795
compactness,flipped->scaled,272,73.1631285,73.16352,0.0,0.8262322904411298
rectangularity,flipped->scaled,272,0.5696209999999999,0.5696209999999999,0.0,2.9411764704279086e-08
diameter,flipped->scaled,272,1.1165325,1.0218115,-0.016151999999999944,-5.183876029411765
convexity,flipped->scaled,272,3.0172235,3.0018995000000004,0.0,-11683760041045.514
eccentricity,flipped->scaled,272,17.60923,17.6092315,0.0,0.0006024264705866945
