name,verts_before,faces_before,verts_after,faces_after,source,verts_delta,faces_delta
AircraftBuoyant\m1337_unified.obj,8727,16972,8730,17452,prepared_file,3,480
AircraftBuoyant\m1340_unified.obj,9252,18145,9258,18500,prepared_file,6,355
Apartment\D00310_unified.obj,8629,13797,8943,17615,prepared_file,314,3818
Apartment\D00478_unified.obj,8749,13230,9108,15487,prepared_file,359,2257
Apartment\D00496_unified.obj,8380,15500,8462,16497,prepared_file,82,997
AquaticAnimal\m56_unified.obj,8835,16651,8875,17710,prepared_file,40,1059
AquaticAnimal\m74_unified.obj,2548,4992,2557,5104,prepared_file,9,112
AquaticAnimal\m76_unified.obj,9668,19334,9668,19334,prepared_file,0,0
Bed\D00121_unified.obj,9676,19196,9676,19196,prepared_file,0,0
Bed\D00839_unified.obj,8943,17823,8950,17844,prepared_file,7,21
Bed\m948_unified.obj,9947,19738,9947,19738,prepared_file,0,0
Bicycle\D00033_unified.obj,8554,16124,8607,17386,prepared_file,53,1262
Bicycle\D00750_unified.obj,8711,17096,8721,17244,prepared_file,10,148
Bicycle\D00931_unified.obj,9169,17045,9176,17104,prepared_file,7,59
Biplane\D00132_unified.obj,9459,17371,9477,18920,prepared_file,18,1549
Biplane\D00276_unified.obj,7484,14656,7498,14928,prepared_file,14,272
Biplane\D00616_unified.obj,9406,19500,9552,21193,prepared_file,146,1693
Biplane\D00632_unified.obj,8634,16384,8652,17264,prepared_file,18,880
Biplane\m1131_unified.obj,9781,18784,9793,19558,prepared_file,12,774
Bird\D00113_unified.obj,8674,17308,8674,17308,prepared_file,0,0
Bird\D00625_unified.obj,9987,17447,10057,19822,prepared_file,70,2375
Bird\m43_unified.obj,7076,13824,7078,14144,prepared_file,2,320
Bird\m47_unified.obj,8173,16142,8180,16336,prepared_file,7,194
Bird\m50_unified.obj,8904,17804,8904,17804,prepared_file,0,0
Bookset\D01135_unified.obj,9926,19627,9952,20148,prepared_file,26,521
Bookset\D01184_unified.obj,8056,15932,8062,16134,prepared_file,6,202
Bottle\D00311_unified.obj,9039,18070,9039,18070,prepared_file,0,0
Bottle\D00347_unified.obj,8624,17184,8627,17244,prepared_file,3,60
