name,A3_hist,A3_bins,D1_hist,D1_bins,D2_hist,D2_bins,D3_hist,D3_bins,D4_hist,D4_bins
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1337_unified_prepared.obj,0.024447;0.058707;0.086345;0.098629;0.099949;0.103820;0.101069;0.096108;0.087525;0.072571;0.056296;0.040362;0.029098;0.018875;0.011893;0.007482;0.004041;0.001881;0.000740;0.000160,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.217984;0.194044;0.228866;0.307904;0.032761;0.018442;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.005220;0.014310;0.023070;0.030980;0.037780;0.048250;0.055770;0.058250;0.063220;0.065610;0.067580;0.073270;0.081530;0.086360;0.096210;0.099210;0.059390;0.023890;0.010100;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.032480;0.052900;0.061910;0.061780;0.066060;0.065480;0.066100;0.065720;0.064250;0.063440;0.062390;0.057150;0.053570;0.048610;0.042800;0.037490;0.031040;0.024330;0.017720;0.024780,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.143810;0.106130;0.089220;0.076790;0.065520;0.059090;0.052620;0.046560;0.042450;0.036970;0.033920;0.030130;0.025710;0.024080;0.022210;0.020010;0.017220;0.015380;0.013250;0.078930,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1338_unified_prepared.obj,0.022375;0.058184;0.083710;0.096653;0.101684;0.104835;0.102695;0.098354;0.089822;0.074938;0.056574;0.040230;0.027497;0.018254;0.011233;0.006422;0.003741;0.001950;0.000750;0.000100,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.039137;0.195116;0.303628;0.348585;0.058079;0.035600;0.019854;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.004300;0.011650;0.019940;0.027350;0.034300;0.044710;0.049150;0.052640;0.054460;0.060060;0.063230;0.068450;0.074670;0.080440;0.088310;0.097930;0.089840;0.047180;0.024710;0.006680,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.026780;0.042680;0.050960;0.053540;0.056450;0.058520;0.058700;0.059640;0.059980;0.060360;0.061430;0.058260;0.056090;0.050840;0.048080;0.043850;0.038690;0.033280;0.026070;0.055800,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.119330;0.091410;0.080160;0.068780;0.062930;0.056800;0.051000;0.045400;0.041320;0.038880;0.035930;0.031230;0.028210;0.027510;0.024970;0.022560;0.020850;0.018500;0.017210;0.117020,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1339_unified_prepared.obj,0.063083;0.109752;0.087708;0.087688;0.079186;0.075125;0.072464;0.069724;0.065093;0.060772;0.054301;0.044339;0.035157;0.028186;0.021984;0.017654;0.013173;0.008632;0.004801;0.001180,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.001818;0.025356;0.062936;0.128599;0.048187;0.076472;0.097485;0.103546;0.131225;0.170926;0.151328;0.002121;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.018190;0.049350;0.081500;0.123590;0.139950;0.080830;0.054310;0.044390;0.038980;0.036340;0.037730;0.043520;0.044790;0.034580;0.041260;0.052280;0.042590;0.031620;0.004200;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.208250;0.207030;0.122810;0.093540;0.075270;0.071480;0.071840;0.053370;0.030430;0.022710;0.015980;0.011160;0.006930;0.004910;0.002290;0.001420;0.000530;0.000050;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.542710;0.183270;0.102900;0.062840;0.036660;0.024410;0.016330;0.011080;0.007240;0.004770;0.002880;0.001760;0.001140;0.000710;0.000530;0.000250;0.000210;0.000160;0.000080;0.000070,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1340_unified_prepared.obj,0.073181;0.070281;0.073291;0.078792;0.087083;0.087353;0.084813;0.089563;0.086313;0.073881;0.056178;0.041666;0.028744;0.020023;0.014512;0.013872;0.010732;0.006761;0.002490;0.000470,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.003672;0.005725;0.009613;0.004105;0.011882;0.004969;0.009181;0.005617;0.000000;0.000000;0.000216;0.240117;0.352452;0.198639;0.006805;0.005077;0.141931;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.141270;0.235120;0.375580;0.140640;0.005700;0.000740;0.004030;0.008150;0.006620;0.004970;0.004660;0.007250;0.012980;0.013480;0.011180;0.016320;0.006370;0.001950;0.002990;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.875650;0.044060;0.042490;0.028730;0.006200;0.000820;0.000730;0.000540;0.000420;0.000280;0.000040;0.000040;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.989380;0.009320;0.001050;0.000200;0.000030;0.000000;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1341_unified_prepared.obj,0.085176;0.085986;0.083335;0.085656;0.081344;0.079404;0.076003;0.068501;0.065200;0.059308;0.049905;0.043323;0.036111;0.030109;0.023447;0.019406;0.014064;0.008523;0.004321;0.000880,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.028014;0.017873;0.019521;0.003930;0.007479;0.003042;0.002789;0.005958;0.001648;0.004437;0.000000;0.000000;0.012042;0.084928;0.114210;0.157054;0.136899;0.351629;0.048549;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.150330;0.305920;0.293330;0.079410;0.002770;0.003930;0.006650;0.009420;0.014360;0.026950;0.030810;0.038720;0.019230;0.002700;0.002400;0.003480;0.003350;0.003600;0.002640;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.820000;0.113040;0.055380;0.008160;0.002640;0.000390;0.000320;0.000010;0.000020;0.000020;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.997540;0.002300;0.000140;0.000010;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1342_unified_prepared.obj,0.102698;0.107999;0.104698;0.083523;0.068589;0.061967;0.055925;0.053314;0.054465;0.049903;0.045692;0.043602;0.038590;0.031989;0.029478;0.022866;0.018795;0.014474;0.008892;0.002541,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002340;0.011452;0.010959;0.012437;0.020441;0.004433;0.000862;0.694619;0.241842;0.000616;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.572320;0.299770;0.031080;0.007460;0.001230;0.006670;0.005980;0.000400;0.000690;0.001360;0.008080;0.002880;0.002060;0.010970;0.011500;0.012960;0.010360;0.012360;0.001870;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.933410;0.039170;0.017660;0.004370;0.000650;0.000460;0.000440;0.000510;0.000650;0.000330;0.000320;0.000400;0.000350;0.000370;0.000410;0.000260;0.000230;0.000010;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.996380;0.002310;0.000690;0.000300;0.000190;0.000010;0.000010;0.000030;0.000030;0.000000;0.000010;0.000020;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1343_unified_prepared.obj,0.039637;0.079904;0.090655;0.100327;0.097817;0.094136;0.087515;0.076013;0.066751;0.058490;0.050459;0.043727;0.033326;0.026004;0.019493;0.014382;0.010072;0.006741;0.003701;0.000850,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.016527;0.171439;0.172020;0.147230;0.077747;0.137803;0.142458;0.041434;0.048068;0.045275;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.007750;0.024620;0.045970;0.061930;0.069940;0.072520;0.075450;0.076920;0.078100;0.080650;0.081300;0.085040;0.088970;0.051920;0.027720;0.019950;0.023270;0.016040;0.011940;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.089880;0.123860;0.116470;0.107100;0.093480;0.084370;0.076090;0.067090;0.057670;0.050130;0.042850;0.034190;0.021040;0.012560;0.009350;0.005980;0.004410;0.002190;0.001020;0.000270,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.329080;0.171600;0.117740;0.086910;0.064560;0.050330;0.039060;0.031940;0.024310;0.020120;0.014910;0.011890;0.009510;0.007910;0.005670;0.004130;0.002810;0.002220;0.001450;0.003850,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1344_unified_prepared.obj,0.098180;0.048610;0.072064;0.084977;0.098660;0.095229;0.084147;0.074165;0.061452;0.069614;0.062392;0.037257;0.027566;0.021544;0.018764;0.014553;0.012092;0.009672;0.007131;0.001930,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.007706;0.009859;0.038078;0.000113;0.000000;0.003513;0.004986;0.425431;0.267679;0.069470;0.173164;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.298800;0.488860;0.104390;0.000790;0.000340;0.000450;0.000530;0.000700;0.000540;0.000580;0.004010;0.007170;0.008410;0.010500;0.011300;0.013980;0.023380;0.016660;0.008610;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.889920;0.070050;0.030260;0.001680;0.000350;0.000400;0.000410;0.000480;0.000480;0.000630;0.000690;0.000550;0.000650;0.000650;0.000860;0.000570;0.000590;0.000450;0.000210;0.000120,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.992570;0.003940;0.002020;0.000850;0.000190;0.000080;0.000040;0.000040;0.000010;0.000030;0.000030;0.000030;0.000020;0.000030;0.000000;0.000020;0.000020;0.000020;0.000010;0.000050,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1345_unified_prepared.obj,0.077265;0.077675;0.084676;0.095638;0.089967;0.074384;0.075224;0.077315;0.069693;0.059771;0.049039;0.039548;0.030846;0.026225;0.021444;0.017383;0.013833;0.010962;0.006931;0.002180,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.050537;0.242456;0.200289;0.220752;0.010438;0.018396;0.000000;0.028938;0.000000;0.003411;0.000000;0.050847;0.071414;0.102522,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.019590;0.048310;0.028300;0.040510;0.051050;0.057530;0.066700;0.082940;0.087830;0.100970;0.105020;0.051490;0.040110;0.040660;0.041280;0.039880;0.038460;0.038340;0.021030;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.106120;0.131760;0.126230;0.106920;0.092450;0.084660;0.074890;0.061190;0.042570;0.032240;0.027590;0.023880;0.020690;0.018820;0.016380;0.013890;0.010840;0.006590;0.002110;0.000180,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.379010;0.170180;0.111960;0.080210;0.059430;0.043760;0.033140;0.025660;0.020330;0.015560;0.012450;0.009730;0.008750;0.006520;0.005720;0.004740;0.003580;0.002990;0.002170;0.004110,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\AircraftBuoyant\m1346_unified_prepared.obj,0.092225;0.144739;0.123483;0.084953;0.063247;0.052204;0.043672;0.039781;0.036480;0.036500;0.035740;0.035109;0.035690;0.038921;0.039081;0.038060;0.033479;0.019015;0.006582;0.001040,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.125684;0.125684;0.122719;0.051665;0.059535;0.062956;0.089644;0.091469;0.107094;0.083828;0.032048;0.042883;0.004790;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.026570;0.070660;0.089650;0.092880;0.090400;0.079360;0.078470;0.085320;0.080950;0.066050;0.052830;0.036940;0.029150;0.027940;0.026740;0.025880;0.022060;0.014710;0.003440;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.254170;0.239300;0.189490;0.140060;0.099140;0.057140;0.016240;0.003930;0.000390;0.000130;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.754200;0.182560;0.052960;0.009050;0.001100;0.000120;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
