name,D1_hist,D1_bins
Datasets\Histogram_testing\Bottle\D00020_unified_prepared.obj,0.000000;0.000000;0.000000;0.002193;0.008144;0.017331;0.083942;0.167467;0.067237;0.049593;0.053665;0.074128;0.022030;0.028294;0.167154;0.166632;0.092190;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00123_unified_prepared.obj,0.000000;0.000000;0.000000;0.004558;0.016452;0.025567;0.026345;0.034460;0.044353;0.166185;0.030903;0.004335;0.004002;0.015562;0.212650;0.012672;0.019564;0.277123;0.105269;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00139_unified_prepared.obj,0.000206;0.000308;0.010792;0.059410;0.058588;0.041320;0.022510;0.029294;0.059410;0.142152;0.134238;0.043581;0.013157;0.053757;0.061877;0.102785;0.140611;0.026005;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00166_unified_prepared.obj,0.000000;0.000000;0.000000;0.001571;0.007294;0.022778;0.061490;0.119165;0.128815;0.086961;0.082024;0.155857;0.147329;0.071364;0.083034;0.017729;0.014587;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00176_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.102270;0.074250;0.062202;0.123424;0.064864;0.062763;0.047072;0.078734;0.062763;0.109835;0.047072;0.047072;0.117680;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00208_unified_prepared.obj,0.000000;0.000000;0.000000;0.014278;0.034734;0.034185;0.064113;0.078803;0.035146;0.021966;0.065074;0.128226;0.064113;0.047639;0.399231;0.000000;0.012493;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00281_unified_prepared.obj,0.000000;0.000000;0.001410;0.044905;0.064136;0.179219;0.148308;0.078433;0.030910;0.054772;0.042288;0.082561;0.026983;0.005638;0.034535;0.100886;0.105014;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00311_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.023011;0.021131;0.030313;0.033743;0.015710;0.026441;0.122580;0.176236;0.268614;0.022126;0.011063;0.249032;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00347_unified_prepared.obj,0.000000;0.000000;0.000000;0.043816;0.052857;0.029906;0.048800;0.079981;0.232526;0.148487;0.259186;0.019821;0.011823;0.009273;0.008694;0.052394;0.000000;0.002434;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00350_unified_prepared.obj,0.000000;0.000000;0.000000;0.027837;0.041221;0.029711;0.038544;0.022484;0.023287;0.028105;0.029845;0.114293;0.137179;0.157521;0.148421;0.201552;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00390_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.021302;0.038082;0.088064;0.142687;0.188742;0.232536;0.071046;0.033202;0.015709;0.024634;0.086636;0.057360;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00451_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.003911;0.026945;0.036071;0.063559;0.276076;0.121686;0.081052;0.067145;0.029661;0.031291;0.031291;0.035202;0.116797;0.077249;0.002064;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00679_unified_prepared.obj,0.000000;0.000000;0.000000;0.003787;0.126474;0.025966;0.012983;0.000000;0.012983;0.071838;0.222439;0.214865;0.079411;0.018609;0.098020;0.089257;0.023369;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
