name,min_A3,max_A3,min_D1,max_D1,min_D2,max_D2,min_D3,max_D3,min_D4,max_D4
AircraftBuoyant\m1337_unified_prepared.obj,0.000000,3.092073,0.369033,0.546543,0.000000,1.004111,0.000000,0.322897,0.000000,0.054186
AircraftBuoyant\m1338_unified_prepared.obj,0.000000,3.127242,0.376784,0.581510,0.000000,1.046554,0.000000,0.351090,0.000000,0.060582
AircraftBuoyant\m1339_unified_prepared.obj,0.000000,3.132589,0.137111,0.507500,0.000000,1.000739,0.000000,0.219605,0.000000,0.026528
AircraftBuoyant\m1340_unified_prepared.obj,0.000000,3.118315,0.099738,0.672904,0.000000,0.999547,0.000000,0.142359,0.000000,0.005598
AircraftBuoyant\m1341_unified_prepared.obj,0.000000,3.128594,0.023238,0.649986,0.000000,0.995307,0.000000,0.123816,0.000000,0.004839
AircraftBuoyant\m1342_unified_prepared.obj,0.000000,3.136454,0.272183,0.572484,0.000000,0.979603,0.000000,0.218833,0.000000,0.023109
AircraftBuoyant\m1343_unified_prepared.obj,0.000000,3.132394,0.248379,0.542010,0.000000,1.002134,0.000000,0.253591,0.000000,0.033712
AircraftBuoyant\m1344_unified_prepared.obj,0.000000,3.127025,0.294881,0.645711,0.000000,1.002000,0.000000,0.268556,0.000000,0.031323
AircraftBuoyant\m1345_unified_prepared.obj,0.000000,3.138272,0.213603,0.692541,0.000000,0.998687,0.000000,0.249460,0.000000,0.029727
AircraftBuoyant\m1346_unified_prepared.obj,0.000000,3.132766,0.122722,0.539768,0.000000,0.995181,0.000000,0.130693,0.000000,0.007054
AircraftBuoyant\m1347_unified_prepared.obj,0.000000,3.133466,0.143955,0.510916,0.000000,0.995257,0.000000,0.155855,0.000000,0.008014
AircraftBuoyant\m1348_unified_prepared.obj,0.000000,3.132102,0.122851,0.542684,0.000000,0.990954,0.000000,0.131674,0.000000,0.008099
AircraftBuoyant\m1349_unified_prepared.obj,0.000000,3.141537,0.111750,0.528565,0.000000,1.021551,0.000000,0.165511,0.000000,0.011770
AircraftBuoyant\m1350_unified_prepared.obj,0.000000,3.137137,0.132414,0.572481,0.000000,1.070651,0.000000,0.140266,0.000000,0.008691
AircraftBuoyant\m1351_unified_prepared.obj,0.000000,3.140132,0.089532,0.628875,0.000000,0.998703,0.000000,0.087607,0.000000,0.003770
AircraftBuoyant\m1352_unified_prepared.obj,0.000000,3.128674,0.134341,0.528757,0.000000,0.971339,0.000000,0.128844,0.000000,0.007941
Apartment\D00045_unified_prepared.obj,0.000000,3.141567,0.047286,0.741144,0.000000,1.162194,0.000000,0.304810,0.000000,0.031686
Apartment\D00086_unified_prepared.obj,0.000000,3.140493,0.171850,0.597315,0.000000,0.992533,0.000000,0.251109,0.000000,0.024453
Apartment\D00138_unified_prepared.obj,0.000000,3.136554,0.106874,0.648124,0.000000,1.221133,0.000000,0.289453,0.000000,0.025190
Apartment\D00156_unified_prepared.obj,0.000000,3.134764,0.155932,0.610396,0.000000,1.116486,0.000000,0.366550,0.000000,0.041120
Apartment\D00310_unified_prepared.obj,0.000000,3.139684,0.068771,0.555979,0.000000,1.055599,0.000000,0.207616,0.000000,0.019647
Apartment\D00348_unified_prepared.obj,0.000000,3.141590,0.160515,0.635586,0.000000,1.118071,0.000000,0.321344,0.000000,0.035625
Apartment\D00366_unified_prepared.obj,0.000000,3.141548,0.140426,0.574726,0.000000,0.975424,0.000000,0.272188,0.000000,0.032614
Apartment\D00478_unified_prepared.obj,0.000000,3.136652,0.108071,0.607724,0.000000,1.065482,0.000000,0.272096,0.000000,0.029195
Apartment\D00496_unified_prepared.obj,0.000000,3.139701,0.130772,0.653079,0.000000,1.121286,0.000000,0.286753,0.000000,0.026969
Apartment\D00626_unified_prepared.obj,0.000000,3.134008,0.058960,0.560826,0.000000,1.026167,0.000000,0.220156,0.000000,0.028071
Apartment\D00639_unified_prepared.obj,0.000000,3.137247,0.046798,0.640951,0.000000,1.080453,0.000000,0.305526,0.000000,0.040094
Apartment\D00651_unified_prepared.obj,0.000000,3.140412,0.097988,0.610291,0.000000,1.132459,0.000000,0.336976,0.000000,0.053879
Apartment\D00681_unified_prepared.obj,0.000000,3.134119,0.078759,0.603231,0.000000,1.158702,0.000000,0.311479,0.000000,0.039403
Apartment\D00780_unified_prepared.obj,0.000000,3.140112,0.062292,0.585932,0.000000,1.120256,0.000000,0.267808,0.000000,0.028076
Apartment\D00792_unified_prepared.obj,0.000000,3.141173,0.064153,0.559583,0.000000,1.016460,0.000000,0.260577,0.000000,0.029372
Apartment\D00859_unified_prepared.obj,0.000000,3.140694,0.065541,0.545099,0.000000,0.979924,0.000000,0.235513,0.000000,0.015724
Apartment\D00860_unified_prepared.obj,0.000000,3.135239,0.107877,0.607944,0.000000,1.083595,0.000000,0.257529,0.000000,0.031729
Apartment\D00869_unified_prepared.obj,0.000000,3.130028,0.218313,0.634805,0.000000,1.202451,0.000000,0.357116,0.000000,0.055362
Apartment\D00921_unified_prepared.obj,0.000000,3.140819,0.062750,0.600932,0.000000,1.008366,0.000000,0.223762,0.000000,0.022345
Apartment\D00953_unified_prepared.obj,0.000000,3.134535,0.126316,0.587695,0.000000,0.886873,0.000000,0.207797,0.000000,0.021109
Apartment\m463_unified_prepared.obj,0.000000,3.132339,0.105297,0.742228,0.000000,1.098575,0.000000,0.397450,0.000000,0.045077
Apartment\m464_unified_prepared.obj,0.000000,3.137970,0.073429,0.658827,0.000000,1.002876,0.000000,0.146345,0.000000,0.009975
Apartment\m465_unified_prepared.obj,0.000000,3.141582,0.021220,0.530069,0.000000,1.012087,0.000000,0.105332,0.000000,0.007086
AquaticAnimal\m53_unified_prepared.obj,0.000000,3.139847,0.039481,0.586411,0.000000,1.001317,0.000000,0.108254,0.000000,0.003268
AquaticAnimal\m54_unified_prepared.obj,0.000000,3.139021,0.040504,0.588824,0.000000,1.002218,0.000000,0.115465,0.000000,0.004814
AquaticAnimal\m55_unified_prepared.obj,0.000000,3.131697,0.042170,0.578890,0.000000,1.002667,0.000000,0.119008,0.000000,0.003883
AquaticAnimal\m56_unified_prepared.obj,0.000000,3.135880,0.049532,0.590617,0.000000,1.013625,0.000000,0.115961,0.000000,0.002828
AquaticAnimal\m57_unified_prepared.obj,0.000000,3.139897,0.043124,0.587982,0.000000,1.003877,0.000000,0.115688,0.000000,0.002883
AquaticAnimal\m58_unified_prepared.obj,0.000000,3.126858,0.153051,0.577173,0.000000,1.003736,0.000000,0.193977,0.000000,0.019317
AquaticAnimal\m59_unified_prepared.obj,0.000000,3.141553,0.055284,0.525999,0.000000,0.986437,0.000000,0.060086,0.000000,0.002000
AquaticAnimal\m60_unified_prepared.obj,0.000000,3.122868,0.053711,0.555257,0.000000,0.996711,0.000000,0.122611,0.000000,0.005710
AquaticAnimal\m61_unified_prepared.obj,0.000000,3.140557,0.054672,0.617268,0.000000,1.000390,0.000000,0.132407,0.000000,0.004214
AquaticAnimal\m62_unified_prepared.obj,0.000000,3.137870,0.051902,0.596319,0.000000,0.992275,0.000000,0.226030,0.000000,0.005566
AquaticAnimal\m63_unified_prepared.obj,0.000000,3.135435,0.226438,0.676649,0.000000,1.081116,0.000000,0.300445,0.000000,0.034327
AquaticAnimal\m64_unified_prepared.obj,0.000000,3.135722,0.066141,0.574345,0.000000,0.990677,0.000000,0.154254,0.000000,0.005061
AquaticAnimal\m65_unified_prepared.obj,0.000000,3.131168,0.033970,0.691223,0.000000,1.092883,0.000000,0.238700,0.000000,0.009882
AquaticAnimal\m66_unified_prepared.obj,0.000000,3.134418,0.047228,0.611154,0.000000,0.981118,0.000000,0.145366,0.000000,0.009915
