name,surface_area,volume,compactness,rectangularity,diameter,convexity,eccentricity
AircraftBuoyant\m1337_unified_prepared.obj,2.691754,0.345543,1.444269,0.519298,1.005749,0.955153,2.167113
AircraftBuoyant\m1338_unified_prepared.obj,3.610903,0.394960,2.668626,0.637042,1.047677,0.915592,2.079496
AircraftBuoyant\m1339_unified_prepared.obj,0.531578,0.014213,6.574620,0.162171,1.001509,0.081847,8.072031
AircraftBuoyant\m1340_unified_prepared.obj,0.561210,0.027837,2.016912,0.329970,1.000110,0.577152,12.149361
AircraftBuoyant\m1341_unified_prepared.obj,0.671292,0.035089,2.172432,0.390873,1.000132,0.632656,28.157568
AircraftBuoyant\m1342_unified_prepared.obj,1.609111,0.145688,1.735639,0.493147,1.001092,0.900635,13.160024
AircraftBuoyant\m1343_unified_prepared.obj,2.588614,0.231763,2.855360,0.672829,1.002372,1.037564,3.445280
AircraftBuoyant\m1344_unified_prepared.obj,1.591517,0.168340,1.257785,0.430096,1.002200,0.914555,12.372747
AircraftBuoyant\m1345_unified_prepared.obj,2.928121,0.005637,6987.076612,0.926934,1.000505,0.043017,5.217698
AircraftBuoyant\m1346_unified_prepared.obj,0.740199,0.033516,3.192206,0.504686,1.004714,0.725103,24.220614
AircraftBuoyant\m1347_unified_prepared.obj,1.023162,0.054535,3.184371,0.604105,1.000610,0.826569,21.704167
AircraftBuoyant\m1348_unified_prepared.obj,0.737822,0.033351,3.192921,0.505875,1.003917,0.724979,24.022841
AircraftBuoyant\m1349_unified_prepared.obj,0.694643,0.028903,3.547792,0.413106,1.022561,0.608042,6.234217
AircraftBuoyant\m1350_unified_prepared.obj,0.881072,0.041772,3.465888,0.329360,1.093539,0.701450,7.225806
AircraftBuoyant\m1351_unified_prepared.obj,0.834411,0.020131,12.675466,0.877356,1.000039,0.817864,21.685495
AircraftBuoyant\m1352_unified_prepared.obj,0.915413,0.047273,3.035059,0.550467,1.002282,0.856780,14.863003
Apartment\D00045_unified_prepared.obj,20.157443,0.117322,5261.345731,5.146926,1.397977,0.407895,3.442043
Apartment\D00086_unified_prepared.obj,2.622682,0.110356,13.097596,0.884671,1.019265,0.788563,12.841839
Apartment\D00138_unified_prepared.obj,5.161566,0.038150,835.435257,1.957419,1.254256,0.168646,6.378092
Apartment\D00156_unified_prepared.obj,15.085580,0.051742,11338.448952,3.705780,1.196763,0.140676,7.742961
Apartment\D00310_unified_prepared.obj,11.982778,0.018879,42681.836655,5.327612,1.094018,0.126866,10.029059
Apartment\D00348_unified_prepared.obj,3.326187,0.215139,7.029913,1.075615,1.193881,0.801101,39.198104
Apartment\D00366_unified_prepared.obj,3.222213,0.193582,7.893681,0.700420,1.066632,0.884516,3.946739
Apartment\D00478_unified_prepared.obj,7.360258,0.025099,5596.329156,2.411491,1.129982,0.118850,4.924526
