name,rectangularity
AircraftBuoyant\m1337_06_fill_holes_and_orientation.obj,0.431199
AircraftBuoyant\m1338_06_fill_holes_and_orientation.obj,0.430271
AircraftBuoyant\m1339_06_fill_holes_and_orientation.obj,0.036458
AircraftBuoyant\m1340_06_fill_holes_and_orientation.obj,0.214441
AircraftBuoyant\m1341_06_fill_holes_and_orientation.obj,0.265785
AircraftBuoyant\m1342_06_fill_holes_and_orientation.obj,0.376356
AircraftBuoyant\m1343_06_fill_holes_and_orientation.obj,0.459920
AircraftBuoyant\m1344_06_fill_holes_and_orientation.obj,0.355382
AircraftBuoyant\m1345_06_fill_holes_and_orientation.obj,0.015345
AircraftBuoyant\m1346_06_fill_holes_and_orientation.obj,0.335271
AircraftBuoyant\m1347_06_fill_holes_and_orientation.obj,0.432263
AircraftBuoyant\m1348_06_fill_holes_and_orientation.obj,0.336831
AircraftBuoyant\m1349_06_fill_holes_and_orientation.obj,0.233309
AircraftBuoyant\m1350_06_fill_holes_and_orientation.obj,0.159285
AircraftBuoyant\m1351_06_fill_holes_and_orientation.obj,0.440559
AircraftBuoyant\m1352_06_fill_holes_and_orientation.obj,0.380287
Apartment\D00045_06_fill_holes_and_orientation.obj,0.242213
Apartment\D00086_06_fill_holes_and_orientation.obj,0.411335
Apartment\D00138_06_fill_holes_and_orientation.obj,0.154434
Apartment\D00156_06_fill_holes_and_orientation.obj,0.094063
Apartment\D00310_06_fill_holes_and_orientation.obj,0.091852
Apartment\D00348_06_fill_holes_and_orientation.obj,0.606529
Apartment\D00366_06_fill_holes_and_orientation.obj,0.290727
Apartment\D00478_06_fill_holes_and_orientation.obj,0.073069
Apartment\D00496_06_fill_holes_and_orientation.obj,0.534390
Apartment\D00626_06_fill_holes_and_orientation.obj,0.376573
Apartment\D00639_06_fill_holes_and_orientation.obj,0.399838
Apartment\D00651_06_fill_holes_and_orientation.obj,0.094158
Apartment\D00681_06_fill_holes_and_orientation.obj,0.321716
Apartment\D00780_06_fill_holes_and_orientation.obj,0.020216
Apartment\D00792_06_fill_holes_and_orientation.obj,0.353697
Apartment\D00859_06_fill_holes_and_orientation.obj,0.356150
Apartment\D00860_06_fill_holes_and_orientation.obj,0.084990
Apartment\D00869_06_fill_holes_and_orientation.obj,0.031340
Apartment\D00921_06_fill_holes_and_orientation.obj,0.359873
Apartment\D00953_06_fill_holes_and_orientation.obj,0.028195
Apartment\m463_06_fill_holes_and_orientation.obj,0.276817
Apartment\m464_06_fill_holes_and_orientation.obj,0.441266
Apartment\m465_06_fill_holes_and_orientation.obj,0.655947
AquaticAnimal\m53_06_fill_holes_and_orientation.obj,0.175672
AquaticAnimal\m54_06_fill_holes_and_orientation.obj,0.184030
AquaticAnimal\m55_06_fill_holes_and_orientation.obj,0.151201
AquaticAnimal\m56_06_fill_holes_and_orientation.obj,0.164147
AquaticAnimal\m57_06_fill_holes_and_orientation.obj,0.175813
AquaticAnimal\m58_06_fill_holes_and_orientation.obj,0.198764
AquaticAnimal\m59_06_fill_holes_and_orientation.obj,0.221453
AquaticAnimal\m60_06_fill_holes_and_orientation.obj,0.091753
AquaticAnimal\m61_06_fill_holes_and_orientation.obj,0.160196
AquaticAnimal\m62_06_fill_holes_and_orientation.obj,0.158657
AquaticAnimal\m63_06_fill_holes_and_orientation.obj,0.159058
AquaticAnimal\m64_06_fill_holes_and_orientation.obj,0.146981
AquaticAnimal\m65_06_fill_holes_and_orientation.obj,0.041397
AquaticAnimal\m66_06_fill_holes_and_orientation.obj,0.194514
AquaticAnimal\m67_06_fill_holes_and_orientation.obj,0.151664
AquaticAnimal\m68_06_fill_holes_and_orientation.obj,0.131310
AquaticAnimal\m69_06_fill_holes_and_orientation.obj,0.138418
AquaticAnimal\m70_06_fill_holes_and_orientation.obj,0.089347
AquaticAnimal\m71_06_fill_holes_and_orientation.obj,0.131412
AquaticAnimal\m72_06_fill_holes_and_orientation.obj,0.115428
AquaticAnimal\m73_06_fill_holes_and_orientation.obj,0.110231
AquaticAnimal\m75_06_fill_holes_and_orientation.obj,0.069236
AquaticAnimal\m76_06_fill_holes_and_orientation.obj,0.085225
AquaticAnimal\m77_06_fill_holes_and_orientation.obj,0.066915
AquaticAnimal\m78_06_fill_holes_and_orientation.obj,0.063174
AquaticAnimal\m79_06_fill_holes_and_orientation.obj,0.066048
AquaticAnimal\m80_06_fill_holes_and_orientation.obj,0.062992
AquaticAnimal\m81_06_fill_holes_and_orientation.obj,0.063920
Bed\D00031_06_fill_holes_and_orientation.obj,0.292745
Bed\D00110_06_fill_holes_and_orientation.obj,0.170812
Bed\D00121_06_fill_holes_and_orientation.obj,0.148011
Bed\D00184_06_fill_holes_and_orientation.obj,0.724933
Bed\D00210_06_fill_holes_and_orientation.obj,0.110879
Bed\D00213_06_fill_holes_and_orientation.obj,0.309982
Bed\D00217_06_fill_holes_and_orientation.obj,0.234282
Bed\D00307_06_fill_holes_and_orientation.obj,0.385802
Bed\D00322_06_fill_holes_and_orientation.obj,0.192955
Bed\D00417_06_fill_holes_and_orientation.obj,0.323701
Bed\D00538_06_fill_holes_and_orientation.obj,0.212825
Bed\D00545_06_fill_holes_and_orientation.obj,0.113285
Bed\D00552_06_fill_holes_and_orientation.obj,0.231726
Bed\D00565_06_fill_holes_and_orientation.obj,0.266225
Bed\D00650_06_fill_holes_and_orientation.obj,0.220666
Bed\D00735_06_fill_holes_and_orientation.obj,0.200634
Bed\D00836_06_fill_holes_and_orientation.obj,0.334492
Bed\D00839_06_fill_holes_and_orientation.obj,0.416133
Bed\D00969_06_fill_holes_and_orientation.obj,0.335898
Bed\D00988_06_fill_holes_and_orientation.obj,0.294548
Bed\m945_06_fill_holes_and_orientation.obj,0.193172
Bed\m946_06_fill_holes_and_orientation.obj,0.168899
Bed\m947_06_fill_holes_and_orientation.obj,0.135122
Bed\m948_06_fill_holes_and_orientation.obj,0.109962
Bed\m949_06_fill_holes_and_orientation.obj,0.169800
Bed\m950_06_fill_holes_and_orientation.obj,0.039594
Bed\m951_06_fill_holes_and_orientation.obj,0.351847
Bicycle\D00016_06_fill_holes_and_orientation.obj,0.009290
Bicycle\D00033_06_fill_holes_and_orientation.obj,0.013611
Bicycle\D00040_06_fill_holes_and_orientation.obj,0.032604
Bicycle\D00077_06_fill_holes_and_orientation.obj,0.009606
Bicycle\D00078_06_fill_holes_and_orientation.obj,0.010663
Bicycle\D00462_06_fill_holes_and_orientation.obj,0.006471
Bicycle\D00514_06_fill_holes_and_orientation.obj,0.035918
Bicycle\D00536_06_fill_holes_and_orientation.obj,0.008429
Bicycle\D00555_06_fill_holes_and_orientation.obj,0.041173
Bicycle\D00558_06_fill_holes_and_orientation.obj,0.021676
Bicycle\D00567_06_fill_holes_and_orientation.obj,0.010923
Bicycle\D00621_06_fill_holes_and_orientation.obj,0.009357
Bicycle\D00708_06_fill_holes_and_orientation.obj,0.013008
Bicycle\D00750_06_fill_holes_and_orientation.obj,0.021866
Bicycle\D00838_06_fill_holes_and_orientation.obj,0.012880
Bicycle\D00847_06_fill_holes_and_orientation.obj,0.010666
Bicycle\D00904_06_fill_holes_and_orientation.obj,0.013707
Bicycle\D00930_06_fill_holes_and_orientation.obj,0.014558
Bicycle\D00931_06_fill_holes_and_orientation.obj,0.012605
Bicycle\D00974_06_fill_holes_and_orientation.obj,0.027954
Bicycle\m1472_06_fill_holes_and_orientation.obj,0.007479
Bicycle\m1473_06_fill_holes_and_orientation.obj,0.011337
Bicycle\m1475_06_fill_holes_and_orientation.obj,0.028375
Bicycle\m1476_06_fill_holes_and_orientation.obj,0.010923
Bicycle\m1477_06_fill_holes_and_orientation.obj,0.010666
Bicycle\m1478_06_fill_holes_and_orientation.obj,0.009327
Biplane\D00069_06_fill_holes_and_orientation.obj,0.029025
Biplane\D00132_06_fill_holes_and_orientation.obj,0.042094
Biplane\D00178_06_fill_holes_and_orientation.obj,0.002254
Biplane\D00199_06_fill_holes_and_orientation.obj,0.021124
Biplane\D00246_06_fill_holes_and_orientation.obj,0.012318
Biplane\D00276_06_fill_holes_and_orientation.obj,0.059057
Biplane\D00277_06_fill_holes_and_orientation.obj,0.017737
Biplane\D00320_06_fill_holes_and_orientation.obj,0.029527
Biplane\D00373_06_fill_holes_and_orientation.obj,0.028938
Biplane\D00410_06_fill_holes_and_orientation.obj,0.073388
Biplane\D00490_06_fill_holes_and_orientation.obj,0.020078
Biplane\D00515_06_fill_holes_and_orientation.obj,0.050295
Biplane\D00601_06_fill_holes_and_orientation.obj,0.068796
Biplane\D00616_06_fill_holes_and_orientation.obj,0.022052
Biplane\D00632_06_fill_holes_and_orientation.obj,0.043320
Biplane\D00634_06_fill_holes_and_orientation.obj,0.031730
Biplane\D00666_06_fill_holes_and_orientation.obj,0.063225
Biplane\D00854_06_fill_holes_and_orientation.obj,0.014187
Biplane\D00890_06_fill_holes_and_orientation.obj,0.011356
Biplane\D00900_06_fill_holes_and_orientation.obj,0.027689
Biplane\m1118_06_fill_holes_and_orientation.obj,0.013133
Biplane\m1119_06_fill_holes_and_orientation.obj,0.040356
Biplane\m1120_06_fill_holes_and_orientation.obj,0.017043
Biplane\m1121_06_fill_holes_and_orientation.obj,0.030720
Biplane\m1122_06_fill_holes_and_orientation.obj,0.032475
Biplane\m1123_06_fill_holes_and_orientation.obj,0.042117
Biplane\m1124_06_fill_holes_and_orientation.obj,0.042149
Biplane\m1125_06_fill_holes_and_orientation.obj,0.061489
Biplane\m1126_06_fill_holes_and_orientation.obj,0.053884
Biplane\m1127_06_fill_holes_and_orientation.obj,0.060550
Biplane\m1128_06_fill_holes_and_orientation.obj,0.058965
Biplane\m1129_06_fill_holes_and_orientation.obj,0.037465
Biplane\m1131_06_fill_holes_and_orientation.obj,0.058471
Biplane\m1132_06_fill_holes_and_orientation.obj,0.043057
Biplane\m1133_06_fill_holes_and_orientation.obj,0.043319
Biplane\m1134_06_fill_holes_and_orientation.obj,0.036283
Biplane\m1135_06_fill_holes_and_orientation.obj,0.064539
Biplane\m1136_06_fill_holes_and_orientation.obj,0.019423
Biplane\m1137_06_fill_holes_and_orientation.obj,0.052109
Biplane\m1138_06_fill_holes_and_orientation.obj,0.039685
Biplane\m1139_06_fill_holes_and_orientation.obj,0.024144
Biplane\m1141_06_fill_holes_and_orientation.obj,0.032428
Biplane\m1143_06_fill_holes_and_orientation.obj,0.029748
Biplane\m1144_06_fill_holes_and_orientation.obj,0.028786
Biplane\m1146_06_fill_holes_and_orientation.obj,0.042627
Bird\D00089_06_fill_holes_and_orientation.obj,0.023049
Bird\D00113_06_fill_holes_and_orientation.obj,0.097745
Bird\D00164_06_fill_holes_and_orientation.obj,0.031949
Bird\D00234_06_fill_holes_and_orientation.obj,0.031645
Bird\D00271_06_fill_holes_and_orientation.obj,0.018146
Bird\D00284_06_fill_holes_and_orientation.obj,0.029850
Bird\D00323_06_fill_holes_and_orientation.obj,0.044284
Bird\D00386_06_fill_holes_and_orientation.obj,0.094380
Bird\D00438_06_fill_holes_and_orientation.obj,0.031103
Bird\D00442_06_fill_holes_and_orientation.obj,0.025147
Bird\D00546_06_fill_holes_and_orientation.obj,0.042452
Bird\D00599_06_fill_holes_and_orientation.obj,0.025825
Bird\D00625_06_fill_holes_and_orientation.obj,0.007348
Bird\D00689_06_fill_holes_and_orientation.obj,0.016506
Bird\D00736_06_fill_holes_and_orientation.obj,0.033790
Bird\D00762_06_fill_holes_and_orientation.obj,0.025880
Bird\D00862_06_fill_holes_and_orientation.obj,0.032892
Bird\D00922_06_fill_holes_and_orientation.obj,0.026479
Bird\D00961_06_fill_holes_and_orientation.obj,0.027807
Bird\D00999_06_fill_holes_and_orientation.obj,0.041841
Bird\m28_06_fill_holes_and_orientation.obj,0.056238
Bird\m29_06_fill_holes_and_orientation.obj,0.108232
Bird\m30_06_fill_holes_and_orientation.obj,0.086539
Bird\m31_06_fill_holes_and_orientation.obj,0.322220
Bird\m32_06_fill_holes_and_orientation.obj,0.142388
Bird\m33_06_fill_holes_and_orientation.obj,0.126029
Bird\m34_06_fill_holes_and_orientation.obj,0.024844
Bird\m35_06_fill_holes_and_orientation.obj,0.153071
Bird\m36_06_fill_holes_and_orientation.obj,0.065740
Bird\m37_06_fill_holes_and_orientation.obj,0.030515
Bird\m38_06_fill_holes_and_orientation.obj,0.041863
Bird\m39_06_fill_holes_and_orientation.obj,0.054455
Bird\m40_06_fill_holes_and_orientation.obj,0.018318
Bird\m41_06_fill_holes_and_orientation.obj,0.031241
Bird\m43_06_fill_holes_and_orientation.obj,0.004462
Bird\m44_06_fill_holes_and_orientation.obj,0.028803
Bird\m45_06_fill_holes_and_orientation.obj,0.030096
Bird\m47_06_fill_holes_and_orientation.obj,0.028093
Bird\m48_06_fill_holes_and_orientation.obj,0.304960
Bird\m49_06_fill_holes_and_orientation.obj,0.318724
Bird\m50_06_fill_holes_and_orientation.obj,0.261946
Bird\m51_06_fill_holes_and_orientation.obj,0.302180
Bird\m52_06_fill_holes_and_orientation.obj,0.172814
Bookset\D01009_06_fill_holes_and_orientation.obj,0.404091
Bookset\D01013_06_fill_holes_and_orientation.obj,0.505376
Bookset\D01030_06_fill_holes_and_orientation.obj,0.286100
Bookset\D01038_06_fill_holes_and_orientation.obj,0.448755
Bookset\D01042_06_fill_holes_and_orientation.obj,0.041933
Bookset\D01050_06_fill_holes_and_orientation.obj,0.313046
Bookset\D01065_06_fill_holes_and_orientation.obj,0.512748
Bookset\D01078_06_fill_holes_and_orientation.obj,0.048887
Bookset\D01096_06_fill_holes_and_orientation.obj,0.206204
Bookset\D01108_06_fill_holes_and_orientation.obj,1.006634
Bookset\D01109_06_fill_holes_and_orientation.obj,0.024470
Bookset\D01110_06_fill_holes_and_orientation.obj,0.452128
Bookset\D01122_06_fill_holes_and_orientation.obj,0.251126
Bookset\D01135_06_fill_holes_and_orientation.obj,0.331258
Bookset\D01146_06_fill_holes_and_orientation.obj,0.370338
Bookset\D01182_06_fill_holes_and_orientation.obj,0.208799
Bookset\D01183_06_fill_holes_and_orientation.obj,0.495637
Bookset\D01184_06_fill_holes_and_orientation.obj,0.476388
Bookset\D01190_06_fill_holes_and_orientation.obj,0.791291
Bookset\D01199_06_fill_holes_and_orientation.obj,0.322237
Bottle\D00020_06_fill_holes_and_orientation.obj,0.511674
Bottle\D00123_06_fill_holes_and_orientation.obj,0.468647
Bottle\D00139_06_fill_holes_and_orientation.obj,0.231421
Bottle\D00166_06_fill_holes_and_orientation.obj,1.011904
Bottle\D00176_06_fill_holes_and_orientation.obj,0.007998
Bottle\D00208_06_fill_holes_and_orientation.obj,0.184286
Bottle\D00281_06_fill_holes_and_orientation.obj,0.777641
Bottle\D00311_06_fill_holes_and_orientation.obj,0.566098
Bottle\D00347_06_fill_holes_and_orientation.obj,0.813072
Bottle\D00350_06_fill_holes_and_orientation.obj,0.485355
Bottle\D00390_06_fill_holes_and_orientation.obj,0.173243
Bottle\D00451_06_fill_holes_and_orientation.obj,1.102534
Bottle\D00679_06_fill_holes_and_orientation.obj,0.147709
Bottle\D00696_06_fill_holes_and_orientation.obj,1.024527
Bottle\D00711_06_fill_holes_and_orientation.obj,0.601374
Bottle\D00716_06_fill_holes_and_orientation.obj,0.684383
Bottle\D00726_06_fill_holes_and_orientation.obj,0.612580
Bottle\D00892_06_fill_holes_and_orientation.obj,0.897582
Bottle\D00940_06_fill_holes_and_orientation.obj,0.665098
Bottle\D00959_06_fill_holes_and_orientation.obj,0.339392
Bottle\m482_06_fill_holes_and_orientation.obj,0.180771
Bottle\m483_06_fill_holes_and_orientation.obj,0.549339
Bottle\m484_06_fill_holes_and_orientation.obj,0.553634
Bottle\m485_06_fill_holes_and_orientation.obj,0.160090
Bottle\m486_06_fill_holes_and_orientation.obj,0.694624
Bottle\m488_06_fill_holes_and_orientation.obj,0.586073
Bottle\m489_06_fill_holes_and_orientation.obj,0.587435
Bottle\m490_06_fill_holes_and_orientation.obj,0.861977
Bottle\m491_06_fill_holes_and_orientation.obj,0.431813
Bottle\m492_06_fill_holes_and_orientation.obj,0.419119
BuildingNonResidential\m382_06_fill_holes_and_orientation.obj,0.092011
BuildingNonResidential\m383_06_fill_holes_and_orientation.obj,0.147704
BuildingNonResidential\m384_06_fill_holes_and_orientation.obj,0.037368
BuildingNonResidential\m385_06_fill_holes_and_orientation.obj,0.115235
BuildingNonResidential\m386_06_fill_holes_and_orientation.obj,0.091115
BuildingNonResidential\m387_06_fill_holes_and_orientation.obj,0.019652
BuildingNonResidential\m389_06_fill_holes_and_orientation.obj,0.106062
BuildingNonResidential\m390_06_fill_holes_and_orientation.obj,0.115717
BuildingNonResidential\m391_06_fill_holes_and_orientation.obj,0.167820
BuildingNonResidential\m392_06_fill_holes_and_orientation.obj,0.063230
BuildingNonResidential\m393_06_fill_holes_and_orientation.obj,0.113409
BuildingNonResidential\m394_06_fill_holes_and_orientation.obj,0.039139
BuildingNonResidential\m395_06_fill_holes_and_orientation.obj,0.177121
BuildingNonResidential\m396_06_fill_holes_and_orientation.obj,0.061194
BuildingNonResidential\m397_06_fill_holes_and_orientation.obj,0.104727
BuildingNonResidential\m398_06_fill_holes_and_orientation.obj,0.501438
BuildingNonResidential\m399_06_fill_holes_and_orientation.obj,0.181598
BuildingNonResidential\m400_06_fill_holes_and_orientation.obj,0.051495
BuildingNonResidential\m401_06_fill_holes_and_orientation.obj,0.038842
BuildingNonResidential\m402_06_fill_holes_and_orientation.obj,0.294911
BuildingNonResidential\m404_06_fill_holes_and_orientation.obj,0.164220
BuildingNonResidential\m405_06_fill_holes_and_orientation.obj,0.169100
BuildingNonResidential\m406_06_fill_holes_and_orientation.obj,0.082056
BuildingNonResidential\m407_06_fill_holes_and_orientation.obj,0.059763
BuildingNonResidential\m408_06_fill_holes_and_orientation.obj,0.630087
BuildingNonResidential\m409_06_fill_holes_and_orientation.obj,0.053736
BuildingNonResidential\m410_06_fill_holes_and_orientation.obj,0.083264
BuildingNonResidential\m412_06_fill_holes_and_orientation.obj,0.019375
BuildingNonResidential\m413_06_fill_holes_and_orientation.obj,0.174200
BuildingNonResidential\m414_06_fill_holes_and_orientation.obj,0.079452
BuildingNonResidential\m415_06_fill_holes_and_orientation.obj,0.173614
BuildingNonResidential\m416_06_fill_holes_and_orientation.obj,0.508052
BuildingNonResidential\m418_06_fill_holes_and_orientation.obj,0.171729
BuildingNonResidential\m420_06_fill_holes_and_orientation.obj,0.275727
BuildingNonResidential\m421_06_fill_holes_and_orientation.obj,0.236036
BuildingNonResidential\m470_06_fill_holes_and_orientation.obj,0.094690
BuildingNonResidential\m472_06_fill_holes_and_orientation.obj,0.177523
BuildingNonResidential\m474_06_fill_holes_and_orientation.obj,0.021729
BuildingNonResidential\m477_06_fill_holes_and_orientation.obj,0.002819
